"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2016","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","31","9","19","10"
"01/02/2016","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","31",".","28","14"
"01/03/2016","36","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","30",".","36","21"
"01/04/2016","28","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","28",".","21","15"
"01/05/2016","33","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","33",".","31","33"
"01/06/2016","48","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","6","33",".","35","48"
"01/07/2016","62","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","13","29","37","62","47"
"01/08/2016","51","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS",".","28",".","51","29"
"01/09/2016","43","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","22",".","43","19"
"01/10/2016","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","36",".","13","20"
"01/11/2016","33","Ozone","UXBRIDGE","25-027-0024","AQS","3","33",".","18","10"
"01/12/2016","45","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","28",".","45","36"
"01/13/2016","35","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","35","8","20","25"
"01/14/2016","50","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","29",".","50","33"
"01/15/2016","71","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","8","22",".","71","40"
"01/16/2016","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","31",".","22","22"
"01/17/2016","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","31",".","21","15"
"01/18/2016","35","Ozone","UXBRIDGE","25-027-0024","AQS","2","35",".","15","22"
"01/19/2016","37","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","37","26","22","9"
"01/20/2016","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","36",".","20","15"
"01/21/2016","37","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","37",".","19","18"
"01/22/2016","39","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","39",".","17","."
"01/23/2016","39","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","39",".","23","11"
