"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"10/24/2020","27","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","26","9","27","11"
"10/25/2020","23","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","2","23",".","23","8"
"10/26/2020","34","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","18",".","34","16"
"10/27/2020","24","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","24",".","15","8"
"10/28/2020","23","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","14",".","23","17"
"10/29/2020","29","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","25",".","29","19"
"10/30/2020","36","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","28","8","36","22"
"10/31/2020","52","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7","27",".","52","32"
"11/01/2020","39","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","8","29",".","39","25"
"11/02/2020","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","31",".","20","9"
"11/03/2020","26","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","26",".","22","20"
"11/04/2020","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","36",".","31","27"
"11/05/2020","40","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","40","16","32","25"
"11/06/2020","43","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","43",".","33","24"
"11/07/2020","51","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","47",".","51","32"
"11/08/2020","62","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","10","47",".","62","41"
"11/09/2020","62","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","13","44",".","62","48"
"11/10/2020","57","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","11","35",".","57","37"
"11/11/2020","24","Ozone","UXBRIDGE","25-027-0024","AQS","3","24","16","21","10"
"11/12/2020","24","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","24",".","14","9"
"11/13/2020","22","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","16",".","22","9"
"11/14/2020","30","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","30",".","26","25"
"11/15/2020","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","36",".","33","21"
"11/16/2020","30","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","30",".","11","18"
"11/17/2020","29","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","29","10","28","28"
"11/18/2020","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","31",".","27","12"
"11/19/2020","34","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","30",".","34","24"
"11/20/2020","35","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","30",".","35","28"
"11/21/2020","40","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","31",".","40","31"
"11/22/2020","31","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","21",".","31","12"
