"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2013","21","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5",".",".","21","18"
"01/02/2013","28","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","8",".",".","28","25"
"01/03/2013","37","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","10",".",".","37","33"
"01/04/2013","54","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7",".","38","54","34"
"01/05/2013","38","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","8",".",".","33","38"
"01/06/2013","72","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","10",".",".","72","45"
"01/07/2013","64","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","13",".",".","64","42"
"01/08/2013","46","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","13",".",".",".","46"
"01/09/2013","57","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","16",".",".",".","57"
"01/10/2013","44","PM10","WORCESTER SUMMER STREET","25-027-0023","AQS","7",".","44","25","18"
"01/11/2013","60","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","11",".",".","60","49"
"01/12/2013","58","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","10",".",".","58","34"
"01/13/2013","30","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","9",".",".","30","25"
"01/14/2013","20","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","6",".",".","16","20"
"01/15/2013","36","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7",".",".","36","22"
"01/16/2013","34","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","8",".","10","34","27"
"01/17/2013","28","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7",".",".","28","22"
"01/18/2013","28","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5",".",".","28","25"
"01/19/2013","40","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5",".",".","40","25"
"01/20/2013","31","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","1",".",".","31","21"
"01/21/2013","28","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3",".",".","28","25"
"01/22/2013","34","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5",".","34","34","21"
"01/23/2013","40","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5",".",".","40","11"
"01/24/2013","30","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5",".",".","30","15"
"01/25/2013","28","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6",".",".","28","18"
"01/26/2013","25","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5",".",".","25","15"
"01/27/2013","28","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3",".",".","28","15"
"01/28/2013","59","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6",".","44","59","32"
"01/29/2013","67","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","9",".",".","67","27"
"01/30/2013","54","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","10",".",".","54","38"
"01/31/2013","15","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","9",".",".","15","9"
"02/01/2013","24","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","8",".",".","24","10"
"02/02/2013","34","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5",".",".","34","17"
"02/03/2013","54","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5",".","20","54","17"
"02/04/2013","47","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5",".",".","47","24"
"02/05/2013","52","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6",".",".","52","25"
"02/06/2013","57","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5",".",".","57","36"
"02/07/2013","33","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6",".",".","33","25"
"02/08/2013","28","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6",".",".","28","25"
"02/09/2013","18","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3",".","6","18","8"
"02/10/2013","58","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","13",".",".","49","58"
"02/11/2013","65","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","14",".",".","65","52"
"02/12/2013","25","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5",".",".","25","22"
"02/13/2013","42","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","8",".",".","35","42"
"02/14/2013","42","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7",".",".","42","42"
"02/15/2013","77","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7",".","33","77","41"
"02/16/2013","40","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","36",".","40","37"
"02/17/2013","37","Ozone","UXBRIDGE","25-027-0024","AQS","3","37",".","15","5"
"02/18/2013","40","Ozone","UXBRIDGE","25-027-0024","AQS","5","40",".","27","9"
"02/19/2013","53","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7","42",".","53","."
"02/20/2013","32","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","31",".","32","."
"02/21/2013","40","PM10","WORCESTER SUMMER STREET","25-027-0023","AQS","6","34","40","23","9"
"02/22/2013","38","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","38",".","28","30"
"02/23/2013","35","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","34",".","35","26"
"02/24/2013","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","36",".","13","18"
"02/25/2013","41","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","34",".","41","29"
"02/26/2013","49","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","38",".","49","34"
"02/27/2013","40","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","40","6","12","17"
"02/28/2013","37","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","37",".","27","25"
"03/01/2013","38","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","7","38",".","24","16"
"03/02/2013","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","36",".","22","10"
"03/03/2013","32","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","32",".","14","5"
"03/04/2013","34","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","34",".","13","7"
"03/05/2013","33","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","33","21","23","27"
"03/06/2013","41","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","41",".","24","18"
"03/07/2013","41","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","41",".","20","13"
"03/08/2013","44","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","7","44",".","20","27"
"03/09/2013","48","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","7","48",".","37","42"
"03/10/2013","48","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","8","42",".","48","39"
"03/11/2013","43","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","43","28","35","28"
"03/12/2013","41","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","41",".","25","40"
"03/13/2013","42","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","42",".","22","40"
"03/14/2013","38","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","38",".","22","8"
"03/15/2013","42","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","42",".","25","11"
"03/16/2013","41","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","41",".","21","12"
"03/17/2013","43","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","43","13","20","20"
"03/18/2013","38","Ozone","UXBRIDGE","25-027-0024","AQS","5","38",".","29","26"
"03/19/2013","39","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","39",".","11","20"
"03/20/2013","43","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","43",".","36","."
"03/21/2013","50","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","8","44",".","50","49"
"03/22/2013","41","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","41",".","29","13"
"03/23/2013","35","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","35","26","18","22"
"03/24/2013","42","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","42",".","15","27"
"03/25/2013","40","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","40",".","21","25"
"03/26/2013","44","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","44",".","20","19"
"03/27/2013","46","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","46",".","16","23"
"03/28/2013","43","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","43",".","16","18"
"03/29/2013","42","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","42","16","19","23"
"03/30/2013","46","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","46",".","26","39"
"03/31/2013","64","Ozone","UXBRIDGE","25-027-0024","AQS","7","64",".","45","41"
"04/01/2013","44","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","44",".","19","11"
"04/02/2013","44","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","44",".","15","14"
"04/03/2013","46","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","46",".","17","8"
"04/04/2013","47","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","47","15","25","18"
"04/05/2013","51","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","51",".","38","20"
"04/06/2013","46","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","46",".","31","42"
"04/07/2013","50","Ozone","UXBRIDGE","25-027-0024","AQS","8","50",".","47","37"
"04/08/2013","47","Ozone","UXBRIDGE","25-027-0024","AQS","5","47",".","35","31"
"04/09/2013","45","Ozone","UXBRIDGE","25-027-0024","AQS","6","45",".","42","34"
"04/10/2013","45","Ozone","UXBRIDGE","25-027-0024","AQS","6","45","18","36","24"
"04/11/2013","41","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","41",".","17","16"
"04/12/2013","39","Ozone","UXBRIDGE","25-027-0024","AQS","5","39",".","21","19"
"04/13/2013","38","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","38",".","13","18"
"04/14/2013","41","Ozone","UXBRIDGE","25-027-0024","AQS","5","41",".","13","22"
"04/15/2013","42","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","42",".","24","42"
"04/16/2013","45","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","45","17","26","22"
