"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2017","36","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","6","33","16","25","36"
"01/02/2017","53","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","8","31",".","53","42"
"01/03/2017","32","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","32",".","18","25"
"01/04/2017","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","31",".","12","16"
"01/05/2017","33","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","33",".","27","23"
"01/06/2017","41","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","31",".","41","26"
"01/07/2017","36","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","32","13","36","16"
"01/08/2017","35","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","35",".","29","17"
"01/09/2017","41","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","32",".","41","33"
"01/10/2017","56","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7","38",".","56","42"
"01/11/2017","38","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","7","37",".","25","38"
"01/12/2017","31","Ozone","UXBRIDGE","25-027-0024","AQS","6","31",".","28","26"
"01/13/2017","41","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","41","23","19","9"
"01/14/2017","35","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","35",".","26","22"
"01/15/2017","48","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","8","37",".","48","39"
"01/16/2017","58","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","9","35",".","58","37"
"01/17/2017","43","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7","32",".","43","42"
"01/18/2017","32","Ozone","UXBRIDGE","25-027-0024","AQS","5","32",".","11","23"
"01/19/2017","31","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","5","25","14","21","31"
"01/20/2017","45","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","8","31",".","45","37"
"01/21/2017","48","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","21",".","48","24"
"01/22/2017","34","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","9","27",".","34","24"
