"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2012","45","PM2.5","Worcester ywca","25-027-0016","AQS","8",".",".","45","25"
"01/02/2012","20","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","5",".",".","13","20"
"01/03/2012","19","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7",".",".","19","13"
"01/04/2012","37","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6",".","16","37","25"
"01/05/2012","53","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7",".",".","53","25"
"01/06/2012","63","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","22",".",".","63","37"
"01/07/2012","69","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","23",".",".","69","37"
"01/08/2012","15","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6",".",".","15","13"
"01/09/2012","36","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","7",".",".","30","36"
"01/10/2012","50","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","8",".","22","50","33"
"01/11/2012","52","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","10",".",".","52","39"
"01/12/2012","21","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","6",".",".","19","21"
"01/13/2012","36","PM2.5","Worcester ywca","25-027-0016","AQS","8",".",".","36","26"
"01/14/2012","19","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5",".",".","19","12"
"01/15/2012","19","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5",".",".","19","8"
"01/16/2012","28","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6",".","12","28","11"
"01/17/2012","60","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7",".",".","60","."
"01/18/2012","31","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6",".",".","31","."
"01/19/2012","32","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7",".",".","32","."
"01/20/2012","41","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7",".",".","41","."
"01/21/2012","39","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7",".",".","39","16"
"01/22/2012","40","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5",".","11","40","30"
"01/23/2012","67","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","13",".",".","67","34"
"01/24/2012","51","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","13",".",".","51","33"
