"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2015","41","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS",".","28",".","41","."
"01/02/2015","32","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","32",".","20","."
"01/03/2015","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","31",".","24","29"
"01/04/2015","27","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","27",".","13","27"
"01/05/2015","32","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","32",".","6","8"
"01/06/2015","34","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","5","29","10","32","34"
"01/07/2015","38","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","31",".","38","32"
"01/08/2015","30","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","30",".","30","27"
"01/09/2015","38","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","27",".","38","34"
"01/10/2015","40","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","31",".","40","34"
"01/11/2015","53","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","30",".","53","27"
"01/12/2015","51","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","8","27","14","51","34"
"01/13/2015","32","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","32",".","28","24"
"01/14/2015","40","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","31",".","40","29"
"01/15/2015","33","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","33",".","33","23"
"01/16/2015","43","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","34",".","43","31"
"01/17/2015","35","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","35",".","19","25"
"01/18/2015","40","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","11","37","14","40","40"
"01/19/2015","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","31",".","3","12"
"01/20/2015","33","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","33",".","14","17"
"01/21/2015","34","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","34",".","20","32"
"01/22/2015","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","31",".","26","20"
"01/23/2015","47","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","31",".","47","37"
"01/24/2015","61","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","28","14","61","26"
"01/25/2015","33","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","33",".","17","19"
"01/26/2015","34","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","34",".","18","22"
"01/27/2015","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","36",".","13","14"
"01/28/2015","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","36",".","13","34"
"01/29/2015","79","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","5","36",".","69","79"
"01/30/2015","41","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","7","33","11","39","41"
"01/31/2015","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","36",".","5","11"
"02/01/2015","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","36",".","31","35"
"02/02/2015","33","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","33",".","17","19"
"02/03/2015","48","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS",".","34",".","38","48"
"02/04/2015","61","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS",".","34",".","61","49"
"02/05/2015","37","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","5","34","9","31","37"
"02/06/2015","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","31",".","28","31"
"02/07/2015","64","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","31",".","64","34"
"02/08/2015","57","PM2.5","Worcester ywca","25-027-0016","AQS","6","31",".","57","31"
"02/09/2015","32","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","32",".","16","14"
"02/10/2015","40","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","6","34",".","21","40"
"02/11/2015","42","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","5","33","13","30","42"
"02/12/2015","66","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7","29",".","66","51"
