"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2021","49","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","26",".","49","25"
"01/02/2021","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","31",".","19","16"
"01/03/2021","42","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","27",".","42","22"
"01/04/2021","38","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","31","12","38","22"
"01/05/2021","30","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","30",".","28","15"
"01/06/2021","32","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","30",".","32","9"
"01/07/2021","32","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","32",".","29","9"
"01/08/2021","33","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","33",".","30","10"
"01/09/2021","35","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","35",".","28","9"
"01/10/2021","34","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","34","2","34","25"
"01/11/2021","58","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7","31",".","58","."
"01/12/2021","55","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","26",".","55","."
"01/13/2021","50","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","26",".","50","19"
"01/14/2021","87","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7","15",".","87","25"
"01/15/2021","73","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","25",".","73","16"
"01/16/2021","32","Ozone","UXBRIDGE","25-027-0024","AQS","5","32","6","27","27"
"01/17/2021","36","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","2","28",".","36","5"
"01/18/2021","33","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","31",".","33","9"
"01/19/2021","39","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","31",".","39","25"
"01/20/2021","46","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","31",".","46","26"
"01/21/2021","47","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","31",".","47","31"
"01/22/2021","52","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","29","21","52","31"
"01/23/2021","33","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","32",".","33","5"
"01/24/2021","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","36",".","33","3"
"01/25/2021","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","36",".","25","16"
"01/26/2021","39","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","33",".","39","28"
"01/27/2021","38","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","31",".","38","16"
"01/28/2021","34","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","34","15","33","8"
"01/29/2021","37","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","2","33",".","37","4"
"01/30/2021","35","Ozone","WORCESTER AIRPORT","25-027-0015","AQS",".","35",".",".","7"
"01/31/2021","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS",".","31",".",".","30"
"02/01/2021","49","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","31",".","49","15"
"02/02/2021","35","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","35",".","24","17"
"02/03/2021","37","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","37","6","25","11"
"02/04/2021","50","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","7","39",".","38","50"
"02/05/2021","63","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7","36",".","63","44"
"02/06/2021","52","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","38",".","52","41"
"02/07/2021","54","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","9","36",".","54","39"
"02/08/2021","44","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","36",".","44","42"
"02/09/2021","66","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","27","2","66","41"
"02/10/2021","54","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","39",".","54","24"
"02/11/2021","50","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","39",".","50","32"
"02/12/2021","46","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","35",".","46","8"
"02/13/2021","38","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","37",".","38","16"
"02/14/2021","43","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","36",".","43","17"
"02/15/2021","47","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","32","12","47","11"
"02/16/2021","34","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","33",".","34","34"
"02/17/2021","44","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","37",".","44","31"
"02/18/2021","47","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","33",".","47","15"
"02/19/2021","44","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","33",".","44","13"
"02/20/2021","41","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","41",".","39","13"
"02/21/2021","41","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","5","40","20","35","41"
"02/22/2021","54","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","38",".","54","39"
"02/23/2021","46","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","43",".","46","13"
"02/24/2021","43","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","42",".","43","24"
"02/25/2021","41","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","41",".","33","8"
"02/26/2021","47","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","41",".","47","43"
"02/27/2021","47","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","38","13","47","37"
"02/28/2021","54","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","36",".","54","34"
"03/01/2021","38","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","38",".","34","23"
"03/02/2021","40","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","40",".","33","7"
"03/03/2021","43","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","40",".","43","25"
"03/04/2021","41","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","41",".","38","9"
"03/05/2021","42","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","42","15","29","5"
"03/06/2021","37","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","37",".","32","5"
"03/07/2021","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","36",".","35","8"
"03/08/2021","43","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","43",".","36","37"
"03/09/2021","51","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","44",".","51","35"
"03/10/2021","53","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7","43",".","53","42"
"03/11/2021","77","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","77","28","63","19"
"03/12/2021","44","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","44",".","33","8"
"03/13/2021","40","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","40",".","27","9"
"03/14/2021","41","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","41",".","27","12"
"03/15/2021","39","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","39",".","29","5"
"03/16/2021","39","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","39",".","35","11"
"03/17/2021","45","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","40",".","45","34"
"03/18/2021","55","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","36",".","55","14"
"03/19/2021","39","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","39",".","30","11"
"03/20/2021","44","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","44",".","40","36"
"03/21/2021","55","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7","46",".","55","36"
"03/22/2021","50","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","50",".","48","45"
"03/23/2021","46","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","46",".","42","41"
"03/24/2021","44","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","42",".","44","43"
"03/25/2021","35","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","35",".","35","19"
"03/26/2021","38","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","38",".","34","10"
"03/27/2021","43","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","43",".","30","6"
"03/28/2021","34","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","33",".","34","22"
"03/29/2021","38","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","38","9","23","8"
"03/30/2021","46","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","46",".","33","39"
"03/31/2021","43","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","43",".","33","8"
"04/01/2021","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","36",".","25","12"
"04/02/2021","33","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","33",".","28","3"
"04/03/2021","41","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","41",".","33","34"
"04/04/2021","43","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","43","12","42","31"
"04/05/2021","44","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","44",".","35","4"
"04/06/2021","37","Ozone","UXBRIDGE","25-027-0024","AQS","3","37",".","28","23"
"04/07/2021","37","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","37",".","29","29"
"04/08/2021","40","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","40",".","33","20"
"04/09/2021","42","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","42",".","33","25"
"04/10/2021","46","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","46","14","32","10"
"04/11/2021","45","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","34",".","45","5"
"04/12/2021","35","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","35",".","30","9"
"04/13/2021","41","Ozone","UXBRIDGE","25-027-0024","AQS","3","41",".","29","21"
"04/14/2021","41","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","41",".","38","16"
"04/15/2021","40","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","36",".","40","21"
"04/16/2021","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","36",".","17","14"
"04/17/2021","33","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","33",".","25","6"
"04/18/2021","35","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","2","35",".","35","7"
"04/19/2021","41","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","41",".","35","22"
"04/20/2021","54","Ozone","UXBRIDGE","25-027-0024","AQS","3","54",".","43","34"
"04/21/2021","47","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","47",".","34","28"
"04/22/2021","40","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","40","9","25","4"
"04/23/2021","48","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","48",".","34","20"
"04/24/2021","71","Ozone","UXBRIDGE","25-027-0024","AQS","3","71",".","55","18"
"04/25/2021","54","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","51",".","54","10"
"04/26/2021","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","36",".","23","."
"04/27/2021","47","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","47",".","31","."
"04/28/2021","54","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","54","19","52","33"
"04/29/2021","45","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","34",".","45","."
"04/30/2021","35","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","35",".","15","7"
"05/01/2021","35","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","35",".","27","15"
"05/02/2021","48","Ozone","UXBRIDGE","25-027-0024","AQS","2","48",".","36","11"
"05/03/2021","40","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","40",".","36","20"
"05/04/2021","39","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","39",".","38","15"
"05/05/2021","29","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","24",".","29","15"
"05/06/2021","34","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","34",".","20","8"
"05/07/2021","34","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","33",".","34","23"
"05/08/2021","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","31",".","28","8"
"05/09/2021","39","Ozone","UXBRIDGE","25-027-0024","AQS","2","39",".","25","7"
"05/10/2021","37","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","37","10","34","17"
"05/11/2021","33","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","33",".","23","7"
"05/12/2021","35","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","35",".","24","9"
"05/13/2021","40","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","40",".","35","32"
"05/14/2021","56","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","40",".","56","33"
"05/15/2021","48","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","48",".","46","25"
"05/16/2021","51","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","51","19","47","14"
"05/17/2021","50","Ozone","UXBRIDGE","25-027-0024","AQS","3","50",".","49","29"
"05/18/2021","71","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","71",".","50","28"
"05/19/2021","47","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","45",".","47","26"
"05/20/2021","50","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","50",".","45","31"
"05/21/2021","58","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","47",".","58","22"
"05/22/2021","67","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","67","19","51","12"
"05/23/2021","42","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","42",".","33","6"
"05/24/2021","39","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","39",".","31","10"
"05/25/2021","47","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","47",".","39","8"
"05/26/2021","77","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","77",".","57","12"
"05/27/2021","36","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","2","36",".","36","9"
"05/28/2021","41","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","2","35","41","41","13"
"05/29/2021","34","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","34",".","28","4"
"05/30/2021","28","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","2","25",".","28","3"
"05/31/2021","27","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","2","21",".","27","11"
"06/01/2021","50","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","50",".","46","21"
"06/02/2021","61","Ozone","UXBRIDGE","25-027-0024","AQS","3","61",".","55","24"
"06/03/2021","34","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","31","15","34","12"
"06/04/2021","45","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","30",".","45","16"
"06/05/2021","105","Ozone","UXBRIDGE","25-027-0024","AQS","3","105",".","51","18"
"06/06/2021","77","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","77",".","58","12"
"06/07/2021","71","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","71",".","66","19"
"06/08/2021","59","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","37",".","59","16"
"06/09/2021","44","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","40",".","44","11"
"06/10/2021","46","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","46",".","42","18"
"06/11/2021","48","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","41",".","48","18"
"06/12/2021","38","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","35",".","38","15"
"06/13/2021","42","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","42",".","39","7"
"06/14/2021","35","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","31",".","35","16"
"06/15/2021","38","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","38","14","35","20"
"06/16/2021","32","Ozone","UXBRIDGE","25-027-0024","AQS","2","32",".","24","8"
"06/17/2021","34","Ozone","UXBRIDGE","25-027-0024","AQS","2","34",".","32","20"
"06/18/2021","90","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","90",".","53","24"
"06/19/2021","52","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","2","48",".","52","10"
"06/20/2021","58","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","58",".","39","8"
"06/21/2021","56","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","35","24","56","8"
"06/22/2021","32","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","2","30",".","32","9"
"06/23/2021","33","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","2","28",".","33","15"
"06/24/2021","41","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","41",".","41","21"
"06/25/2021","44","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","28",".","44","15"
"06/26/2021","43","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","25",".","43","5"
"06/27/2021","53","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","2","36","19","53","6"
"06/28/2021","59","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","2","54",".","59","8"
"06/29/2021","55","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS",".","40",".","55","11"
"06/30/2021","46","Ozone","UXBRIDGE","25-027-0024","AQS",".","46",".","42","10"
"07/01/2021","49","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","28",".","49","15"
"07/02/2021","27","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","2","24",".","27","10"
"07/03/2021","23","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","2","13",".","23","4"
"07/04/2021","41","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","19",".","41","15"
"07/05/2021","39","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","28",".","39","7"
