"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2019","31","Ozone","UXBRIDGE","25-027-0024","AQS","2","31",".","13","18"
"01/02/2019","38","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","30",".","38","32"
"01/03/2019","30","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","3","22","10","28","30"
"01/04/2019","42","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","25",".","42","26"
"01/05/2019","57","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7","21",".","57","26"
"01/06/2019","35","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","33",".","35","24"
"01/07/2019","40","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","36",".","40","28"
"01/08/2019","52","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","8","22",".","52","33"
"01/09/2019","26","Ozone","UXBRIDGE","25-027-0024","AQS","7","26","6","15","25"
"01/10/2019","32","Ozone","UXBRIDGE","25-027-0024","AQS","2","32",".","25","5"
"01/11/2019","38","Ozone","UXBRIDGE","25-027-0024","AQS","2","38",".","32","8"
"01/12/2019","38","Ozone","UXBRIDGE","25-027-0024","AQS","2","38",".","30","9"
"01/13/2019","36","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","33",".","36","21"
"01/14/2019","37","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","31",".","37","26"
"01/15/2019","33","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","33",".","33","33"
"01/16/2019","56","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7","33",".","56","33"
"01/17/2019","40","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","33",".","40","34"
"01/18/2019","44","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","30",".","44","39"
"01/19/2019","50","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7","34",".","50","30"
"01/20/2019","33","Ozone","UXBRIDGE","25-027-0024","AQS","3","33",".","27","12"
"01/21/2019","36","Ozone","UXBRIDGE","25-027-0024","AQS","2","36","4","11","8"
"01/22/2019","40","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","6","38",".",".","40"
"01/23/2019","47","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","39",".","47","38"
"01/24/2019","39","Ozone","UXBRIDGE","25-027-0024","AQS","3","39",".","6","16"
"01/25/2019","38","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","35",".","38","17"
"01/26/2019","46","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","37",".","46","36"
"01/27/2019","54","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","42","14","54","27"
"01/28/2019","37","Ozone","UXBRIDGE","25-027-0024","AQS","3","37",".","36","14"
"01/29/2019","45","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","32",".","45","22"
"01/30/2019","40","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","35",".","40","28"
"01/31/2019","43","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","2","33",".","43","29"
