"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2017","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"01/02/2017","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/03/2017","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/04/2017","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/05/2017","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"01/06/2017","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/07/2017","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"01/08/2017","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"01/09/2017","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"01/10/2017","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/11/2017","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"01/12/2017","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"01/13/2017","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"01/14/2017","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"01/15/2017","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"01/16/2017","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"01/17/2017","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"01/18/2017","28","Ozone","PISECO LAKE","36-041-0005","AQS","28","."
"01/19/2017","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
"01/20/2017","30","Ozone","PISECO LAKE","36-041-0005","AQS","30","."
"01/21/2017","20","Ozone","PISECO LAKE","36-041-0005","AQS","20","."
"01/22/2017","19","Ozone","PISECO LAKE","36-041-0005","AQS","19","."
"01/23/2017","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"01/24/2017","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"01/25/2017","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"01/26/2017","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/27/2017","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
"01/28/2017","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/29/2017","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"01/30/2017","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"01/31/2017","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"02/01/2017","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"02/02/2017","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"02/03/2017","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"02/04/2017","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"02/05/2017","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"02/06/2017","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"02/07/2017","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"02/09/2017","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"02/10/2017","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"02/11/2017","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
