"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2016","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
"01/02/2016","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/22/2016","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"01/23/2016","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"01/24/2016","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"01/25/2016","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"01/26/2016","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/27/2016","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"01/28/2016","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/29/2016","26","Ozone","PISECO LAKE","36-041-0005","AQS","26","."
"01/30/2016","28","Ozone","PISECO LAKE","36-041-0005","AQS","28","."
"01/31/2016","44","Ozone","PISECO LAKE","36-041-0005","AQS","44","."
"02/01/2016","46","Ozone","PISECO LAKE","36-041-0005","AQS","46","."
"02/02/2016","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"02/03/2016","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
"02/04/2016","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"02/05/2016","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"02/06/2016","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
"02/07/2016","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"02/08/2016","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"02/09/2016","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"02/10/2016","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"02/11/2016","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"02/12/2016","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"02/13/2016","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"02/14/2016","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"02/15/2016","29","Ozone","PISECO LAKE","36-041-0005","AQS","29","."
"02/16/2016","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"02/17/2016","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"02/18/2016","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"02/19/2016","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"02/20/2016","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"02/21/2016","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"02/22/2016","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"03/01/2016","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"03/02/2016","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"03/03/2016","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"03/04/2016","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"03/05/2016","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"03/06/2016","43","Ozone","PISECO LAKE","36-041-0005","AQS","43","."
"03/07/2016","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
"03/08/2016","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"03/09/2016","49","Ozone","PISECO LAKE","36-041-0005","AQS","49","."
"03/10/2016","25","Ozone","PISECO LAKE","36-041-0005","AQS","25","."
"03/11/2016","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"03/12/2016","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"03/13/2016","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"03/14/2016","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"03/15/2016","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"03/16/2016","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
"03/17/2016","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"03/18/2016","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"03/19/2016","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"03/20/2016","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"03/21/2016","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"03/22/2016","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"03/23/2016","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"03/24/2016","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"03/25/2016","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"03/26/2016","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"03/27/2016","44","Ozone","PISECO LAKE","36-041-0005","AQS","44","."
"03/28/2016","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"03/29/2016","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"03/30/2016","44","Ozone","PISECO LAKE","36-041-0005","AQS","44","."
"03/31/2016","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"04/01/2016","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"04/02/2016","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"04/03/2016","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"04/04/2016","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"04/05/2016","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"04/06/2016","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"04/07/2016","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"04/08/2016","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"04/09/2016","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
