"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2020","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"01/02/2020","29","Ozone","PISECO LAKE","36-041-0005","AQS","29","."
"01/03/2020","19","Ozone","PISECO LAKE","36-041-0005","AQS","19","."
"01/04/2020","29","Ozone","PISECO LAKE","36-041-0005","AQS","29","."
"01/05/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"01/06/2020","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"01/07/2020","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"01/08/2020","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"01/09/2020","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"01/10/2020","25","Ozone","PISECO LAKE","36-041-0005","AQS","25","."
"01/11/2020","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/12/2020","30","Ozone","PISECO LAKE","36-041-0005","AQS","30","."
"01/13/2020","28","Ozone","PISECO LAKE","36-041-0005","AQS","28","."
"01/14/2020","26","Ozone","PISECO LAKE","36-041-0005","AQS","26","."
"01/15/2020","28","Ozone","PISECO LAKE","36-041-0005","AQS","28","."
"01/16/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"01/17/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"01/18/2020","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"01/19/2020","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"01/20/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"01/21/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"01/22/2020","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"01/23/2020","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
"01/24/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"01/25/2020","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"01/26/2020","26","Ozone","PISECO LAKE","36-041-0005","AQS","26","."
"01/27/2020","28","Ozone","PISECO LAKE","36-041-0005","AQS","28","."
"01/29/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"01/30/2020","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"01/31/2020","27","Ozone","PISECO LAKE","36-041-0005","AQS","27","."
"02/01/2020","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"02/02/2020","30","Ozone","PISECO LAKE","36-041-0005","AQS","30","."
"02/03/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"02/04/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"02/05/2020","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"02/06/2020","30","Ozone","PISECO LAKE","36-041-0005","AQS","30","."
"02/09/2020","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
"02/10/2020","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"02/11/2020","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"02/12/2020","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"02/13/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"02/14/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"02/15/2020","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"02/16/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"02/17/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"02/18/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"02/19/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"02/20/2020","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"02/21/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"02/22/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"02/23/2020","45","Ozone","PISECO LAKE","36-041-0005","AQS","45","."
"02/24/2020","48","Ozone","PISECO LAKE","36-041-0005","AQS","48","."
"02/25/2020","45","Ozone","PISECO LAKE","36-041-0005","AQS","45","."
"02/26/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"02/27/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"02/28/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"02/29/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"03/01/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"03/02/2020","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"03/03/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"03/04/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"03/05/2020","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"03/06/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"03/07/2020","43","Ozone","PISECO LAKE","36-041-0005","AQS","43","."
"03/08/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","44","."
"03/09/2020","54","Ozone","PISECO LAKE","36-041-0005","AQS","54","."
"03/10/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"03/11/2020","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"03/12/2020","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"03/13/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"03/14/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"03/15/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","44","."
"03/16/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"03/17/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"03/18/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","44","."
"03/19/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"03/21/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"03/22/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"03/23/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"03/24/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"03/25/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"03/26/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","44","."
"03/27/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"03/28/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"03/29/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"03/30/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"03/31/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"04/01/2020","43","Ozone","PISECO LAKE","36-041-0005","AQS","43","."
"04/02/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"04/03/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"04/04/2020","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"04/05/2020","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"04/06/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"04/07/2020","45","Ozone","PISECO LAKE","36-041-0005","AQS","45","."
"04/08/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"04/09/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"04/10/2020","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"04/11/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"04/12/2020","45","Ozone","PISECO LAKE","36-041-0005","AQS","45","."
"04/14/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","44","."
"04/15/2020","43","Ozone","PISECO LAKE","36-041-0005","AQS","43","."
"04/16/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"04/17/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","44","."
"04/18/2020","46","Ozone","PISECO LAKE","36-041-0005","AQS","46","."
"04/19/2020","47","Ozone","PISECO LAKE","36-041-0005","AQS","47","."
"04/20/2020","43","Ozone","PISECO LAKE","36-041-0005","AQS","43","."
"04/22/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","44","."
"04/23/2020","45","Ozone","PISECO LAKE","36-041-0005","AQS","45","."
"04/24/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"04/25/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"04/26/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"04/27/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"04/28/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"04/29/2020","43","Ozone","PISECO LAKE","36-041-0005","AQS","43","."
"04/30/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"05/01/2020","43","Ozone","PISECO LAKE","36-041-0005","AQS","43","."
"05/02/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"05/03/2020","50","Ozone","PISECO LAKE","36-041-0005","AQS","50","."
"05/04/2020","30","Ozone","PISECO LAKE","36-041-0005","AQS","30","."
"05/05/2020","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"05/06/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"05/07/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"05/08/2020","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"05/09/2020","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"05/10/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"05/11/2020","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"05/12/2020","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"05/13/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"05/14/2020","48","Ozone","PISECO LAKE","36-041-0005","AQS","48","."
"05/15/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","44","."
"05/16/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"05/17/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"05/18/2020","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"05/19/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"05/20/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"05/21/2020","49","Ozone","PISECO LAKE","36-041-0005","AQS","49","."
"05/22/2020","46","Ozone","PISECO LAKE","36-041-0005","AQS","46","."
"05/23/2020","47","Ozone","PISECO LAKE","36-041-0005","AQS","47","."
"05/24/2020","45","Ozone","PISECO LAKE","36-041-0005","AQS","45","."
"05/25/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"05/26/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"05/27/2020","54","Ozone","PISECO LAKE","36-041-0005","AQS","54","."
"05/28/2020","24","Ozone","PISECO LAKE","36-041-0005","AQS","24","."
"05/29/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"05/30/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"05/31/2020","29","Ozone","PISECO LAKE","36-041-0005","AQS","29","."
"06/01/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"06/02/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"06/03/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"06/04/2020","50","Ozone","PISECO LAKE","36-041-0005","AQS","50","."
"06/05/2020","50","Ozone","PISECO LAKE","36-041-0005","AQS","50","."
"06/07/2020","27","Ozone","PISECO LAKE","36-041-0005","AQS","27","."
"06/08/2020","25","Ozone","PISECO LAKE","36-041-0005","AQS","25","."
"06/09/2020","51","Ozone","PISECO LAKE","36-041-0005","AQS","51","."
"06/10/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"06/11/2020","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"06/12/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"06/13/2020","19","Ozone","PISECO LAKE","36-041-0005","AQS","19","."
"06/14/2020","19","Ozone","PISECO LAKE","36-041-0005","AQS","19","."
"06/15/2020","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"06/16/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"06/17/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","44","."
"06/18/2020","47","Ozone","PISECO LAKE","36-041-0005","AQS","47","."
"06/19/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"06/20/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"06/21/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"06/22/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","44","."
"06/23/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"06/24/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"06/25/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"06/26/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"06/27/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"06/28/2020","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
"06/29/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"06/30/2020","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"07/01/2020","24","Ozone","PISECO LAKE","36-041-0005","AQS","24","."
"07/02/2020","25","Ozone","PISECO LAKE","36-041-0005","AQS","25","."
"07/03/2020","26","Ozone","PISECO LAKE","36-041-0005","AQS","26","."
"07/04/2020","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
"07/05/2020","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"07/06/2020","30","Ozone","PISECO LAKE","36-041-0005","AQS","30","."
"07/07/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"07/08/2020","45","Ozone","PISECO LAKE","36-041-0005","AQS","45","."
"07/09/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","44","."
"07/10/2020","30","Ozone","PISECO LAKE","36-041-0005","AQS","30","."
"07/11/2020","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"07/12/2020","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"07/13/2020","26","Ozone","PISECO LAKE","36-041-0005","AQS","26","."
"07/14/2020","22","Ozone","PISECO LAKE","36-041-0005","AQS","22","."
"07/15/2020","27","Ozone","PISECO LAKE","36-041-0005","AQS","27","."
"07/16/2020","28","Ozone","PISECO LAKE","36-041-0005","AQS","28","."
"07/17/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"07/18/2020","50","Ozone","PISECO LAKE","36-041-0005","AQS","50","."
"07/19/2020","47","Ozone","PISECO LAKE","36-041-0005","AQS","47","."
"07/20/2020","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"07/21/2020","24","Ozone","PISECO LAKE","36-041-0005","AQS","24","."
"07/22/2020","24","Ozone","PISECO LAKE","36-041-0005","AQS","24","."
"07/23/2020","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"07/24/2020","28","Ozone","PISECO LAKE","36-041-0005","AQS","28","."
"07/25/2020","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"07/26/2020","48","Ozone","PISECO LAKE","36-041-0005","AQS","48","."
"07/27/2020","48","Ozone","PISECO LAKE","36-041-0005","AQS","48","."
"07/28/2020","27","Ozone","PISECO LAKE","36-041-0005","AQS","27","."
"07/29/2020","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"07/30/2020","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
