"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2019","27","Ozone","PISECO LAKE","36-041-0005","AQS","27","."
"01/02/2019","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
"01/03/2019","27","Ozone","PISECO LAKE","36-041-0005","AQS","27","."
"01/04/2019","28","Ozone","PISECO LAKE","36-041-0005","AQS","28","."
"01/05/2019","26","Ozone","PISECO LAKE","36-041-0005","AQS","26","."
"01/06/2019","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"01/07/2019","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"01/08/2019","24","Ozone","PISECO LAKE","36-041-0005","AQS","24","."
"01/09/2019","25","Ozone","PISECO LAKE","36-041-0005","AQS","25","."
"01/10/2019","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"01/11/2019","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"01/12/2019","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"01/13/2019","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/14/2019","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/16/2019","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
"01/17/2019","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"01/18/2019","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/19/2019","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/20/2019","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/21/2019","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"01/22/2019","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"01/23/2019","29","Ozone","PISECO LAKE","36-041-0005","AQS","29","."
"01/25/2019","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/26/2019","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"01/27/2019","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"01/28/2019","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"01/29/2019","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/30/2019","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"01/31/2019","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
"02/01/2019","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"02/02/2019","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"02/03/2019","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
"02/04/2019","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"02/05/2019","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"02/06/2019","28","Ozone","PISECO LAKE","36-041-0005","AQS","28","."
"02/07/2019","26","Ozone","PISECO LAKE","36-041-0005","AQS","26","."
"02/08/2019","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"02/09/2019","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"02/10/2019","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"02/11/2019","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"02/12/2019","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"02/13/2019","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"02/14/2019","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"02/15/2019","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"02/16/2019","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"02/17/2019","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"02/18/2019","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"02/19/2019","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"02/20/2019","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"02/21/2019","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"02/22/2019","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"02/23/2019","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"02/24/2019","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"02/25/2019","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"02/26/2019","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"02/27/2019","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"02/28/2019","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"03/01/2019","43","Ozone","PISECO LAKE","36-041-0005","AQS","43","."
"03/02/2019","43","Ozone","PISECO LAKE","36-041-0005","AQS","43","."
"03/03/2019","44","Ozone","PISECO LAKE","36-041-0005","AQS","44","."
"03/04/2019","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"03/05/2019","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"03/06/2019","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"03/07/2019","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"03/08/2019","43","Ozone","PISECO LAKE","36-041-0005","AQS","43","."
"03/10/2019","44","Ozone","PISECO LAKE","36-041-0005","AQS","44","."
"03/11/2019","44","Ozone","PISECO LAKE","36-041-0005","AQS","44","."
"03/12/2019","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"03/13/2019","47","Ozone","PISECO LAKE","36-041-0005","AQS","47","."
"03/14/2019","44","Ozone","PISECO LAKE","36-041-0005","AQS","44","."
"03/15/2019","43","Ozone","PISECO LAKE","36-041-0005","AQS","43","."
"03/16/2019","39","Ozone","PISECO LAKE","36-041-0005","AQS","39","."
"03/17/2019","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"03/18/2019","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"03/19/2019","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"03/20/2019","49","Ozone","PISECO LAKE","36-041-0005","AQS","49","."
"03/21/2019","43","Ozone","PISECO LAKE","36-041-0005","AQS","43","."
"03/22/2019","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"03/23/2019","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"03/24/2019","49","Ozone","PISECO LAKE","36-041-0005","AQS","49","."
"03/25/2019","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"03/26/2019","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"03/27/2019","44","Ozone","PISECO LAKE","36-041-0005","AQS","44","."
"03/28/2019","49","Ozone","PISECO LAKE","36-041-0005","AQS","49","."
"03/29/2019","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"03/30/2019","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"03/31/2019","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"04/01/2019","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"04/03/2019","44","Ozone","PISECO LAKE","36-041-0005","AQS","44","."
"04/04/2019","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"04/05/2019","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"04/06/2019","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"04/07/2019","45","Ozone","PISECO LAKE","36-041-0005","AQS","45","."
"04/08/2019","45","Ozone","PISECO LAKE","36-041-0005","AQS","45","."
"04/09/2019","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"04/10/2019","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"04/11/2019","41","Ozone","PISECO LAKE","36-041-0005","AQS","41","."
"04/12/2019","44","Ozone","PISECO LAKE","36-041-0005","AQS","44","."
"04/13/2019","48","Ozone","PISECO LAKE","36-041-0005","AQS","48","."
"04/14/2019","40","Ozone","PISECO LAKE","36-041-0005","AQS","40","."
"04/15/2019","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"04/16/2019","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"04/17/2019","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"04/18/2019","42","Ozone","PISECO LAKE","36-041-0005","AQS","42","."
"04/19/2019","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
