"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2015","29","Ozone","PISECO LAKE","36-041-0005","AQS","29","."
"01/02/2015","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"01/03/2015","29","Ozone","PISECO LAKE","36-041-0005","AQS","29","."
"01/04/2015","26","Ozone","PISECO LAKE","36-041-0005","AQS","26","."
"01/05/2015","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
"01/06/2015","30","Ozone","PISECO LAKE","36-041-0005","AQS","30","."
"01/07/2015","30","Ozone","PISECO LAKE","36-041-0005","AQS","30","."
"01/08/2015","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/09/2015","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/10/2015","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/11/2015","30","Ozone","PISECO LAKE","36-041-0005","AQS","30","."
"01/12/2015","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/13/2015","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/14/2015","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/15/2015","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/16/2015","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"01/17/2015","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"01/18/2015","27","Ozone","PISECO LAKE","36-041-0005","AQS","27","."
"01/19/2015","28","Ozone","PISECO LAKE","36-041-0005","AQS","28","."
"01/20/2015","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"01/21/2015","34","Ozone","PISECO LAKE","36-041-0005","AQS","34","."
"01/22/2015","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/23/2015","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
"01/24/2015","31","Ozone","PISECO LAKE","36-041-0005","AQS","31","."
"01/25/2015","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"01/26/2015","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"01/28/2015","38","Ozone","PISECO LAKE","36-041-0005","AQS","38","."
"01/29/2015","37","Ozone","PISECO LAKE","36-041-0005","AQS","37","."
"01/30/2015","33","Ozone","PISECO LAKE","36-041-0005","AQS","33","."
"01/31/2015","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"02/01/2015","35","Ozone","PISECO LAKE","36-041-0005","AQS","35","."
"02/02/2015","32","Ozone","PISECO LAKE","36-041-0005","AQS","32","."
"02/03/2015","36","Ozone","PISECO LAKE","36-041-0005","AQS","36","."
"02/04/2015","30","Ozone","PISECO LAKE","36-041-0005","AQS","30","."
