"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"02/25/2020","45","Ozone","PISECO LAKE","36-041-0005","AQS","49","31","36.25","02/25/2008","02/25/2001"
"02/26/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","46","34","37.75","02/26/2004","02/26/2015"
"02/27/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","49","31","37.3333333333333","02/27/2004","02/27/2010"
"02/28/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","51","32","41","02/28/2004","02/28/2000"
"02/29/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","46","35",".","02/29/2004","02/29/2012"
"03/01/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","71","31","38.8","03/01/2004","03/01/2002"
"03/02/2020","38","Ozone","PISECO LAKE","36-041-0005","AQS","44","30","39.6","03/02/2017","03/02/2000"
"03/03/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","49","33","39.8","03/03/2008","03/03/2006"
"03/04/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","44","34","38.8","03/04/2008","03/04/2003"
"03/05/2020","36","Ozone","PISECO LAKE","36-041-0005","AQS","45","32","37.4","03/05/2010","03/05/2004"
"03/06/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","46","35","39.8","03/06/2008","03/06/2002"
"03/07/2020","43","Ozone","PISECO LAKE","36-041-0005","AQS","61","28","36.4","03/07/2010","03/07/2017"
"03/08/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","48","31","42.4","03/08/2000","03/08/2002"
"03/09/2020","54","Ozone","PISECO LAKE","36-041-0005","AQS","49","31","44.5","03/09/2016","03/09/2006"
"03/10/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","61","25","42.2","03/10/2015","03/10/2016"
"03/11/2020","38","Ozone","PISECO LAKE","36-041-0005","AQS","51","29","38.6","03/11/2004","03/11/2000"
"03/12/2020","36","Ozone","PISECO LAKE","36-041-0005","AQS","51","31","39.2","03/12/2012","03/12/2002"
"03/13/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","47","31","41.8","03/13/2019","03/13/2002"
"03/14/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","47","28","36.8","03/14/2008","03/14/2000"
"03/15/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","48","27","40.2","03/15/2009","03/15/2012"
"03/16/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","67","25","40.2","03/16/2003","03/16/2012"
"03/17/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","74","36","43.6","03/17/2003","03/17/2015"
"03/18/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","58","36","43.6","03/18/2017","03/18/2016"
"03/19/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","58","34","44.8","03/19/2017","03/19/2008"
"03/20/2020",".","","","","","61","33","47","03/20/2017","03/20/2002"
"03/21/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","46","36","41.2","03/21/2009","03/21/2011"
"03/22/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","64","31","39","03/22/2007","03/22/2015"
"03/23/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","47","32","39.6","03/23/2000","03/23/2015"
"03/24/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","49","35","42.4","03/24/2019","03/24/2012"
"03/25/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","87","33","39","03/25/2003","03/25/2012"
"03/26/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","77","28","37.8","03/26/2004","03/26/2015"
"03/27/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","47","34","40","03/27/2006","03/27/2015"
"03/28/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","51","32","36.8","03/28/2009","03/28/2018"
"03/29/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","64","25","39","03/29/2006","03/29/2018"
"03/30/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","87","31","40.2","03/30/2006","03/30/2009"
"03/31/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","133","33","41.8","03/31/2006","03/31/2000"
"04/01/2020","43","Ozone","PISECO LAKE","36-041-0005","AQS","51","36","41.25","04/01/2011","04/01/2009"
"04/02/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","93","30","49.5","04/02/2010","04/02/2003"
"04/03/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","93","31","42.8","04/03/2010","04/03/2000"
"04/04/2020","36","Ozone","PISECO LAKE","36-041-0005","AQS","51","33","40.5","04/04/2001","04/04/2004"
"04/05/2020","36","Ozone","PISECO LAKE","36-041-0005","AQS","74","31","39.5","04/05/2010","04/05/2007"
"04/06/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","50","26","39.5","04/06/2004","04/06/2007"
"04/07/2020","45","Ozone","PISECO LAKE","36-041-0005","AQS","61","32","40.2","04/07/2013","04/07/2007"
"04/08/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","64","28","41.2","04/08/2010","04/08/2007"
"04/09/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","58","35","43","04/09/2017","04/09/2010"
"04/10/2020","34","Ozone","PISECO LAKE","36-041-0005","AQS","80","34","47.6","04/10/2017","04/10/2013"
"04/11/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","64","31","45.6","04/11/2017","04/11/2012"
"04/12/2020","45","Ozone","PISECO LAKE","36-041-0005","AQS","97","35","41","04/12/2006","04/12/2016"
"04/13/2020",".","","","","","74","35","47.2","04/13/2015","04/13/2013"
"04/14/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","61","33","43.8","04/14/2003","04/14/2004"
"04/15/2020","43","Ozone","PISECO LAKE","36-041-0005","AQS","122","32","45.6","04/15/2003","04/15/2014"
"04/16/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","112","36","44.4","04/16/2002","04/16/2019"
"04/17/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","108","26","43.4","04/17/2002","04/17/2007"
"04/18/2020","46","Ozone","PISECO LAKE","36-041-0005","AQS","115","24","50","04/18/2008","04/18/2007"
"04/19/2020","47","Ozone","PISECO LAKE","36-041-0005","AQS","122","19","37.5","04/19/2008","04/19/2007"
"04/20/2020","43","Ozone","PISECO LAKE","36-041-0005","AQS","90","19","38.6","04/20/2008","04/20/2007"
"04/21/2020",".","","","","","100","25","45.8","04/21/2008","04/21/2007"
"04/22/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","101","26","41.8","04/22/2008","04/22/2017"
"04/23/2020","45","Ozone","PISECO LAKE","36-041-0005","AQS","71","26","41.25","04/23/2008","04/23/2007"
"04/24/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","77","23","48.2","04/24/2018","04/24/2007"
"04/25/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","71","19","40.2","04/25/2008","04/25/2007"
"04/26/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","74","33","35.2","04/26/2008","04/26/2018"
"04/27/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","93","32","39","04/27/2009","04/27/2012"
"04/28/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","119","31","44.2","04/28/2003","04/28/2007"
"04/29/2020","43","Ozone","PISECO LAKE","36-041-0005","AQS","84","27","43","04/29/2004","04/29/2007"
"04/30/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","122","28","36.2","04/30/2004","04/30/2017"
"05/01/2020","43","Ozone","PISECO LAKE","36-041-0005","AQS","105","32","44.2","05/01/2001","05/01/2019"
"05/02/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","140","31","47.2","05/02/2001","05/02/2004"
"05/03/2020","50","Ozone","PISECO LAKE","36-041-0005","AQS","140","21","43.6","05/03/2001","05/03/2011"
"05/04/2020","30","Ozone","PISECO LAKE","36-041-0005","AQS","154","17","47","05/04/2001","05/04/2011"
"05/05/2020","36","Ozone","PISECO LAKE","36-041-0005","AQS","74","31","38.5","05/05/2000","05/05/2014"
"05/06/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","108","33","41","05/06/2000","05/06/2006"
"05/07/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","74","30","40.8","05/07/2000","05/07/2017"
"05/08/2020","34","Ozone","PISECO LAKE","36-041-0005","AQS","87","29","46","05/08/2001","05/08/2012"
"05/09/2020","36","Ozone","PISECO LAKE","36-041-0005","AQS","105","33","51.8","05/09/2007","05/09/2017"
"05/10/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","100","29","44","05/10/2001","05/10/2017"
"05/11/2020","34","Ozone","PISECO LAKE","36-041-0005","AQS","129","32","41.2","05/11/2001","05/11/2000"
"05/12/2020","38","Ozone","PISECO LAKE","36-041-0005","AQS","90","31","44.4","05/12/2012","05/12/2019"
"05/13/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","87","23","42","05/13/2004","05/13/2003"
"05/14/2020","48","Ozone","PISECO LAKE","36-041-0005","AQS","80","23","41.2","05/14/2004","05/14/2003"
"05/15/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","108","19","39.2","05/15/2007","05/15/2011"
"05/16/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","67","21","42","05/16/2002","05/16/2011"
"05/17/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","80","22","55","05/17/2017","05/17/2011"
"05/18/2020","38","Ozone","PISECO LAKE","36-041-0005","AQS","58","22","45.2","05/18/2017","05/18/2011"
"05/19/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","61","29","42","05/19/2009","05/19/2013"
"05/20/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","101","31","39","05/20/2009","05/20/2018"
"05/21/2020","49","Ozone","PISECO LAKE","36-041-0005","AQS","105","18","42.6","05/21/2009","05/21/2000"
"05/22/2020","46","Ozone","PISECO LAKE","36-041-0005","AQS","97","28","38","05/22/2009","05/22/2017"
"05/23/2020","47","Ozone","PISECO LAKE","36-041-0005","AQS","90","13","45","05/23/2007","05/23/2014"
"05/24/2020","45","Ozone","PISECO LAKE","36-041-0005","AQS","140","15","51.4","05/24/2007","05/24/2014"
"05/25/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","136","29","66.2","05/25/2007","05/25/2014"
"05/26/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","101","23","61.2","05/26/2016","05/26/2017"
"05/27/2020","54","Ozone","PISECO LAKE","36-041-0005","AQS","61","29","39","05/27/2016","05/27/2018"
"05/28/2020","24","Ozone","PISECO LAKE","36-041-0005","AQS","67","9","35.4","05/28/2005","05/28/2014"
