"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"08/09/2021","45","Ozone","DUNKIRK","36-013-0006","AQS","112","31","44.8","08/09/2001","08/09/2007"
"08/10/2021","35","Ozone","DUNKIRK","36-013-0006","AQS","159","26","39.8","08/10/2002","08/10/2008"
"08/11/2021","43","Ozone","DUNKIRK","36-013-0006","AQS","179","25","40.4","08/11/2002","08/11/2012"
"08/12/2021","43","Ozone","DUNKIRK","36-013-0006","AQS","147","23","44","08/12/2002","08/12/2008"
"08/13/2021","40","Ozone","DUNKIRK","36-013-0006","AQS","177","29","37.6","08/13/2002","08/13/2017"
"08/14/2021","37","Ozone","DUNKIRK","36-013-0006","AQS","159","28","41.6","08/14/2002","08/14/2013"
"08/15/2021","36","Ozone","DUNKIRK","36-013-0006","AQS","126","26","50.2","08/15/2003","08/15/2016"
"08/16/2021","26","Ozone","DUNKIRK","36-013-0006","AQS","136","36","45.2","08/16/2007","08/16/2000"
"08/17/2021","38","PM2.5","DUNKIRK","36-013-0006","AQS","87","31","48.4","08/17/2004","08/17/2014"
"08/18/2021","19","Ozone","DUNKIRK","36-013-0006","AQS","140","31","41.8","08/18/2006","08/18/2007"
"08/19/2021","32","Ozone","DUNKIRK","36-013-0006","AQS","80","28","43","08/19/2010","08/19/2007"
"08/20/2021","51","PM2.5","DUNKIRK","36-013-0006","AQS","112","27","41.6","08/20/2003","08/20/2007"
"08/21/2021","44","Ozone","DUNKIRK","36-013-0006","AQS","154","23","44.4","08/21/2003","08/21/2007"
"08/22/2021","45","Ozone","DUNKIRK","36-013-0006","AQS","108","29","37.6","08/22/2000","08/22/2011"
"08/23/2021","55","PM2.5","DUNKIRK","36-013-0006","AQS","115","28","36.6","08/23/2012","08/23/2009"
"08/24/2021","51","Ozone","DUNKIRK","36-013-0006","AQS","143","22","37","08/24/2012","08/24/2019"
"08/25/2021","38","Ozone","DUNKIRK","36-013-0006","AQS","115","27","34.6","08/25/2012","08/25/2019"
