"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"02/17/2021","36","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","112","30","51.8","02/17/2011","02/17/2013"
"02/18/2021","45","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","93","23","53.6","02/18/2015","02/18/2010"
"02/19/2021","34","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","95","16","55.4","02/19/2014","02/19/2011"
"02/20/2021","39","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","84","14","46.2","02/20/2007","02/20/2009"
"02/21/2021","40","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","75","15","46.4","02/21/2015","02/21/2016"
"02/22/2021","55","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","76","13","43.6","02/22/2006","02/22/2014"
"02/23/2021","48","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","84","13","46.6","02/23/2011","02/23/2003"
"02/24/2021","43","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","121","13","43.4","02/24/2000","02/24/2016"
"02/25/2021","39","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","94","13","38.4","02/25/2008","02/25/2016"
"02/26/2021","40","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","98","15","36.8","02/26/2009","02/26/2016"
"02/27/2021","39","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","77","16","44.4","02/27/2009","02/27/2013"
"02/28/2021","38","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","83","15","51.8","02/28/2015","02/28/2009"
"03/01/2021","39","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","102","15","45.4","03/01/2004","03/01/2016"
"03/02/2021","39","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","63","21","44","03/02/2001","03/02/2005"
"03/03/2021","35","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","80","14","42","03/03/2008","03/03/2012"
"03/04/2021","40","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","71","22","39.8","03/04/2004","03/04/2007"
"03/05/2021","39","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","60","18","39.8","03/05/2009","03/05/2008"
"03/06/2021","36","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","91","12","51.2","03/06/2009","03/06/2011"
"03/07/2021","38","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","88","20","52.2","03/07/2014","03/07/2011"
"03/08/2021","41","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","84","33","56.4","03/08/2014","03/08/2008"
"03/09/2021","45","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","72","13","52","03/09/2013","03/09/2008"
"03/10/2021","51","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","87","17","44.8","03/10/2007","03/10/2011"
"03/11/2021","62","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","70","24","38.6","03/11/2014","03/11/2011"
"03/12/2021","43","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","80","9","36","03/12/2006","03/12/2009"
"03/13/2021","39","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","69","19","40.4","03/13/2007","03/13/2004"
"03/14/2021","40","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","84","14","41.4","03/14/2014","03/14/2010"
"03/15/2021","36","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","69","13","36.4","03/15/2009","03/15/2006"
"03/16/2021","37","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","86","18","37.2","03/16/2003","03/16/2017"
"03/17/2021","53","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","79","19","44.4","03/17/2009","03/17/2008"
"03/18/2021","54","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","89","19","38.2","03/18/2009","03/18/2015"
"03/19/2021","36","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","66","18","44.6","03/19/2012","03/19/2013"
"03/20/2021","53","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","58","21","46.2","03/20/2019","03/20/2008"
"03/21/2021","43","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","60","10","47.6","03/21/2017","03/21/2008"
"03/22/2021","45","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","67","14","38.6","03/22/2007","03/22/2008"
"03/23/2021","49","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","53","17","39.8","03/23/2017","03/23/2001"
"03/24/2021","42","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","61","22","50.6","03/24/2017","03/24/2002"
"03/25/2021","37","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","75","31","45","03/25/2004","03/25/2012"
