"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"02/22/2020","46","PM2.5","Fort Lee Near Road","34-003-0010","AQS","108","36","56.2","02/22/2000","02/22/2016"
"02/23/2020","54","PM2.5","Fort Lee Near Road","34-003-0010","AQS","94","37","60.2","02/23/2006","02/23/2002"
"02/24/2020","69","PM2.5","IS 52","36-005-0110","AQS","120","41","52.4","02/24/2000","02/24/2007"
"02/25/2020","62","PM2.5","Fort Lee Near Road","34-003-0010","AQS","92","40","51.2","02/25/2008","02/25/2017"
"02/26/2020","54","PM2.5","Fort Lee Near Road","34-003-0010","AQS","106","38","46","02/26/2008","02/26/2017"
"02/27/2020","39","Ozone","MILLBROOK","36-027-0007","AQS","117","33","57.8","02/27/2001","02/27/2002"
"02/28/2020","39","Ozone","MT NINHAM","36-079-0005","AQS","80","38","55.6","02/28/2010","02/28/2000"
"02/29/2020","36","Ozone","MILLBROOK","36-027-0007","AQS","65","53",".","02/29/2000","02/29/2016"
"03/01/2020","41","Ozone","Chester","34-027-3001","AQS","99","40","60.4","03/01/2003","03/01/2010"
"03/02/2020","61","PM2.5","Newark Firehouse","34-013-0003","AQS","97","33","55.4","03/02/2001","03/02/2013"
"03/03/2020","57","PM2.5","Fort Lee Near Road","34-003-0010","AQS","87","34","48.4","03/03/2001","03/03/2013"
"03/04/2020","39","Ozone","Chester","34-027-3001","AQS","111","35","57.4","03/04/2004","03/04/2002"
"03/05/2020","37","Ozone","MILLBROOK","36-027-0007","AQS","105","38","46.8","03/05/2003","03/05/2013"
"03/06/2020","45","PM2.5","Flemington","34-019-0001","AQS","113","41","63.2","03/06/2018","03/06/2013"
"03/07/2020","40","Ozone","Chester","34-027-3001","AQS","100","40","64.8","03/07/2009","03/07/2013"
"03/08/2020","41","Ozone","MILLBROOK","36-027-0007","AQS","111","40","62.6","03/08/2000","03/08/2018"
"03/09/2020","50","PM2.5","Queens College Near Road","36-081-0125","AQS","115","38","67.8","03/09/2000","03/09/2012"
"03/10/2020","48","PM2.5","Intermediate School 143","36-061-0115","AQS","98","39","62.8","03/10/2015","03/10/2000"
"03/11/2020","37","Ozone","MT NINHAM","36-079-0005","AQS","96","38","45.6","03/11/2005","03/11/2000"
"03/12/2020","52","PM2.5","Elizabeth Lab","34-039-0004","AQS","103","40","51.2","03/12/2003","03/12/2016"
"03/13/2020","46","PM2.5","Fort Lee Near Road","34-003-0010","AQS","116","39","48.2","03/13/2006","03/13/2004"
"03/14/2020","39","Ozone","Colliers Mills","34-029-0006","AQS","123","40","53.4","03/14/2007","03/14/2016"
"03/15/2020","41","Ozone","MILLBROOK","36-027-0007","AQS","120","39","46.8","03/15/2002","03/15/2015"
"03/16/2020","40","Ozone","Chester","34-027-3001","AQS","144","42","49.2","03/16/2007","03/16/2014"
"03/17/2020","39","PM2.5","Fort Lee Near Road","34-003-0010","AQS","141","36","47.4","03/17/2001","03/17/2014"
"03/18/2020","42","Ozone","Monmouth University","34-025-0005","AQS","97","38","49.2","03/18/2003","03/18/2000"
"03/19/2020","40","PM2.5","Elizabeth Lab","34-039-0004","AQS","83","40","47.4","03/19/2012","03/19/2013"
"03/20/2020","63","PM2.5","Fort Lee Near Road","34-003-0010","AQS","98","40","55.4","03/20/2005","03/20/2016"
"03/21/2020","41","Ozone","Leonia","34-003-0006","AQS","97","42","55","03/21/2010","03/21/2006"
"03/22/2020","41","Ozone","MT NINHAM","36-079-0005","AQS","84","35","43.8","03/22/2007","03/22/2002"
"03/23/2020","38","Ozone","RIVERHEAD","36-103-0004","AQS","95","39","47","03/23/2000","03/23/2013"
"03/24/2020","39","Ozone","BABYLON","36-103-0002","AQS","72","41","49.6","03/24/2000","03/24/2012"
"03/25/2020","39","Ozone","RIVERHEAD","36-103-0004","AQS","87","40","57.4","03/25/2004","03/25/2013"
"03/26/2020","44","Ozone","MT NINHAM","36-079-0005","AQS","104","40","56.6","03/26/2004","03/26/2016"
"03/27/2020","44","Ozone","Monmouth University","34-025-0005","AQS","74","35","49.4","03/27/2008","03/27/2015"
"03/28/2020","42","Ozone","RIVERHEAD","36-103-0004","AQS","83","39","58.4","03/28/2008","03/28/2013"
"03/29/2020","42","Ozone","RIVERHEAD","36-103-0004","AQS","87","42","57.4","03/29/2001","03/29/2013"
"03/30/2020","42","PM2.5","Elizabeth Lab","34-039-0004","AQS","99","35","54","03/30/2006","03/30/2009"
"03/31/2020","41","Ozone","RIVERHEAD","36-103-0004","AQS","122","33","57.4","03/31/2006","03/31/2010"
"04/01/2020","43","Ozone","MILLBROOK","36-027-0007","AQS","89","41","44.6","04/01/2005","04/01/2010"
"04/02/2020","41","Ozone","Flemington","34-019-0001","AQS","98","39","48.2","04/02/2003","04/02/2016"
"04/03/2020","36","Ozone","RIVERHEAD","36-103-0004","AQS","124","40","53.8","04/03/2003","04/03/2005"
"04/04/2020","40","Ozone","BABYLON","36-103-0002","AQS","78","40","50.4","04/04/2011","04/04/2002"
"04/05/2020","52","PM2.5","Jersey City Firehouse","34-017-1003","AQS","90","34","47","04/05/2010","04/05/2007"
"04/06/2020","43","Ozone","Chester","34-027-3001","AQS","101","43","53.8","04/06/2010","04/06/2002"
"04/07/2020","50","Ozone","Chester","34-027-3001","AQS","108","39","50.6","04/07/2014","04/07/2017"
"04/08/2020","50","PM2.5","IS 52","36-005-0110","AQS","103","41","46.4","04/08/2010","04/08/2016"
"04/09/2020","43","Ozone","Chester","34-027-3001","AQS","112","39","53.4","04/09/2001","04/09/2010"
"04/10/2020","38","Ozone","RIVERHEAD","36-103-0004","AQS","106","38","60","04/10/2009","04/10/2019"
"04/11/2020","43","Ozone","Leonia","34-003-0006","AQS","122","38","64.6","04/11/2017","04/11/2012"
"04/12/2020","47","Ozone","Chester","34-027-3001","AQS","97","36","56.8","04/12/2006","04/12/2012"
