"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2020","34","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","34",".","10","3"
"01/02/2020","45","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","31",".","45","27"
"01/03/2020","46","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","19",".","46","24"
"01/04/2020","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","26","12","40","15"
"01/05/2020","33","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","33",".","23","13"
"01/06/2020","36","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9","28",".","36","25"
"01/07/2020","33","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","33",".","24","28"
"01/08/2020","33","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","33",".","31","21"
"01/09/2020","34","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","31",".","34","22"
"01/10/2020","51","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","9","19","51","27"
"01/11/2020","43","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","35",".","43","18"
"01/12/2020","28","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","28",".","8","10"
"01/13/2020","35","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","20",".","35","20"
"01/14/2020","60","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","14",".","60","15"
"01/15/2020","35","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","26",".","35","14"
"01/16/2020","36","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","36","5","28","14"
"01/17/2020","36","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","36",".","32","21"
"01/18/2020","43","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","29",".","43","23"
"01/19/2020","33","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","33",".","25","27"
"01/20/2020","38","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","38",".","36","21"
"01/21/2020","67","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".",".","67","24"
"01/22/2020","62","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","32","26","62","."
"01/23/2020","79","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","21",".","79","."
"01/24/2020","64","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10","33",".","64","."
"01/25/2020","36","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","36",".","17","17"
"01/26/2020","20","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","20",".","16","18"
"01/27/2020","23","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","23",".","23","17"
"01/28/2020","36","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","36","3","8","3"
"01/29/2020","36","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","36",".","16","7"
"01/30/2020","50","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","28",".","50","24"
"01/31/2020","65","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","20",".","65","25"
"02/01/2020","81","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","19",".","81","24"
"02/02/2020","72","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","29",".","72","16"
"02/03/2020","53","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","21","16","53","20"
"02/04/2020","56","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","25",".","56","23"
"02/05/2020","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","31",".","21","10"
"02/06/2020","26","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","26",".","21","12"
"02/07/2020","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","31",".","13","8"
"02/08/2020","39","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","36",".","39","34"
"02/09/2020","71","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","19","17","71","30"
"02/10/2020","48","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","23",".","48","27"
"02/11/2020","51","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","34",".","51","22"
"02/12/2020","41","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","35",".","41","29"
"02/13/2020","54","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","29",".","54","24"
"02/14/2020","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","31",".","29","11"
"02/15/2020","57","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","33","18","57","22"
"02/16/2020","45","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","31",".","45","29"
"02/17/2020","36","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","36",".","36","27"
"02/18/2020","37","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","32",".","37","22"
"02/19/2020","38","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","38",".","11","3"
"02/20/2020","35","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","35",".","33","25"
"02/21/2020","50","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","37","19","50","26"
"02/22/2020","50","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","36",".","50","29"
"02/23/2020","71","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","39",".","71","32"
"02/24/2020","68","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","41",".","68","34"
"02/25/2020","75","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","36",".","75","32"
"02/26/2020","53","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","39",".","53","17"
"02/27/2020","37","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","37","5","9","13"
"02/28/2020","38","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","38",".","13","6"
"02/29/2020","34","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","34",".","17","6"
"03/01/2020","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","34",".","38","22"
"03/02/2020","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","32",".","40","23"
"03/03/2020","51","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","39",".","51","25"
"03/04/2020","37","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","37","9","22","5"
"03/05/2020","35","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","35",".","35","22"
"03/06/2020","49","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","35",".","49","18"
"03/07/2020","40","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","40",".","35","23"
"03/08/2020","48","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","40",".","48","24"
