"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2021","37","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","31",".","37","13"
"01/02/2021","26","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","26",".","26","10"
"01/03/2021","33","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","30",".","33","10"
"01/04/2021","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","23","9","52","18"
"01/05/2021","53","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","26",".","53","5"
"01/06/2021","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","29",".","30","4"
"01/07/2021","32","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","32",".","18","5"
"01/08/2021","44","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","30",".","44","23"
"01/09/2021","54","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","38",".","54","25"
"01/10/2021","58","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","33","16","58","23"
"01/11/2021","83","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","9",".","83","23"
"01/12/2021","60","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","24",".","60","24"
"01/13/2021","59","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","21",".","59","18"
"01/14/2021","84","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","8",".","84","21"
"01/15/2021","75","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","31",".","75","16"
"01/16/2021","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","31","2","10","14"
"01/17/2021","29","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","29",".","25","5"
"01/18/2021","28","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","28",".","21","7"
"01/19/2021","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","29",".","38","17"
