"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2019","29","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","29",".","13","12"
"01/02/2019","29","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","29",".","29","18"
"01/03/2019","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","28","6","28","17"
"01/04/2019","48","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","29",".","48","24"
"01/05/2019","71","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","16",".","71","16"
"01/06/2019","36","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","36",".","35","21"
"01/07/2019","35","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","35",".","19","13"
"01/08/2019","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","31",".","22","13"
"01/09/2019","27","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","27","4","21","16"
"01/10/2019","33","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","33",".","11","3"
"01/11/2019","36","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","36",".","25","16"
"01/12/2019","56","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","35",".","56","24"
"01/13/2019","63","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","32",".","63","25"
"01/14/2019","70","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","27",".","70","25"
"01/15/2019","77","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","17","27","77","25"
"01/16/2019","43","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","33",".","43","17"
"01/17/2019","53","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","31",".","53","25"
"01/18/2019","33","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","31",".","33","25"
"01/19/2019","33","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","33",".","29","7"
"01/20/2019","32","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","32",".","28","22"
"01/21/2019","34","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","34","3","18","20"
"01/22/2019","68","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","13","28",".","68","36"
"01/23/2019","65","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9","15",".","65","39"
"01/24/2019","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","9","31",".","28","29"
"01/25/2019","33","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","33",".","24","13"
"01/26/2019","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","35",".","38","25"
"01/27/2019","43","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","33","16","43","23"
"01/28/2019","36","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","36",".","33","27"
"01/29/2019","34","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","34",".","30","22"
"01/30/2019","37","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","37",".","23","11"
"01/31/2019","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","31",".","20","20"
"02/01/2019","39","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","34",".","39","27"
"02/02/2019","63","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","37","20","63","25"
"02/03/2019","75","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","14",".","75","25"
"02/04/2019","67","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","25",".","67","33"
"02/05/2019","48","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","32",".","48","24"
"02/06/2019","30","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","30",".","24","17"
"02/07/2019","27","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","27",".","18","20"
"02/08/2019","39","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","39","9","13","16"
"02/09/2019","41","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","41",".","10","4"
"02/10/2019","40","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","40",".","15","17"
"02/11/2019","39","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","39",".","20","7"
"02/12/2019","35","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","35",".","21","11"
"02/13/2019","39","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","39",".","16","18"
"02/14/2019","39","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","39","6","30","30"
"02/15/2019","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","38",".","38","25"
"02/16/2019","38","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","38",".","18","4"
"02/17/2019","41","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","41",".","25","16"
"02/18/2019","48","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","37",".","48","36"
"02/19/2019","66","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","39",".","66","42"
"02/20/2019","61","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9","31","23","61","32"
"02/21/2019","43","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","43",".","28","25"
"02/22/2019","41","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","41",".","36","25"
"02/23/2019","56","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","39",".","56","28"
"02/24/2019","44","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","44",".","15","16"
"02/25/2019","44","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","44",".","18","4"
"02/26/2019","40","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","40","14","23","4"
"02/27/2019","35","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","35",".","23","7"
"02/28/2019","38","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","38",".","37","30"
"03/01/2019","59","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","42",".","59","31"
"03/02/2019","59","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","44",".","59","29"
"03/03/2019","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","44",".","52","15"
"03/04/2019","45","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","45","6","27","8"
"03/05/2019","41","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","41",".","38","19"
"03/06/2019","41","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","41",".","28","31"
"03/07/2019","39","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","39",".","25","29"
