"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM25","NO2"
"06/06/2012","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","28","8"
"06/07/2012","31","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","31","8"
"06/08/2012","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","38","15"
"06/09/2012","39","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","39","8"
"06/10/2012","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","52","8"
"06/11/2012","54","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","54","13"
"06/12/2012","54","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","54","16"
"06/13/2012","33","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","33","."
"06/14/2012","36","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","36","."
"06/15/2012","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","40","."
"06/16/2012","44","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","44","9"
"06/17/2012","43","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","43","8"
"06/18/2012","46","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","46","28"
"06/19/2012","60","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","60","12"
"06/20/2012","76","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","76","12"
"06/21/2012","79","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","79","10"
"06/22/2012","62","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","62","15"
"06/23/2012","46","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","46","8"
"06/24/2012","36","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","36","6"
"06/25/2012","36","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","36","9"
"06/26/2012","18","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","18","4"
