"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM25","NO2"
"12/21/2012","11","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","11","7"
"12/22/2012","17","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","17","4"
"12/23/2012","34","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","34","17"
"12/24/2012","37","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","37","21"
"12/25/2012","65","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","65","22"
"12/26/2012","75","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","13","75","22"
"12/27/2012","27","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","27","5"
"12/28/2012","44","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","44","24"
"12/29/2012","82","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","82","30"
"12/30/2012","56","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","56","25"
"12/31/2012","66","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","66","38"
