"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"12/10/2017","39","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","30",".","39","19"
"12/11/2017","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","26",".","38","24"
"12/12/2017","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","25",".","28","19"
"12/13/2017","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","31",".","15","15"
"12/14/2017","34","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","34",".","31","27"
"12/15/2017","58","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","23","19","58","28"
"12/16/2017","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","31",".","52","28"
"12/17/2017","59","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","26",".","59","."
"12/18/2017","77","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","16",".","77","."
"12/19/2017","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","31",".","40","21"
"12/20/2017","32","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","32",".","12","6"
"12/21/2017","28","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","28","9","24","9"
"12/22/2017","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","31",".","27","16"
"12/23/2017","26","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","26",".","16","15"
"12/24/2017","30","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","30",".","23","21"
"12/25/2017","34","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","34",".","17","11"
"12/26/2017","36","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","36",".","17","9"
"12/27/2017","41","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","31","11","41","27"
"12/28/2017","34","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","34",".","29","19"
"12/29/2017","59","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","25",".","59","28"
"12/30/2017","68","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","26",".","68","28"
"12/31/2017","56","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","31",".","56","25"
