"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2016","23","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","0",".","5","23","11"
"01/02/2016","29","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".",".","29","6"
"01/03/2016","33","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","0",".",".","33","9"
"01/04/2016","32","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".",".","32","5"
"01/05/2016","51","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".",".","51","27"
"01/06/2016","79","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".",".","79","32"
"01/07/2016","87","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9",".",".","87","30"
"01/08/2016","66","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".",".","66","23"
"01/09/2016","22","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".",".","22","12"
"01/10/2016","16","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","0",".","2","9","16"
"01/11/2016","18","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".",".","18","5"
"01/12/2016","41","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".",".","41","21"
"01/13/2016","25","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".",".","25","19"
"01/14/2016","56","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".",".","56","26"
"01/15/2016","66","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".",".","66","25"
"01/16/2016","41","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".",".","41","21"
"01/17/2016","19","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".",".","19","15"
"01/18/2016","15","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".",".","15","5"
"01/19/2016","22","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","6","22","8"
"01/20/2016","59","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".",".","59","26"
"01/21/2016","73","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".",".","73","29"
"01/22/2016","54","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","19","54","30"
"01/23/2016","57","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".",".","57","22"
"01/24/2016","74","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".",".","74","23"
"01/25/2016","80","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".",".","80","30"
"01/26/2016","69","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".",".","69","36"
"01/27/2016","23","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".",".","23","22"
"01/28/2016","55","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","15","55","27"
"01/29/2016","27","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".",".",".","27"
"01/30/2016","24","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".",".",".","24"
"01/31/2016","66","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".",".","66","26"
"02/01/2016","23","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".",".",".","23"
"02/02/2016","36","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".",".","36","23"
"02/03/2016","29","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".",".","29","23"
"02/04/2016","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".",".","28","18"
