"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25","NO2"
"01/01/2011","116","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10",".","116","36"
"01/02/2011","70","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9",".","70","29"
"01/03/2011","20","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","8","20","7"
"01/04/2011","64","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","64","39"
"01/05/2011","50","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","50","32"
"01/06/2011","66","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9",".","66","35"
"01/07/2011","42","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9",".","42","26"
"01/08/2011","43","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","43","25"
"01/09/2011","21","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","6","21","4"
"01/10/2011","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","38","25"
"01/11/2011","56","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","56","32"
"01/12/2011","41","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","41","9"
"01/13/2011","14","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","14","."
"01/14/2011","33","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","33","."
"01/15/2011","81","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","22","81","."
"01/16/2011","41","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","41","."
"01/17/2011","65","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","65","."
"01/18/2011","39","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","39","."
"01/19/2011","53","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","53","29"
"01/20/2011","50","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","50","34"
"01/21/2011","50","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","12","50","22"
"01/22/2011","56","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","56","39"
"01/23/2011","85","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","85","30"
"01/24/2011","90","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9",".","90","34"
"01/25/2011","113","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","11",".","113","50"
"01/26/2011","103","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","15",".","103","40"
"01/27/2011","102","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10","30","102","39"
"01/28/2011","108","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10",".","108","38"
"01/29/2011","76","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","76","23"
"01/30/2011","85","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","85","28"
"01/31/2011","68","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","68","34"
"02/01/2011","80","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","80","34"
"02/02/2011","48","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","8","48","28"
"02/03/2011","62","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9",".","62","40"
"02/04/2011","93","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","11",".","93","51"
"02/05/2011","96","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10",".","96","41"
