"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25","NO2"
"09/09/2015","47","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","47","16"
"09/10/2015","16","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","16","8"
"09/11/2015","15","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","0",".","15","11"
"09/12/2015","25","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","25","13"
"09/13/2015","14","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","0",".","4","14"
"09/14/2015","9","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","0",".","8","9"
"09/15/2015","22","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","22","16"
"09/16/2015","29","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","29","."
"09/17/2015","34","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","34","15"
"09/18/2015","37","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","37","13"
"09/19/2015","39","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","39","19"
"09/20/2015","14","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","11","14"
"09/21/2015","16","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","16","11"
"09/22/2015","15","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","15","9"
"09/23/2015","15","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","15","11"
"09/24/2015","16","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".",".","16"
"09/25/2015","8","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".",".","8"
"09/26/2015","8","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".",".","8"
"09/27/2015","9","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".",".","9"
"09/28/2015","13","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".",".","13"
"09/29/2015","14","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","9","14"
"09/30/2015","6","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","6","4"
"10/01/2015","18","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","18","2"
"10/02/2015","18","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","18","6"
"10/03/2015","5","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","5","3"
"10/04/2015","17","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","17","10"
"10/05/2015","15","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".",".","15"
