"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25","NO2"
"01/23/2013","53","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","53","20"
"01/24/2013","63","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","63","22"
"01/25/2013","57","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","57","24"
"01/26/2013","58","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","58","34"
"01/27/2013","79","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","79","26"
"01/28/2013","80","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9",".","80","34"
"01/29/2013","76","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","76","28"
"01/30/2013","43","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","43","19"
"01/31/2013","25","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","8","25","17"
"02/01/2013","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","28","7"
"02/02/2013","47","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","47","21"
"02/03/2013","76","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10","20","76","25"
"02/04/2013","43","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","43","11"
"02/05/2013","54","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","54","20"
"02/06/2013","60","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","23","60","28"
"02/07/2013","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","40","10"
"02/08/2013","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","28","14"
"02/09/2013","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","40","33"
"02/10/2013","92","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","11",".","92","31"
"02/11/2013","77","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","13",".","77","33"
"02/12/2013","27","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","11",".","27","12"
"02/13/2013","58","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","11",".","58","26"
"02/14/2013","77","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","11",".","77","30"
"02/15/2013","75","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","11",".","75","32"
"02/16/2013","32","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10",".","32","11"
"02/17/2013","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","30","3"
"02/18/2013","43","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10",".","43","25"
"02/19/2013","78","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","13",".","78","32"
"02/20/2013","29","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","11",".","29","7"
"02/21/2013","35","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","35","6"
"02/22/2013","51","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","51","24"
"02/23/2013","27","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","27","13"
"02/24/2013","37","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","37","14"
"02/25/2013","66","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","66","16"
"02/26/2013","63","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","63","20"
"02/27/2013","16","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","16","15"
"02/28/2013","36","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","36","26"
"03/01/2013","41","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","41","5"
"03/02/2013","26","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","26","3"
"03/03/2013","26","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","26","7"
"03/04/2013","23","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","23","7"
"03/05/2013","47","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","47","25"
"03/06/2013","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","40","15"
"03/07/2013","26","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","26","5"
"03/08/2013","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","40","6"
"03/09/2013","72","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","72","32"
"03/10/2013","62","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","62","23"
"03/11/2013","58","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","58","26"
"03/12/2013","24","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","20","24"
"03/13/2013","44","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","44","22"
"03/14/2013","25","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","25","4"
"03/15/2013","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","40","25"
"03/16/2013","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","28","8"
"03/17/2013","48","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","48","16"
"03/18/2013","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","38","22"
"03/19/2013","18","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","18","11"
"03/20/2013","42","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","8","42","23"
"03/21/2013","41","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","41","33"
"03/22/2013","44","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","44","30"
"03/23/2013","19","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","19","4"
"03/24/2013","27","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","27","14"
"03/25/2013","56","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","56","20"
"03/26/2013","48","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","48","31"
"03/27/2013","55","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","55","25"
"03/28/2013","43","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","43","23"
"03/29/2013","58","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9",".","58","24"
"03/30/2013","59","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","59","22"
"03/31/2013","20","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".",".","20"
"04/01/2013","19","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","19","19"
"04/02/2013","6","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".",".","6"
"04/03/2013","22","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","22","5"
"04/04/2013","54","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","54","24"
"04/05/2013","61","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10",".","61","28"
"04/06/2013","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","38","19"
"04/07/2013","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","38","30"
"04/08/2013","37","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","37","13"
"04/09/2013","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","30","21"
"04/10/2013","35","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","35","8"
"04/11/2013","33","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","33","5"
"04/12/2013","22","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","22","16"
"04/13/2013","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","28","21"
"04/14/2013","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","38","16"
"04/15/2013","44","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","44","18"
"04/16/2013","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","28","25"
"04/17/2013","24","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","24","16"
"04/18/2013","25","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","25","16"
"04/19/2013","21","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","21","16"
"04/20/2013","22","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","22","7"
"04/21/2013","36","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","36","17"
"04/22/2013","42","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","42","18"
"04/23/2013","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","30","17"
"04/24/2013","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","38","15"
"04/25/2013","32","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","32","14"
"04/26/2013","44","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","44","17"
"04/27/2013","44","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","44","17"
"04/28/2013","36","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","36","13"
"04/29/2013","37","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","37","27"
"04/30/2013","29","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","29","18"
"05/01/2013","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","16","40","19"
"05/02/2013","32","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","32","16"
"05/03/2013","18","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","18","8"
"05/04/2013","20","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","20","17"
"05/05/2013","27","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","27","14"
"05/06/2013","19","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".",".","19"
"05/07/2013","29","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","29","20"
"05/08/2013","17","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".",".","17"
"05/09/2013","11","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".",".","11"
"05/10/2013","27","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","13","27","10"
"05/11/2013","21","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".",".","21"
"05/12/2013","4","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","0",".",".","4"
"05/13/2013","11","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","0","6","11","10"
"05/14/2013","16","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","0",".",".","16"
"05/15/2013","14","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".",".","14"
"05/16/2013","24","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","14","24","13"
"05/17/2013","20","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","20","10"
"05/18/2013","31","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","31","15"
"05/19/2013","29","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","8","29","14"
"05/20/2013","24","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","24","11"
"05/21/2013","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","30","9"
"05/22/2013","27","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","27","9"
"05/23/2013","31","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","31","10"
"05/24/2013","15","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","15","2"
"05/25/2013","16","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","1","16","0"
"05/26/2013","18","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","18","10"
"05/27/2013","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","28","9"
"05/28/2013","32","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","32","9"
"05/29/2013","27","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","27","10"
"05/30/2013","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","30","16"
"05/31/2013","58","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","58","11"
"06/01/2013","57","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","57","13"
"06/02/2013","39","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","39","10"
"06/03/2013","23","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","23","6"
"06/04/2013","22","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","22","7"
"06/05/2013","20","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","20","8"
"06/06/2013","27","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","13","27","13"
"06/07/2013","15","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","15","14"
"06/08/2013","13","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","13","4"
"06/09/2013","22","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","10","22","6"
"06/10/2013","24","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","24","13"
"06/11/2013","16","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","13","16"
"06/12/2013","27","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","10","27","6"
"06/13/2013","31","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","31","10"
"06/14/2013","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","38","."
"06/15/2013","33","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","11","33","8"
"06/16/2013","45","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","45","8"
"06/17/2013","24","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","24","10"
"06/18/2013","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","12","28","5"
"06/19/2013","25","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","25","5"
"06/20/2013","31","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","31","10"
"06/21/2013","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","16","38","16"
"06/22/2013","56","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","56","10"
"06/23/2013","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","52","10"
"06/24/2013","57","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","25","57","10"
"06/25/2013","45","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","45","9"
"06/26/2013","33","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","33","11"
"06/27/2013","43","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","43","7"
"06/28/2013","13","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","13","6"
"06/29/2013","20","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","20","12"
"06/30/2013","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","28","8"
"07/01/2013","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","30","4"
"07/02/2013","14","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","14","6"
"07/03/2013","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","28","9"
"07/04/2013","24","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","24","7"
"07/05/2013","20","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","20","8"
"07/06/2013","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","30","5"
"07/07/2013","29","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","29","4"
"07/08/2013","15","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","15","9"
"07/09/2013","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","30","5"
"07/10/2013","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","38","11"
"07/11/2013","23","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","23","8"
"07/12/2013","25","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","12","25","5"
"07/13/2013","24","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","24","7"
"07/14/2013","18","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","18","4"
"07/15/2013","43","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","14","43","9"
"07/16/2013","47","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","47","11"
"07/17/2013","49","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","49","8"
"07/18/2013","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","18","52","8"
"07/19/2013","39","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","39","19"
"07/20/2013","20","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","20","14"
"07/21/2013","26","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","9","26","3"
"07/22/2013","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","30","5"
"07/23/2013","14","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","14","."
"07/24/2013","17","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","9","17","7"
"07/25/2013","18","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","18","4"
"07/26/2013","23","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","23","7"
"07/27/2013","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","30","6"
"07/28/2013","43","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","43","10"
"07/29/2013","35","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","35","14"
"07/30/2013","21","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","21","8"
"07/31/2013","24","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","24","."
"08/01/2013","41","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","41","."
"08/02/2013","26","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","26","9"
"08/03/2013","20","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","20","7"
"08/04/2013","15","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","15","7"
"08/05/2013","14","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","14","7"
"08/06/2013","21","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","21","7"
"08/07/2013","27","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","27","9"
"08/08/2013","39","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","12","39","9"
"08/09/2013","29","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","29","10"
"08/10/2013","22","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","22","7"
"08/11/2013","23","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","9","23","8"
"08/12/2013","9","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".",".","9"
"08/13/2013","9","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".",".","9"
"08/14/2013","17","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","17","8"
"08/15/2013","23","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","23","7"
"08/16/2013","34","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","34","10"
"08/17/2013","44","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","15","44","7"
"08/18/2013","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","38","7"
"08/19/2013","43","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","43","8"
"08/20/2013","58","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","22","58","9"
"08/21/2013","61","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","61","18"
"08/22/2013","55","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","55","10"
"08/23/2013","26","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","11","26","8"
"08/24/2013","24","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","24","9"
"08/25/2013","19","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","19","11"
"08/26/2013","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","17","52","15"
"08/27/2013","34","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","34","8"
"08/28/2013","25","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","25","10"
"08/29/2013","23","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","23","11"
"08/30/2013","26","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","26","8"
"08/31/2013","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","38","10"
"09/01/2013","44","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","44","7"
"09/02/2013","18","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","18","10"
"09/03/2013","15","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","15","13"
"09/04/2013","18","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","9","18","8"
"09/05/2013","16","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","16","7"
"09/06/2013","19","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","19","9"
"09/07/2013","21","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","7","21","8"
"09/08/2013","17","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","17","7"
"09/09/2013","20","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","20","8"
"09/10/2013","49","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","18","49","13"
"09/11/2013","55","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","55","22"
"09/12/2013","21","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","21","12"
"09/13/2013","16","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","6","16","5"
"09/14/2013","17","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","17","4"
"09/15/2013","21","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","21","7"
"09/16/2013","7","CO","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".",".","."
"09/19/2013","25","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS",".","12","25","."
"09/21/2013","26","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS",".",".","26","."
"09/22/2013","14","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS",".","2","14","."
"09/23/2013","19","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS",".",".","19","."
"09/24/2013","19","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS",".",".","19","."
"09/25/2013","34","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS",".","7","34","."
"09/26/2013","27","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS",".",".","27","."
"09/27/2013","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS",".",".","28","."
