"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25","NO2"
"01/01/2013","47","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","7","47","15"
"01/02/2013","53","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","53","25"
"01/03/2013","84","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","13",".","84","34"
"01/04/2013","66","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","66","31"
"01/05/2013","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","52","28"
"01/06/2013","73","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","73","26"
"01/07/2013","76","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10",".","76","31"
"01/08/2013","128","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","15",".","128","42"
"01/09/2013","116","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","16",".","116","41"
"01/10/2013","48","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10",".","48","32"
"01/11/2013","69","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","11",".","69","24"
"01/12/2013","66","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","11",".","66","22"
"01/13/2013","71","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","11","18","71","20"
"01/14/2013","62","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","11",".","62","21"
"01/15/2013","68","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","11",".","68","29"
"01/16/2013","58","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","11","14","58","25"
"01/17/2013","36","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9",".","36","13"
"01/18/2013","49","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9",".","49","27"
"01/19/2013","71","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9",".","71","31"
"01/20/2013","37","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10",".","37","27"
"01/21/2013","26","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","26","8"
"01/22/2013","50","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","50","19"
