"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25","NO2"
"01/01/2014","44","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","44","28"
"01/02/2014","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","52","9"
"01/03/2014","68","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","68","27"
"01/04/2014","114","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","114","32"
"01/05/2014","112","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","112","35"
"01/06/2014","19","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","18","19"
"01/07/2014","42","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","42","6"
"01/08/2014","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","52","10"
"01/09/2014","60","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","60","26"
"01/10/2014","95","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","95","28"
"01/11/2014","62","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","62","22"
"01/12/2014","25","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","0",".","25","5"
"01/13/2014","68","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","68","26"
"01/14/2014","76","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","19","76","24"
"01/15/2014","58","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","58","24"
"01/16/2014","53","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","53","8"
"01/17/2014","79","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","19","79","21"
"01/18/2014","90","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","90","17"
"01/19/2014","50","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","50","8"
"01/20/2014","37","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","0","6","37","14"
"01/21/2014","39","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","39","10"
"01/22/2014","58","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","58","14"
"01/23/2014","74","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","74","20"
"01/24/2014","50","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","50","18"
"01/25/2014","48","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","48","23"
"01/26/2014","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","0",".","38","19"
"01/27/2014","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","0",".","40","23"
"01/28/2014","55","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","24","55","25"
"01/29/2014","82","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","35","82","23"
"01/30/2014","68","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","34","68","32"
"01/31/2014","73","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","73","26"
"02/01/2014","90","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","32","90","20"
"02/02/2014","68","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","68","25"
"02/03/2014","50","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","0",".","50","8"
"02/04/2014","64","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","22","64","20"
"02/05/2014","58","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","58","14"
"02/06/2014","59","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","59","28"
"02/07/2014","55","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","55","36"
"02/08/2014","62","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","62","28"
"02/09/2014","77","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","77","21"
"02/10/2014","83","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","83","34"
"02/11/2014","80","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","80","34"
"02/12/2014","105","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10",".","105","29"
"02/13/2014","83","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","11","22","83","29"
"02/14/2014","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","40","16"
"02/15/2014","83","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","83","36"
"02/16/2014","39","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","6","39","13"
"02/17/2014","38","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".",".","38"
"02/18/2014","37","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".",".","37"
"02/19/2014","95","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9",".","95","27"
"02/20/2014","73","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","73","39"
"02/21/2014","26","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".",".","26"
"02/22/2014","23","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","2","13","23"
"02/23/2014","7","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".",".","7"
"02/24/2014","8","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".",".","8"
"02/25/2014","27","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","11","27","16"
"02/26/2014","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","38","20"
