"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2011","43","Ozone","","33-007-4001","AQS","43","."
"01/02/2011","45","Ozone","","33-007-4001","AQS","45","."
"01/03/2011","39","Ozone","","33-007-4001","AQS","39","."
"01/04/2011","38","Ozone","","33-007-4001","AQS","38","."
"01/05/2011","38","Ozone","","33-007-4001","AQS","38","."
"01/06/2011","40","Ozone","","33-007-4001","AQS","40","6"
"01/07/2011","44","Ozone","","33-007-4001","AQS","44","."
"01/08/2011","44","Ozone","","33-007-4001","AQS","44","."
"01/09/2011","34","Ozone","","33-007-4001","AQS","34","8"
"01/10/2011","45","Ozone","","33-007-4001","AQS","45","."
"01/11/2011","45","Ozone","","33-007-4001","AQS","45","."
"01/12/2011","44","Ozone","","33-007-4001","AQS","44","5"
"01/13/2011","36","Ozone","","33-007-4001","AQS","36","."
"01/14/2011","45","Ozone","","33-007-4001","AQS","45","."
"01/15/2011","46","Ozone","","33-007-4001","AQS","46","9"
"01/16/2011","38","Ozone","","33-007-4001","AQS","38","."
"01/17/2011","46","Ozone","","33-007-4001","AQS","46","."
"01/18/2011","44","Ozone","","33-007-4001","AQS","44","."
"01/19/2011","44","Ozone","","33-007-4001","AQS","44","."
"01/20/2011","44","Ozone","","33-007-4001","AQS","44","."
"01/21/2011","42","Ozone","","33-007-4001","AQS","42","21"
"01/22/2011","40","Ozone","","33-007-4001","AQS","40","."
"01/23/2011","35","Ozone","","33-007-4001","AQS","35","."
"01/24/2011","43","Ozone","","33-007-4001","AQS","43","13"
"01/25/2011","42","Ozone","","33-007-4001","AQS","42","."
"01/26/2011","45","Ozone","","33-007-4001","AQS","45","."
"01/27/2011","44","Ozone","","33-007-4001","AQS","44","23"
"01/28/2011","42","Ozone","","33-007-4001","AQS","42","."
"01/29/2011","37","Ozone","","33-007-4001","AQS","37","."
"01/30/2011","38","Ozone","","33-007-4001","AQS","38","23"
"01/31/2011","44","Ozone","","33-007-4001","AQS","44","."
"02/01/2011","44","Ozone","","33-007-4001","AQS","44","."
"02/02/2011","42","Ozone","","33-007-4001","AQS","42","5"
"02/03/2011","44","Ozone","","33-007-4001","AQS","44","."
"02/04/2011","44","Ozone","","33-007-4001","AQS","44","."
"02/05/2011","49","Ozone","","33-007-4001","AQS","49","14"
"02/06/2011","40","Ozone","","33-007-4001","AQS","40","."
"02/07/2011","44","Ozone","","33-007-4001","AQS","44","."
"02/08/2011","40","Ozone","","33-007-4001","AQS","40","24"
"02/09/2011","40","Ozone","","33-007-4001","AQS","40","."
"02/10/2011","40","Ozone","","33-007-4001","AQS","40","."
"02/11/2011","43","Ozone","","33-007-4001","AQS","43","24"
"02/12/2011","40","Ozone","","33-007-4001","AQS","40","."
"02/13/2011","45","Ozone","","33-007-4001","AQS","45","."
"02/14/2011","46","Ozone","","33-007-4001","AQS","46","23"
"02/15/2011","44","Ozone","","33-007-4001","AQS","44","."
"02/16/2011","48","Ozone","","33-007-4001","AQS","48","."
"02/17/2011","67","Ozone","","33-007-4001","AQS","67","28"
"02/18/2011","71","Ozone","","33-007-4001","AQS","71","."
"02/19/2011","38","Ozone","","33-007-4001","AQS","38","."
"02/20/2011","44","Ozone","","33-007-4001","AQS","44","15"
"02/21/2011","43","Ozone","","33-007-4001","AQS","43","."
"02/22/2011","45","Ozone","","33-007-4001","AQS","45","."
"02/23/2011","47","Ozone","","33-007-4001","AQS","47","6"
"02/24/2011","47","Ozone","","33-007-4001","AQS","47","."
"02/25/2011","45","Ozone","","33-007-4001","AQS","45","."
"02/26/2011","44","Ozone","","33-007-4001","AQS","44","13"
"02/27/2011","44","Ozone","","33-007-4001","AQS","44","."
"02/28/2011","44","Ozone","","33-007-4001","AQS","44","."
"03/01/2011","47","Ozone","","33-007-4001","AQS","47","10"
"03/02/2011","44","Ozone","","33-007-4001","AQS","44","."
"03/03/2011","46","Ozone","","33-007-4001","AQS","46","."
"03/04/2011","50","Ozone","","33-007-4001","AQS","50","13"
"03/05/2011","46","Ozone","","33-007-4001","AQS","46","."
"03/06/2011","45","Ozone","","33-007-4001","AQS","45","."
"03/07/2011","45","Ozone","","33-007-4001","AQS","45","7"
"03/08/2011","47","Ozone","","33-007-4001","AQS","47","."
"03/09/2011","47","Ozone","","33-007-4001","AQS","47","."
"03/10/2011","46","Ozone","","33-007-4001","AQS","46","6"
"03/11/2011","49","Ozone","","33-007-4001","AQS","49","."
"03/12/2011","43","Ozone","","33-007-4001","AQS","43","."
"03/13/2011","44","Ozone","","33-007-4001","AQS","44","13"
"03/14/2011","48","Ozone","","33-007-4001","AQS","48","."
"03/15/2011","51","Ozone","","33-007-4001","AQS","51","."
"03/16/2011","54","Ozone","","33-007-4001","AQS","54","15"
"03/17/2011","61","Ozone","","33-007-4001","AQS","61","."
"03/18/2011","50","Ozone","","33-007-4001","AQS","50","."
"03/19/2011","44","Ozone","","33-007-4001","AQS","44","10"
"03/20/2011","54","Ozone","","33-007-4001","AQS","54","."
"03/21/2011","50","Ozone","","33-007-4001","AQS","50","."
"03/22/2011","44","Ozone","","33-007-4001","AQS","44","10"
"03/23/2011","58","Ozone","","33-007-4001","AQS","58","."
"03/24/2011","45","Ozone","","33-007-4001","AQS","45","."
"03/25/2011","42","Ozone","","33-007-4001","AQS","42","13"
"03/26/2011","40","Ozone","","33-007-4001","AQS","40","."
"03/27/2011","45","Ozone","","33-007-4001","AQS","45","."
"03/28/2011","44","Ozone","","33-007-4001","AQS","44","8"
"03/29/2011","44","Ozone","","33-007-4001","AQS","44","."
"03/30/2011","67","Ozone","","33-007-4001","AQS","67","."
"03/31/2011","67","Ozone","","33-007-4001","AQS","67","10"
"04/01/2011","64","Ozone","","33-007-4001","AQS","64","."
"04/02/2011","51","Ozone","","33-007-4001","AQS","51","."
"04/03/2011","54","Ozone","","33-007-4001","AQS","54","."
"04/04/2011","54","Ozone","","33-007-4001","AQS","54","."
"04/05/2011","46","Ozone","","33-007-4001","AQS","46","."
"04/06/2011","48","Ozone","","33-007-4001","AQS","48","10"
"04/07/2011","50","Ozone","","33-007-4001","AQS","50","."
"04/08/2011","54","Ozone","","33-007-4001","AQS","54","."
"04/09/2011","64","Ozone","","33-007-4001","AQS","64","14"
"04/10/2011","93","Ozone","","33-007-4001","AQS","93","."
"04/11/2011","51","Ozone","","33-007-4001","AQS","51","."
"04/12/2011","67","Ozone","","33-007-4001","AQS","67","13"
"04/13/2011","61","Ozone","","33-007-4001","AQS","61","."
"04/14/2011","50","Ozone","","33-007-4001","AQS","50","."
"04/15/2011","48","Ozone","","33-007-4001","AQS","48","9"
"04/16/2011","48","Ozone","","33-007-4001","AQS","48","."
"04/17/2011","47","Ozone","","33-007-4001","AQS","47","."
"04/18/2011","58","Ozone","","33-007-4001","AQS","58","7"
"04/19/2011","74","Ozone","","33-007-4001","AQS","74","."
"04/20/2011","64","Ozone","","33-007-4001","AQS","64","."
"04/21/2011","44","Ozone","","33-007-4001","AQS","44","8"
"04/22/2011","50","Ozone","","33-007-4001","AQS","50","."
"04/23/2011","58","Ozone","","33-007-4001","AQS","58","."
"04/24/2011","46","Ozone","","33-007-4001","AQS","46","13"
"04/25/2011","58","Ozone","","33-007-4001","AQS","58","."
"04/26/2011","64","Ozone","","33-007-4001","AQS","64","."
"04/27/2011","50","Ozone","","33-007-4001","AQS","50","15"
"04/28/2011","50","Ozone","","33-007-4001","AQS","50","."
"04/29/2011","50","Ozone","","33-007-4001","AQS","50","."
"04/30/2011","87","Ozone","","33-007-4001","AQS","87","8"
"05/01/2011","87","Ozone","","33-007-4001","AQS","87","."
"05/02/2011","54","Ozone","","33-007-4001","AQS","54","."
"05/03/2011","61","Ozone","","33-007-4001","AQS","61","25"
"05/04/2011","49","Ozone","","33-007-4001","AQS","49","."
"05/05/2011","40","Ozone","","33-007-4001","AQS","40","."
"05/06/2011","67","Ozone","","33-007-4001","AQS","67","13"
"05/07/2011","71","Ozone","","33-007-4001","AQS","71","."
"05/08/2011","44","Ozone","","33-007-4001","AQS","44","."
"05/09/2011","43","Ozone","","33-007-4001","AQS","43","8"
"05/10/2011","45","Ozone","","33-007-4001","AQS","45","."
"05/11/2011","48","Ozone","","33-007-4001","AQS","48","."
"05/12/2011","49","Ozone","","33-007-4001","AQS","49","7"
"05/13/2011","61","Ozone","","33-007-4001","AQS","61","."
"05/14/2011","80","Ozone","","33-007-4001","AQS","80","."
"05/15/2011","38","Ozone","","33-007-4001","AQS","38","2"
"05/16/2011","64","Ozone","","33-007-4001","AQS","64","."
"05/17/2011","67","Ozone","","33-007-4001","AQS","67","."
"05/18/2011","31","Ozone","","33-007-4001","AQS","31","."
"05/19/2011","51","Ozone","","33-007-4001","AQS","51","."
"05/20/2011","48","Ozone","","33-007-4001","AQS","48","."
"05/21/2011","51","Ozone","","33-007-4001","AQS","51","8"
"05/22/2011","46","Ozone","","33-007-4001","AQS","46","."
"05/23/2011","50","Ozone","","33-007-4001","AQS","50","."
"05/24/2011","47","Ozone","","33-007-4001","AQS","47","15"
"05/25/2011","58","Ozone","","33-007-4001","AQS","58","."
"05/26/2011","80","Ozone","","33-007-4001","AQS","80","."
"05/27/2011","100","Ozone","","33-007-4001","AQS","100","47"
"05/28/2011","101","Ozone","","33-007-4001","AQS","101","."
"05/29/2011","47","Ozone","","33-007-4001","AQS","47","."
"05/30/2011","45","Ozone","","33-007-4001","AQS","45","34"
"05/31/2011","58","Ozone","","33-007-4001","AQS","58","."
"06/01/2011","74","Ozone","","33-007-4001","AQS","74","."
"06/02/2011","45","Ozone","","33-007-4001","AQS","45","7"
"06/03/2011","44","Ozone","","33-007-4001","AQS","44","."
"06/04/2011","45","Ozone","","33-007-4001","AQS","45","."
"06/05/2011","46","Ozone","","33-007-4001","AQS","46","13"
"06/06/2011","47","Ozone","","33-007-4001","AQS","47","."
"06/07/2011","58","Ozone","","33-007-4001","AQS","58","."
"06/08/2011","80","Ozone","","33-007-4001","AQS","80","48"
"06/09/2011","101","Ozone","","33-007-4001","AQS","101","."
"06/10/2011","39","Ozone","","33-007-4001","AQS","39","."
"06/11/2011","43","Ozone","","33-007-4001","AQS","43","8"
"06/12/2011","71","Ozone","","33-007-4001","AQS","71","."
"06/13/2011","44","Ozone","","33-007-4001","AQS","44","."
"06/14/2011","35","Ozone","","33-007-4001","AQS","35","9"
"06/15/2011","47","Ozone","","33-007-4001","AQS","47","."
"06/16/2011","46","Ozone","","33-007-4001","AQS","46","."
"06/17/2011","77","Ozone","","33-007-4001","AQS","77","47"
"06/18/2011","80","Ozone","","33-007-4001","AQS","80","."
"06/19/2011","36","Ozone","","33-007-4001","AQS","36","."
"06/20/2011","44","Ozone","","33-007-4001","AQS","44","16"
"06/21/2011","43","Ozone","","33-007-4001","AQS","43","."
"06/22/2011","71","Ozone","","33-007-4001","AQS","71","."
"06/23/2011","71","Ozone","","33-007-4001","AQS","71","14"
"06/24/2011","54","Ozone","","33-007-4001","AQS","54","."
"06/25/2011","51","Ozone","","33-007-4001","AQS","51","."
"06/26/2011","35","Ozone","","33-007-4001","AQS","35","15"
"06/27/2011","37","Ozone","","33-007-4001","AQS","37","."
"06/28/2011","44","Ozone","CAMP DODGE, GREENS GRANT","33-007-4002","AQS","44","."
"06/29/2011","64","Ozone","","33-007-4001","AQS","64","."
"06/30/2011","31","Ozone","","33-007-4001","AQS","31","."
"07/01/2011","37","Ozone","","33-007-4001","AQS","37","."
"07/02/2011","36","Ozone","","33-007-4001","AQS","36","18"
"07/03/2011","58","Ozone","","33-007-4001","AQS","58","."
"07/04/2011","43","Ozone","","33-007-4001","AQS","43","."
"07/05/2011","48","PM2.5","CAMP DODGE, GREENS GRANT","33-007-4002","AQS","35","48"
"07/06/2011","58","Ozone","","33-007-4001","AQS","58","."
"07/07/2011","43","Ozone","","33-007-4001","AQS","43","."
"07/08/2011","71","Ozone","","33-007-4001","AQS","71","27"
"07/09/2011","49","Ozone","","33-007-4001","AQS","49","."
"07/10/2011","50","Ozone","","33-007-4001","AQS","50","."
"07/11/2011","87","Ozone","","33-007-4001","AQS","87","56"
"07/12/2011","77","Ozone","","33-007-4001","AQS","77","."
"07/13/2011","32","Ozone","","33-007-4001","AQS","32","."
"07/14/2011","33","Ozone","","33-007-4001","AQS","33","."
"07/15/2011","38","Ozone","","33-007-4001","AQS","38","."
"07/16/2011","45","Ozone","","33-007-4001","AQS","45","."
"07/17/2011","80","Ozone","","33-007-4001","AQS","80","50"
"07/18/2011","51","Ozone","","33-007-4001","AQS","51","."
"07/19/2011","35","Ozone","","33-007-4001","AQS","35","."
"07/20/2011","74","Ozone","","33-007-4001","AQS","74","73"
"07/21/2011","77","Ozone","","33-007-4001","AQS","77","."
"07/22/2011","64","Ozone","","33-007-4001","AQS","64","."
"07/23/2011","50","Ozone","","33-007-4001","AQS","50","25"
"07/24/2011","30","Ozone","","33-007-4001","AQS","30","."
"07/25/2011","31","Ozone","","33-007-4001","AQS","31","."
"07/26/2011","33","Ozone","","33-007-4001","AQS","33","17"
"07/27/2011","37","Ozone","","33-007-4001","AQS","37","."
"07/28/2011","36","Ozone","","33-007-4001","AQS","36","."
"07/29/2011","54","Ozone","","33-007-4001","AQS","54","42"
"07/30/2011","44","Ozone","","33-007-4001","AQS","44","."
"07/31/2011","40","Ozone","","33-007-4001","AQS","40","."
"08/01/2011","43","Ozone","","33-007-4001","AQS","43","30"
"08/02/2011","33","Ozone","","33-007-4001","AQS","33","."
"08/03/2011","41","Ozone","","33-007-4001","AQS","41","."
"08/04/2011","41","Ozone","","33-007-4001","AQS","41","."
"08/05/2011","38","Ozone","","33-007-4001","AQS","38","."
"08/06/2011","61","Ozone","","33-007-4001","AQS","61","."
"08/07/2011","50","Ozone","","33-007-4001","AQS","50","."
"08/08/2011","44","Ozone","","33-007-4001","AQS","44","."
"08/09/2011","41","Ozone","","33-007-4001","AQS","41","."
"08/10/2011","43","Ozone","","33-007-4001","AQS","43","."
"08/11/2011","30","Ozone","","33-007-4001","AQS","30","."
"08/12/2011","30","Ozone","","33-007-4001","AQS","30","."
"08/13/2011","45","Ozone","","33-007-4001","AQS","45","."
"08/14/2011","64","Ozone","","33-007-4001","AQS","64","."
"08/15/2011","41","Ozone","","33-007-4001","AQS","41","."
"08/16/2011","47","Ozone","","33-007-4001","AQS","47","."
"08/17/2011","32","Ozone","","33-007-4001","AQS","32","."
"08/18/2011","64","Ozone","","33-007-4001","AQS","64","."
"08/19/2011","64","Ozone","","33-007-4001","AQS","64","60"
"08/20/2011","58","Ozone","","33-007-4001","AQS","58","."
"08/21/2011","51","Ozone","","33-007-4001","AQS","51","."
"08/22/2011","38","Ozone","","33-007-4001","AQS","38","10"
"08/23/2011","32","Ozone","","33-007-4001","AQS","32","."
"08/24/2011","61","Ozone","","33-007-4001","AQS","61","."
"08/25/2011","50","Ozone","","33-007-4001","AQS","50","37"
"08/26/2011","41","Ozone","","33-007-4001","AQS","41","."
"08/27/2011","45","Ozone","","33-007-4001","AQS","45","."
"08/28/2011","32","Ozone","","33-007-4001","AQS","32","."
"08/29/2011","30","Ozone","","33-007-4001","AQS","30","."
"08/30/2011","35","Ozone","","33-007-4001","AQS","35","."
"08/31/2011","37","Ozone","","33-007-4001","AQS","37","."
"09/01/2011","49","Ozone","","33-007-4001","AQS","49","."
"09/02/2011","77","Ozone","","33-007-4001","AQS","77","."
"09/03/2011","77","Ozone","","33-007-4001","AQS","77","53"
"09/04/2011","74","Ozone","","33-007-4001","AQS","74","."
"09/05/2011","74","Ozone","","33-007-4001","AQS","74","."
"09/06/2011","74","Ozone","","33-007-4001","AQS","74","7"
"09/07/2011","36","Ozone","","33-007-4001","AQS","36","."
"09/08/2011","54","Ozone","","33-007-4001","AQS","54","."
"09/09/2011","54","Ozone","","33-007-4001","AQS","54","15"
"09/10/2011","38","Ozone","","33-007-4001","AQS","38","."
"09/11/2011","32","Ozone","","33-007-4001","AQS","32","."
"09/12/2011","37","Ozone","","33-007-4001","AQS","37","30"
"09/13/2011","48","Ozone","","33-007-4001","AQS","48","."
"09/14/2011","48","Ozone","","33-007-4001","AQS","48","."
