"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2016","35","Ozone","","33-007-4001","AQS","35","5"
"01/02/2016","35","Ozone","","33-007-4001","AQS","35","."
"01/03/2016","35","Ozone","","33-007-4001","AQS","35","."
"01/04/2016","40","Ozone","","33-007-4001","AQS","40","10"
"01/05/2016","41","Ozone","","33-007-4001","AQS","41","."
"01/06/2016","44","Ozone","","33-007-4001","AQS","44","."
"01/07/2016","48","Ozone","","33-007-4001","AQS","48","8"
"01/08/2016","49","Ozone","","33-007-4001","AQS","49","."
"01/09/2016","45","Ozone","","33-007-4001","AQS","45","."
"01/10/2016","42","Ozone","","33-007-4001","AQS","42","1"
"01/11/2016","34","Ozone","","33-007-4001","AQS","34","."
"01/12/2016","37","Ozone","","33-007-4001","AQS","37","."
"01/13/2016","37","Ozone","","33-007-4001","AQS","37","10"
"01/14/2016","36","Ozone","","33-007-4001","AQS","36","."
"01/15/2016","49","Ozone","","33-007-4001","AQS","49","."
"01/16/2016","44","Ozone","","33-007-4001","AQS","44","8"
"01/17/2016","43","Ozone","","33-007-4001","AQS","43","."
"01/18/2016","40","Ozone","","33-007-4001","AQS","40","."
"01/19/2016","37","Ozone","","33-007-4001","AQS","37","4"
"01/20/2016","39","Ozone","","33-007-4001","AQS","39","."
"01/21/2016","40","Ozone","","33-007-4001","AQS","40","."
"01/22/2016","44","Ozone","","33-007-4001","AQS","44","4"
"01/23/2016","46","Ozone","","33-007-4001","AQS","46","."
"01/24/2016","46","Ozone","","33-007-4001","AQS","46","."
"01/25/2016","45","Ozone","","33-007-4001","AQS","45","12"
"01/26/2016","46","Ozone","","33-007-4001","AQS","46","."
"01/27/2016","44","Ozone","","33-007-4001","AQS","44","."
"01/28/2016","44","Ozone","","33-007-4001","AQS","44","6"
"01/29/2016","44","Ozone","","33-007-4001","AQS","44","."
"01/30/2016","42","Ozone","","33-007-4001","AQS","42","."
"01/31/2016","48","Ozone","","33-007-4001","AQS","48","15"
"02/01/2016","46","Ozone","","33-007-4001","AQS","46","."
"02/02/2016","44","Ozone","","33-007-4001","AQS","44","."
"02/03/2016","43","Ozone","","33-007-4001","AQS","43","4"
"02/04/2016","42","Ozone","","33-007-4001","AQS","42","."
"02/05/2016","39","Ozone","","33-007-4001","AQS","39","."
"02/06/2016","39","Ozone","","33-007-4001","AQS","39","11"
"02/07/2016","44","Ozone","","33-007-4001","AQS","44","."
"02/08/2016","49","Ozone","","33-007-4001","AQS","49","."
"02/09/2016","50","Ozone","","33-007-4001","AQS","50","10"
"02/10/2016","36","Ozone","","33-007-4001","AQS","36","."
"02/11/2016","39","Ozone","","33-007-4001","AQS","39","."
"02/12/2016","42","Ozone","","33-007-4001","AQS","42","7"
"02/13/2016","38","Ozone","","33-007-4001","AQS","38","."
"02/14/2016","44","Ozone","","33-007-4001","AQS","44","."
"02/15/2016","44","Ozone","","33-007-4001","AQS","44","10"
"02/16/2016","43","Ozone","","33-007-4001","AQS","43","."
"02/17/2016","43","Ozone","","33-007-4001","AQS","43","."
"02/18/2016","44","Ozone","","33-007-4001","AQS","44","12"
"02/19/2016","43","Ozone","","33-007-4001","AQS","43","."
"02/20/2016","43","Ozone","","33-007-4001","AQS","43","."
"02/21/2016","44","Ozone","","33-007-4001","AQS","44","5"
"02/22/2016","48","Ozone","","33-007-4001","AQS","48","."
"02/23/2016","46","Ozone","","33-007-4001","AQS","46","."
"02/24/2016","47","Ozone","","33-007-4001","AQS","47","3"
"02/25/2016","41","Ozone","","33-007-4001","AQS","41","."
"02/26/2016","44","Ozone","","33-007-4001","AQS","44","."
"02/27/2016","44","Ozone","","33-007-4001","AQS","44","6"
"02/28/2016","50","Ozone","","33-007-4001","AQS","50","."
"02/29/2016","49","Ozone","","33-007-4001","AQS","49","."
"03/01/2016","45","Ozone","","33-007-4001","AQS","45","6"
"03/02/2016","45","Ozone","","33-007-4001","AQS","45","."
"03/03/2016","41","Ozone","","33-007-4001","AQS","41","."
"03/04/2016","42","Ozone","","33-007-4001","AQS","42","8"
"03/05/2016","43","Ozone","","33-007-4001","AQS","43","."
"03/06/2016","44","Ozone","","33-007-4001","AQS","44","."
"03/07/2016","45","Ozone","","33-007-4001","AQS","45","19"
"03/08/2016","50","Ozone","","33-007-4001","AQS","50","."
"03/09/2016","50","Ozone","","33-007-4001","AQS","50","."
"03/10/2016","47","Ozone","","33-007-4001","AQS","47","16"
"03/11/2016","44","Ozone","","33-007-4001","AQS","44","."
"03/12/2016","44","Ozone","","33-007-4001","AQS","44","."
"03/13/2016","50","Ozone","","33-007-4001","AQS","50","6"
"03/14/2016","49","Ozone","","33-007-4001","AQS","49","."
"03/15/2016","46","Ozone","","33-007-4001","AQS","46","."
"03/16/2016","44","Ozone","","33-007-4001","AQS","44","2"
"03/17/2016","44","Ozone","","33-007-4001","AQS","44","."
"03/18/2016","41","Ozone","","33-007-4001","AQS","41","."
"03/19/2016","51","Ozone","","33-007-4001","AQS","51","5"
"03/20/2016","54","Ozone","","33-007-4001","AQS","54","."
"03/21/2016","45","Ozone","","33-007-4001","AQS","45","."
"03/22/2016","45","Ozone","","33-007-4001","AQS","45","8"
"03/23/2016","48","Ozone","","33-007-4001","AQS","48","."
"03/24/2016","74","Ozone","","33-007-4001","AQS","74","."
"03/25/2016","58","Ozone","","33-007-4001","AQS","58","3"
"03/26/2016","67","Ozone","","33-007-4001","AQS","67","."
"03/27/2016","67","Ozone","","33-007-4001","AQS","67","."
"03/28/2016","50","Ozone","","33-007-4001","AQS","50","6"
"03/29/2016","45","Ozone","","33-007-4001","AQS","45","."
"03/30/2016","49","Ozone","","33-007-4001","AQS","49","."
"03/31/2016","54","Ozone","","33-007-4001","AQS","54","19"
"04/01/2016","46","Ozone","","33-007-4001","AQS","46","."
"04/02/2016","45","Ozone","","33-007-4001","AQS","45","."
"04/03/2016","40","Ozone","","33-007-4001","AQS","40","8"
"04/04/2016","44","Ozone","","33-007-4001","AQS","44","."
"04/05/2016","42","Ozone","","33-007-4001","AQS","42","."
"04/06/2016","49","Ozone","","33-007-4001","AQS","49","8"
"04/07/2016","49","Ozone","","33-007-4001","AQS","49","."
"04/08/2016","41","Ozone","","33-007-4001","AQS","41","."
"04/09/2016","42","Ozone","","33-007-4001","AQS","42","."
"04/10/2016","43","Ozone","","33-007-4001","AQS","43","."
"04/11/2016","48","Ozone","","33-007-4001","AQS","48","."
"04/12/2016","48","Ozone","","33-007-4001","AQS","48","."
"04/13/2016","49","Ozone","","33-007-4001","AQS","49","."
"04/14/2016","48","Ozone","","33-007-4001","AQS","48","."
"04/15/2016","74","Ozone","","33-007-4001","AQS","74","10"
"04/16/2016","77","Ozone","","33-007-4001","AQS","77","."
"04/17/2016","74","Ozone","","33-007-4001","AQS","74","."
"04/18/2016","80","Ozone","","33-007-4001","AQS","80","20"
"04/19/2016","47","Ozone","","33-007-4001","AQS","47","."
"04/20/2016","54","Ozone","","33-007-4001","AQS","54","."
"04/21/2016","77","Ozone","","33-007-4001","AQS","77","7"
"04/22/2016","80","Ozone","","33-007-4001","AQS","80","."
"04/23/2016","51","Ozone","","33-007-4001","AQS","51","."
"04/24/2016","54","Ozone","","33-007-4001","AQS","54","10"
"04/25/2016","71","Ozone","","33-007-4001","AQS","71","."
"04/26/2016","64","Ozone","","33-007-4001","AQS","64","."
"04/27/2016","47","Ozone","","33-007-4001","AQS","47","10"
"04/28/2016","61","Ozone","","33-007-4001","AQS","61","."
"04/29/2016","48","Ozone","","33-007-4001","AQS","48","."
"04/30/2016","44","Ozone","","33-007-4001","AQS","44","9"
"05/01/2016","50","Ozone","","33-007-4001","AQS","50","."
"05/02/2016","49","Ozone","","33-007-4001","AQS","49","."
"05/03/2016","48","Ozone","","33-007-4001","AQS","48","3"
"05/04/2016","51","Ozone","","33-007-4001","AQS","51","."
"05/05/2016","51","Ozone","","33-007-4001","AQS","51","."
"05/06/2016","49","Ozone","","33-007-4001","AQS","49","4"
"05/07/2016","54","Ozone","","33-007-4001","AQS","54","."
"05/08/2016","49","Ozone","","33-007-4001","AQS","49","."
"05/09/2016","42","Ozone","","33-007-4001","AQS","42","4"
"05/10/2016","44","Ozone","","33-007-4001","AQS","44","."
"05/11/2016","80","Ozone","","33-007-4001","AQS","80","."
"05/12/2016","87","Ozone","","33-007-4001","AQS","87","23"
"05/13/2016","90","Ozone","","33-007-4001","AQS","90","."
"05/14/2016","50","Ozone","","33-007-4001","AQS","50","."
"05/15/2016","41","Ozone","","33-007-4001","AQS","41","5"
"05/16/2016","36","Ozone","","33-007-4001","AQS","36","."
"05/17/2016","41","Ozone","","33-007-4001","AQS","41","."
"05/18/2016","39","Ozone","","33-007-4001","AQS","39","6"
"05/19/2016","47","Ozone","","33-007-4001","AQS","47","."
"05/20/2016","45","Ozone","","33-007-4001","AQS","45","."
"05/21/2016","46","Ozone","","33-007-4001","AQS","46","15"
"05/22/2016","46","Ozone","","33-007-4001","AQS","46","."
"05/23/2016","61","Ozone","","33-007-4001","AQS","61","."
