"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2020","33","Ozone","","33-007-4001","AQS","33","1"
"01/02/2020","44","Ozone","","33-007-4001","AQS","44","."
"01/03/2020","38","Ozone","","33-007-4001","AQS","38","."
"01/04/2020","43","Ozone","","33-007-4001","AQS","43","8"
"01/05/2020","45","Ozone","","33-007-4001","AQS","45","."
"01/06/2020","45","Ozone","","33-007-4001","AQS","45","."
"01/07/2020","43","Ozone","","33-007-4001","AQS","43","5"
"01/08/2020","41","Ozone","","33-007-4001","AQS","41","."
"01/09/2020","46","Ozone","","33-007-4001","AQS","46","."
"01/10/2020","42","Ozone","","33-007-4001","AQS","42","8"
"01/11/2020","42","Ozone","","33-007-4001","AQS","42","."
"01/12/2020","41","Ozone","","33-007-4001","AQS","41","."
"01/13/2020","42","Ozone","","33-007-4001","AQS","42","8"
"01/14/2020","44","Ozone","","33-007-4001","AQS","44","."
"01/15/2020","41","Ozone","","33-007-4001","AQS","41","."
"01/16/2020","41","Ozone","","33-007-4001","AQS","41","6"
"01/17/2020","46","Ozone","","33-007-4001","AQS","46","."
"01/18/2020","49","Ozone","","33-007-4001","AQS","49","."
"01/19/2020","41","Ozone","","33-007-4001","AQS","41","8"
"01/20/2020","44","Ozone","","33-007-4001","AQS","44","."
"01/21/2020","46","Ozone","","33-007-4001","AQS","46","."
"01/22/2020","47","Ozone","","33-007-4001","AQS","47","5"
"01/23/2020","49","Ozone","","33-007-4001","AQS","49","."
"01/24/2020","49","Ozone","","33-007-4001","AQS","49","."
"01/25/2020","48","Ozone","","33-007-4001","AQS","48","9"
"01/26/2020","43","Ozone","","33-007-4001","AQS","43","."
"01/27/2020","32","Ozone","","33-007-4001","AQS","32","."
"01/28/2020","45","Ozone","","33-007-4001","AQS","45","3"
"01/29/2020","45","Ozone","","33-007-4001","AQS","45","."
"01/30/2020","44","Ozone","","33-007-4001","AQS","44","."
"01/31/2020","44","Ozone","","33-007-4001","AQS","44","5"
"02/01/2020","42","Ozone","","33-007-4001","AQS","42","."
"02/02/2020","44","Ozone","","33-007-4001","AQS","44","."
"02/03/2020","44","Ozone","","33-007-4001","AQS","44","8"
"02/04/2020","45","Ozone","","33-007-4001","AQS","45","."
"02/05/2020","48","Ozone","","33-007-4001","AQS","48","."
"02/06/2020","43","Ozone","","33-007-4001","AQS","43","4"
"02/07/2020","40","Ozone","","33-007-4001","AQS","40","."
"02/08/2020","44","Ozone","","33-007-4001","AQS","44","."
"02/09/2020","46","Ozone","","33-007-4001","AQS","46","5"
"02/10/2020","45","Ozone","","33-007-4001","AQS","45","."
"02/11/2020","44","Ozone","","33-007-4001","AQS","44","."
"02/12/2020","44","Ozone","","33-007-4001","AQS","44","8"
"02/13/2020","48","Ozone","","33-007-4001","AQS","48","."
"02/14/2020","47","Ozone","","33-007-4001","AQS","47","."
"02/15/2020","48","Ozone","","33-007-4001","AQS","48","7"
"02/16/2020","43","Ozone","","33-007-4001","AQS","43","."
"02/17/2020","46","Ozone","","33-007-4001","AQS","46","."
"02/18/2020","47","Ozone","","33-007-4001","AQS","47","5"
"02/19/2020","41","Ozone","","33-007-4001","AQS","41","."
"02/20/2020","44","Ozone","","33-007-4001","AQS","44","."
"02/21/2020","46","Ozone","","33-007-4001","AQS","46","6"
"02/22/2020","50","Ozone","","33-007-4001","AQS","50","."
"02/23/2020","54","Ozone","","33-007-4001","AQS","54","."
"02/24/2020","54","Ozone","","33-007-4001","AQS","54","15"
"02/25/2020","58","Ozone","","33-007-4001","AQS","58","."
"02/26/2020","58","Ozone","","33-007-4001","AQS","58","."
"02/27/2020","50","Ozone","","33-007-4001","AQS","50","4"
"02/28/2020","42","Ozone","","33-007-4001","AQS","42","."
"02/29/2020","40","Ozone","","33-007-4001","AQS","40","."
"03/01/2020","44","Ozone","","33-007-4001","AQS","44","8"
"03/02/2020","44","Ozone","","33-007-4001","AQS","44","."
"03/03/2020","49","Ozone","","33-007-4001","AQS","49","."
"03/04/2020","42","Ozone","","33-007-4001","AQS","42","."
"03/05/2020","41","Ozone","CAMP DODGE, GREENS GRANT","33-007-4002","AQS","41","."
"03/06/2020","44","Ozone","","33-007-4001","AQS","44","."
"03/07/2020","45","Ozone","","33-007-4001","AQS","45","4"
"03/08/2020","47","Ozone","","33-007-4001","AQS","47","."
"03/09/2020","61","Ozone","","33-007-4001","AQS","61","."
"03/10/2020","58","Ozone","","33-007-4001","AQS","58","15"
"03/11/2020","50","Ozone","","33-007-4001","AQS","50","."
"03/12/2020","46","Ozone","","33-007-4001","AQS","46","."
"03/13/2020","47","Ozone","","33-007-4001","AQS","47","3"
"03/14/2020","47","Ozone","","33-007-4001","AQS","47","."
"03/15/2020","50","Ozone","","33-007-4001","AQS","50","."
"03/16/2020","44","Ozone","","33-007-4001","AQS","44","5"
"03/17/2020","44","Ozone","","33-007-4001","AQS","44","."
"03/18/2020","47","Ozone","","33-007-4001","AQS","47","."
"03/19/2020","49","Ozone","","33-007-4001","AQS","49","5"
"03/20/2020","44","Ozone","","33-007-4001","AQS","44","."
"03/21/2020","43","Ozone","","33-007-4001","AQS","43","."
"03/22/2020","44","Ozone","","33-007-4001","AQS","44","8"
"03/23/2020","49","Ozone","","33-007-4001","AQS","49","."
"03/24/2020","49","Ozone","","33-007-4001","AQS","49","."
"03/25/2020","61","Ozone","","33-007-4001","AQS","61","13"
"03/26/2020","50","Ozone","","33-007-4001","AQS","50","."
"03/27/2020","46","Ozone","","33-007-4001","AQS","46","."
"03/28/2020","54","Ozone","","33-007-4001","AQS","54","7"
"03/29/2020","51","Ozone","","33-007-4001","AQS","51","."
"03/30/2020","51","Ozone","","33-007-4001","AQS","51","."
"03/31/2020","51","Ozone","","33-007-4001","AQS","51","7"
"04/01/2020","48","Ozone","","33-007-4001","AQS","48","."
"04/02/2020","45","Ozone","","33-007-4001","AQS","45","."
"04/03/2020","46","Ozone","","33-007-4001","AQS","46","2"
"04/04/2020","47","Ozone","","33-007-4001","AQS","47","."
"04/05/2020","49","Ozone","","33-007-4001","AQS","49","."
"04/06/2020","43","Ozone","","33-007-4001","AQS","43","5"
"04/07/2020","46","Ozone","","33-007-4001","AQS","46","."
"04/08/2020","46","Ozone","","33-007-4001","AQS","46","."
"04/09/2020","46","Ozone","","33-007-4001","AQS","46","."
"04/10/2020","40","Ozone","","33-007-4001","AQS","40","."
"04/11/2020","40","Ozone","","33-007-4001","AQS","40","."
"04/12/2020","50","Ozone","","33-007-4001","AQS","50","11"
"04/13/2020","50","Ozone","","33-007-4001","AQS","50","."
"04/14/2020","45","Ozone","","33-007-4001","AQS","45","."
"04/15/2020","45","Ozone","","33-007-4001","AQS","45","8"
"04/16/2020","42","Ozone","","33-007-4001","AQS","42","."
"04/17/2020","46","Ozone","","33-007-4001","AQS","46","."
"04/18/2020","49","Ozone","","33-007-4001","AQS","49","12"
"04/19/2020","51","Ozone","","33-007-4001","AQS","51","."
"04/20/2020","50","Ozone","","33-007-4001","AQS","50","."
"04/21/2020","45","Ozone","","33-007-4001","AQS","45","7"
"04/22/2020","41","Ozone","","33-007-4001","AQS","41","."
"04/23/2020","47","Ozone","","33-007-4001","AQS","47","."
"04/24/2020","49","Ozone","","33-007-4001","AQS","49","8"
"04/25/2020","49","Ozone","","33-007-4001","AQS","49","."
