"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2021","56","PM2.5","NEWBURGH","36-071-0002","AQS","8","29","12","56","34"
"01/02/2021","39","PM2.5","CCNY","36-061-0135","AQS","7","31",".","39","26"
"01/03/2021","42","PM2.5","Queens College Near Road","36-081-0125","AirNow","8","28",".","42","32"
"01/04/2021","44","PM2.5","NEWBURGH","36-071-0002","AQS","7","25","11","44","27"
"01/05/2021","40","PM2.5","Queens College Near Road","36-081-0125","AirNow","10","28",".","40","33"
"01/06/2021","47","PM2.5","CCNY","36-061-0135","AQS","6","31",".","47","30"
"01/07/2021","38","PM2.5","CCNY","36-061-0135","AQS","5","33","5","38","32"
"01/08/2021","39","PM2.5","PS 314","36-047-0052","AQS","7","28",".","39","29"
"01/09/2021","37","Ozone","Chester","34-027-3001","AQS","6","37",".","36","36"
"01/10/2021","47","PM2.5","HOLTSVILLE","36-103-0009","AQS","7","33","8","47","38"
"01/11/2021","60","PM2.5","Jersey City Firehouse","34-017-1003","AQS","11","25",".","60","47"
"01/12/2021","79","PM2.5","IS 52","36-005-0110","AQS","13","28",".","79","51"
"01/13/2021","77","PM2.5","IS 52","36-005-0110","AQS","13","21","27","77","46"
"01/14/2021","85","PM2.5","Elizabeth Lab","34-039-0004","AQS","18","27",".","85","67"
"01/15/2021","75","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","31",".","75","40"
"01/16/2021","33","PM2.5","Jersey City Firehouse","34-017-1003","AQS","5","29","7","33","26"
"01/17/2021","43","PM2.5","IS 74","36-005-0112","AQS","5","29",".","43","19"
"01/18/2021","42","PM2.5","Intermediate School 143","36-061-0115","AQS","6","29",".","42","29"
"01/19/2021","49","PM2.5","Jersey City Firehouse","34-017-1003","AQS","6","28","11","49","34"
"01/20/2021","41","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","33",".","41","41"
"01/21/2021","72","NO2","Fort Lee Near Road","34-003-0010","AQS","16","26",".","47","72"
"01/22/2021","50","PM2.5","Elizabeth Lab","34-039-0004","AQS","16","32","18","50","40"
"01/23/2021","34","PM2.5","PS 314","36-047-0052","AQS","3","34",".","34","15"
"01/24/2021","37","Ozone","MT NINHAM","36-079-0005","AQS","3","37",".","32","19"
"01/25/2021","42","NO2","Fort Lee Near Road","34-003-0010","AQS","6","35","7","38","42"
"01/26/2021","45","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","31",".","45","42"
"01/27/2021","47","PM2.5","IS 52","36-005-0110","AQS","6","35",".","47","32"
"01/28/2021","36","Ozone","MT NINHAM","36-079-0005","AQS","5","36","15","33","27"
"01/29/2021","49","PM2.5","MORRISANIA","36-005-0080","AQS","3","37",".","49","18"
"01/30/2021","41","PM2.5","MORRISANIA","36-005-0080","AQS","6","37",".","41","23"
"01/31/2021","43","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","33","11","43","39"
"02/01/2021","36","Ozone","MT NINHAM","36-079-0005","AQS","8","36",".","28","31"
"02/02/2021","35","Ozone","MT NINHAM","36-079-0005","AQS","5","35",".","25","20"
"02/03/2021","48","NO2","Fort Lee Near Road","34-003-0010","AQS","6","39","5","32","48"
"02/04/2021","57","PM2.5","Intermediate School 143","36-061-0115","AQS","7","42",".","57","51"
"02/05/2021","55","PM2.5","IS 52","36-005-0110","AQS","6","37",".","55","52"
"02/06/2021","49","NO2","Newark Firehouse","34-013-0003","AQS","10","40","11","43","49"
"02/07/2021","76","NO2","Queens College Near Road","36-081-0125","AQS","17","38",".","53","76"
"02/08/2021","54","PM2.5","Jersey City Firehouse","34-017-1003","AQS","7","36",".","54","53"
"02/09/2021","68","PM2.5","Elizabeth Lab","34-039-0004","AQS","15","33","25","68","62"
"02/10/2021","58","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","39",".","58","44"
"02/11/2021","48","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","8","42",".","48","42"
"02/12/2021","46","NO2","Elizabeth Lab","34-039-0004","AQS","10","37","14","35","46"
"02/13/2021","39","NO2","Elizabeth Lab","34-039-0004","AQS","9","36",".","38","39"
"02/14/2021","52","PM2.5","Rutgers University","34-023-0011","AQS","10","37",".","52","28"
"02/15/2021","58","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","33","18","58","37"
"02/16/2021","43","NO2","Elizabeth Lab","34-039-0004","AQS","9","33",".","39","43"
"02/17/2021","42","NO2","IS 52","36-005-0110","AQS","7","38",".","33","42"
"02/18/2021","38","NO2","Elizabeth Lab","34-039-0004","AQS","7","34","9","36","38"
"02/19/2021","45","NO2","Fort Lee Near Road","34-003-0010","AQS","7","36",".","41","45"
"02/20/2021","51","PM2.5","Flemington","34-019-0001","AQS","6","45",".","51","36"
"02/21/2021","54","PM2.5","PFIZER LAB SITE","36-005-0133","AQS","7","44","14","54","46"
"02/22/2021","67","NO2","Elizabeth Lab","34-039-0004","AQS","9","39",".","57","67"
"02/23/2021","59","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","41",".","59","42"
"02/24/2021","44","Ozone","Chester","34-027-3001","AQS","6","44","13","41","44"
"02/25/2021","50","NO2","Newark Firehouse","34-013-0003","AQS","7","43",".","41","50"
"02/26/2021","47","NO2","Elizabeth Lab","34-039-0004","AQS","10","44",".","31","47"
"02/27/2021","41","Ozone","RIVERHEAD","36-103-0004","AQS","7","41","7","39","40"
"02/28/2021","48","NO2","Elizabeth Lab","34-039-0004","AQS","9","37",".","46","48"
"03/01/2021","42","NO2","IS 52","36-005-0110","AQS","7","40",".","32","42"
"03/02/2021","42","Ozone","MT NINHAM","36-079-0005","AQS","5","42","7","28","39"
"03/03/2021","55","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","43",".","55","50"
"03/04/2021","48","NO2","Elizabeth Lab","34-039-0004","AQS","7","41",".","41","48"
"03/05/2021","43","Ozone","MT NINHAM","36-079-0005","AQS","3","43","6","24","37"
"03/06/2021","39","Ozone","MT NINHAM","36-079-0005","AQS","3","39",".","23","23"
"03/07/2021","41","Ozone","Flemington","34-019-0001","AQS","3","41",".","27","16"
"03/08/2021","47","Ozone","Ramapo","34-031-5001","AQS","5","47","8","35","46"
