"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2015","63","PM2.5","Intermediate School 143","36-061-0115","AQS","8","32",".","63","31"
"01/02/2015","66","PM2.5","Intermediate School 143","36-061-0115","AQS","8","29",".","66","34"
"01/03/2015","56","PM2.5","PS 19","36-061-0128","AQS","13","32","11","56","38"
"01/04/2015","55","PM2.5","Intermediate School 143","36-061-0115","AQS","10","24",".","55","37"
"01/05/2015","45","PM2.5","Intermediate School 143","36-061-0115","AQS","7","35",".","45","20"
"01/06/2015","64","PM2.5","Union City","34-017-2002","AQS","9","32","11","64","38"
"01/07/2015","60","PM2.5","Intermediate School 143","36-061-0115","AQS","9","32",".","60","30"
"01/08/2015","54","PM2.5","Intermediate School 143","36-061-0115","AQS","8","31",".","54","35"
"01/09/2015","56","PM2.5","Intermediate School 143","36-061-0115","AQS","8","29","13","56","34"
"01/10/2015","60","PM2.5","Intermediate School 143","36-061-0115","AQS","8","32",".","60","27"
"01/11/2015","60","PM2.5","Intermediate School 143","36-061-0115","AQS","10","30",".","60","37"
"01/12/2015","68","PM2.5","Intermediate School 143","36-061-0115","AQS","16","27","18","68","48"
"01/13/2015","56","PM2.5","Intermediate School 143","36-061-0115","AQS","11","33",".","56","41"
"01/14/2015","79","PM2.5","PS 19","36-061-0128","AQS","8","28",".","79","42"
"01/15/2015","65","PM2.5","Toms River","34-029-2002","AQS","9","31","18","65","37"
"01/16/2015","64","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","37",".","64","37"
"01/17/2015","47","PM2.5","IS 74","36-005-0112","AQS","9","36",".","47","39"
"01/18/2015","78","PM2.5","MORRISANIA","36-005-0080","AQS","16","32","16","78","57"
"01/19/2015","72","NO2","Fort Lee Near Road","34-003-0010","AQS","13","30",".","47","72"
"01/20/2015","62","NO2","Fort Lee Near Road","34-003-0010","AQS","6","34",".","50","62"
"01/21/2015","61","PM2.5","PS 19","36-061-0128","AQS","13","36","16","61","57"
"01/22/2015","65","PM2.5","Toms River","34-029-2002","AQS","10","30",".","65","48"
"01/23/2015","70","PM2.5","Jersey City Firehouse","34-017-1003","AQS","10","34",".","70","45"
"01/24/2015","64","PM2.5","PS 19","36-061-0128","AQS","10","26","19","64","41"
"01/25/2015","50","PM2.5","Intermediate School 143","36-061-0115","AQS","6","37",".","50","24"
"01/26/2015","68","PM2.5","PS 19","36-061-0128","AQS","7","35",".","68","44"
"01/27/2015","57","PM2.5","MORRISANIA","36-005-0080","AQS","7","37","4","57","22"
"01/28/2015","74","NO2","Fort Lee Near Road","34-003-0010","AQS","17","38",".","54","74"
"01/29/2015","55","NO2","Elizabeth Lab","34-039-0004","AQS","18","35",".","52","55"
"01/30/2015","52","PM2.5","Fort Lee Library","34-003-0003","AQS","10","38","13","52","46"
"01/31/2015","52","PM2.5","PS 274","36-047-0118","AQS","5","40",".","52","31"
"02/01/2015","68","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","10","37",".","68","42"
"02/02/2015","61","PM2.5","PS 19","36-061-0128","AQS","11","34","6","61","41"
"02/03/2015","59","PM2.5","MORRISANIA","36-005-0080","AQS","10","37",".","59","52"
"02/04/2015","73","PM2.5","Elizabeth Lab","34-039-0004","AQS","15","32",".","73","73"
"02/05/2015","84","PM2.5","PS 19","36-061-0128","AQS","14","38","16","84","53"
"02/06/2015","59","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","8","36",".","59","46"
"02/07/2015","74","PM2.5","MORRISANIA","36-005-0080","AQS","17","30",".","74","55"
"02/08/2015","96","PM2.5","Elizabeth Lab","34-039-0004","AQS","20","32","35","96","61"
"02/09/2015","61","PM2.5","PS 19","36-061-0128","AQS","8","34",".","61","44"
"02/10/2015","51","PM2.5","Intermediate School 143","36-061-0115","AQS","7","37",".","51","30"
"02/11/2015","58","PM2.5","PS 19","36-061-0128","AQS","10","39","17","58","49"
"02/12/2015","63","PM2.5","MORRISANIA","36-005-0080","AQS","10","31",".","63","46"
