"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2016","50","PM2.5","Intermediate School 143","36-061-0115","AQS","6","32","3","50","23"
"01/02/2016","63","PM2.5","Intermediate School 143","36-061-0115","AQS","7","31",".","63","29"
"01/03/2016","73","PM2.5","Intermediate School 143","36-061-0115","AQS","9","29",".","73","32"
"01/04/2016","48","PM2.5","Intermediate School 143","36-061-0115","AQS","8","30","4","48","23"
"01/05/2016","59","PM2.5","IS 74","36-005-0112","AQS","10","31",".","59","48"
"01/06/2016","68","PM2.5","Intermediate School 143","36-061-0115","AQS","17","30",".","68","60"
"01/07/2016","96","PM2.5","Jersey City Firehouse","34-017-1003","AQS","19","21","51","96","68"
"01/08/2016","77","PM2.5","PS 19","36-061-0128","AQS","19","31",".","77","48"
"01/09/2016","63","PM2.5","PS 19","36-061-0128","AQS","11","31",".","63","34"
"01/10/2016","39","PM2.5","Intermediate School 143","36-061-0115","AQS","10","33","11","39","26"
"01/11/2016","45","PM2.5","Jersey City Firehouse","34-017-1003","AQS","8","33",".","45","37"
"01/12/2016","55","PM2.5","Intermediate School 143","36-061-0115","AQS","13","31",".","55","48"
"01/13/2016","48","PM2.5","Intermediate School 143","36-061-0115","AQS","8","36","12","48","31"
"01/14/2016","61","PM2.5","Intermediate School 143","36-061-0115","AQS","10","26",".","61","44"
"01/15/2016","105","PM2.5","Fort Lee Near Road","34-003-0010","AQS","19","28",".","105","64"
"01/16/2016","52","PM2.5","Intermediate School 143","36-061-0115","AQS","14","31","6","52","50"
"01/17/2016","42","PM2.5","Intermediate School 143","36-061-0115","AQS","6","34",".","42","27"
"01/18/2016","51","PM2.5","Intermediate School 143","36-061-0115","AQS","6","32",".","51","29"
"01/19/2016","41","PM2.5","Intermediate School 143","36-061-0115","AQS","5","35","16","41","30"
"01/20/2016","42","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","35",".","42","40"
"01/21/2016","48","PM2.5","Jersey City Firehouse","34-017-1003","AQS","6","37",".","48","38"
"01/22/2016","53","PM2.5","PS 19","36-061-0128","AQS","8","39","6","53","43"
"01/23/2016","47","PM2.5","PS 19","36-061-0128","AQS","7","36",".","47","25"
"01/24/2016","52","PM2.5","EISENHOWER PARK","36-059-0005","AQS","10","36",".","52","46"
"01/25/2016","83","NO2","Jersey City","34-017-1002","AQS","16","35","21","64","83"
"01/26/2016","89","PM2.5","Intermediate School 143","36-061-0115","AQS","16","35",".","89","66"
"01/27/2016","55","PM2.5","Intermediate School 143","36-061-0115","AQS","7","29",".","55","46"
"01/28/2016","95","NO2","Newark Firehouse","34-013-0003","AQS","26","31","24","62","95"
"01/29/2016","71","NO2","Bayonne","34-017-0006","AQS","13","28",".","63","71"
"01/30/2016","68","PM2.5","Intermediate School 143","36-061-0115","AQS","9","32",".","68","36"
"01/31/2016","74","PM2.5","Intermediate School 143","36-061-0115","AQS","15","40","19","74","48"
"02/01/2016","69","PM2.5","Intermediate School 143","36-061-0115","AQS","15","38",".","69","50"
"02/02/2016","60","NO2","Bayonne","34-017-0006","AQS","13","38",".","45","60"
"02/03/2016","54","PM2.5","Fort Lee Near Road","34-003-0010","AQS","13","37","15","54","48"
"02/04/2016","47","PM2.5","Intermediate School 143","36-061-0115","AQS","10","31",".","47","37"
"02/05/2016","51","NO2","Elizabeth Lab","34-039-0004","AQS","6","36",".","36","51"
"02/06/2016","66","PM2.5","Intermediate School 143","36-061-0115","AQS","11","32","14","66","39"
"02/07/2016","70","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","36",".","70","44"
"02/08/2016","42","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","39",".","42","38"
"02/09/2016","67","PM2.5","PS 19","36-061-0128","AQS","10","34","16","67","44"
"02/10/2016","63","PM2.5","Intermediate School 143","36-061-0115","AQS","11","33",".","63","42"
"02/11/2016","38","PM2.5","Intermediate School 143","36-061-0115","AQS","7","37",".","38","25"
"02/12/2016","50","PM2.5","Intermediate School 143","36-061-0115","AQS","10","37","15","50","32"
"02/13/2016","54","PM2.5","Newark Firehouse","34-013-0003","AQS","8","37",".","54","24"
"02/14/2016","53","PM2.5","HOLTSVILLE","36-103-0009","AQS","7","31",".","53","26"
"02/15/2016","69","PM2.5","Elizabeth Lab","34-039-0004","AQS","14","38","19","69","50"
