"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2019","45","PM2.5","MASPETH LIBRARY","36-081-0120","AQS","6","30",".","45","38"
"01/02/2019","64","PM2.5","PS 19","36-061-0128","AQS","7","29",".","64","32"
"01/03/2019","54","PM2.5","PS 19","36-061-0128","AQS","6","26","11","54","37"
"01/04/2019","60","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","20",".","60","34"
"01/05/2019","50","PM2.5","DIVISION STREET","36-061-0134","AQS","9","26",".","50","31"
"01/06/2019","51","PM2.5","DIVISION STREET","36-061-0134","AQS","7","33","6","51","23"
"01/07/2019","44","NO2","Newark Firehouse","34-013-0003","AQS","7","33",".","36","44"
"01/08/2019","75","PM2.5","Fort Lee Near Road","34-003-0010","AQS","14","29",".","75","67"
"01/09/2019","38","PM2.5","PS 314","36-047-0052","AQS","9","27","8","38","33"
"01/10/2019","42","PM2.5","Intermediate School 143","36-061-0115","AQS","6","33",".","42","19"
"01/11/2019","45","PM2.5","IS 74","36-005-0112","AQS","6","38",".","45","45"
"01/12/2019","43","PM2.5","HOLTSVILLE","36-103-0009","AQS","6","35","6","43","33"
"01/13/2019","42","PM2.5","PS 19","36-061-0128","AQS","6","35",".","42","23"
"01/14/2019","52","NO2","Elizabeth Lab","34-039-0004","AQS","8","33",".","42","52"
"01/15/2019","63","NO2","Newark Firehouse","34-013-0003","AQS","13","30","29","59","63"
"01/16/2019","67","PM2.5","Jersey City Firehouse","34-017-1003","AQS","10","34",".","67","45"
"01/17/2019","44","PM2.5","PS 19","36-061-0128","AQS","8","34",".","44","42"
"01/18/2019","94","NO2","Fort Lee Near Road","34-003-0010","AQS","10","31","19","71","94"
"01/19/2019","56","PM2.5","Jersey City Firehouse","34-017-1003","AQS","7","34",".","56","34"
"01/20/2019","37","PM2.5","PS 19","36-061-0128","AQS","7","34",".","37","36"
