"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2020","36","PM2.5","Intermediate School 143","36-061-0115","AQS","5","30","4","36","33"
"01/02/2020","56","PM2.5","Intermediate School 143","36-061-0115","AQS","13","27",".","56","43"
"01/03/2020","68","PM2.5","Fort Lee Near Road","34-003-0010","AQS","13","19",".","68","36"
"01/04/2020","63","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","28","13","63","28"
"01/05/2020","37","PM2.5","CCNY","36-061-0135","AQS","6","33",".","37","28"
"01/06/2020","47","PM2.5","Intermediate School 143","36-061-0115","AQS","7","28",".","47","38"
"01/07/2020","72","PM2.5","RICHMOND POST OFFICE","36-085-0055","AQS","8","24","17","72","43"
"01/08/2020","47","PM2.5","Intermediate School 143","36-061-0115","AQS","7","33",".","47","33"
"01/09/2020","43","PM2.5","Intermediate School 143","36-061-0115","AQS","9","29",".","43","40"
"01/10/2020","50","PM2.5","Intermediate School 143","36-061-0115","AQS","10","28","21","50","41"
"01/11/2020","52","PM2.5","PS 274","36-047-0118","AQS","8","34",".","52","39"
"01/12/2020","40","PM2.5","Intermediate School 143","36-061-0115","AQS","5","32",".","40","21"
"01/13/2020","80","NO2","Jersey City","34-017-1002","AQS","10","21","23","51","80"
"01/14/2020","60","PM2.5","Fort Lee Near Road","34-003-0010","AQS","13","12",".","60","35"
"01/15/2020","62","PM2.5","Fort Lee Near Road","34-003-0010","AQS","10","28",".","62","45"
"01/16/2020","55","PM2.5","Fort Lee Near Road","34-003-0010","AQS","10","31","12","55","27"
"01/17/2020","37","PM2.5","Intermediate School 143","36-061-0115","AQS","3","37",".","37","20"
"01/18/2020","42","NO2","IS 52","36-005-0110","AQS","9","32",".","32","42"
"01/19/2020","40","PM2.5","Intermediate School 143","36-061-0115","AQS","9","34","6","40","22"
"01/20/2020","39","Ozone","Chester","34-027-3001","AQS","3","39",".","34","20"
"01/21/2020","46","NO2","Queens College Near Road","36-081-0125","AQS","6","38",".","45","46"
"01/22/2020","61","NO2","IS 52","36-005-0110","AQS","13","31","28","56","61"
"01/23/2020","79","PM2.5","Jersey City Firehouse","34-017-1003","AQS","16","29",".","79","67"
"01/24/2020","87","PM2.5","Elizabeth Lab","34-039-0004","AQS","23","24",".","87","74"
"01/25/2020","50","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","33","11","50","37"
"01/26/2020","32","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","23",".","32","25"
"01/27/2020","35","PM2.5","Intermediate School 143","36-061-0115","AQS","9","26",".","35","27"
"01/28/2020","36","Ozone","Rockland County","36-087-0005","AQS","5","36","5","30","31"
"01/29/2020","37","Ozone","Chester","34-027-3001","AQS","5","37",".","29","33"
"01/30/2020","48","NO2","Newark Firehouse","34-013-0003","AQS","8","32",".","40","48"
"01/31/2020","57","PM2.5","NEWBURGH","36-071-0002","AQS","14","30","19","57","57"
"02/01/2020","70","PM2.5","IS 52","36-005-0110","AQS","9","29",".","70","46"
"02/02/2020","57","PM2.5","IS 52","36-005-0110","AQS","8","28",".","57","28"
"02/03/2020","54","PM2.5","Newark Firehouse","34-013-0003","AQS","13","34","19","54","51"
"02/04/2020","68","PM2.5","Fort Lee Near Road","34-003-0010","AQS","17","33",".","68","51"
"02/05/2020","35","NO2","QUEENS COLLEGE 2","36-081-0124","AQS","14","33",".","31","35"
"02/06/2020","52","PM2.5","JHS 126","36-047-0122","AQS","11","29","9","52","42"
"02/07/2020","45","NO2","Elizabeth Lab","34-039-0004","AQS","10","34",".","38","45"
"02/08/2020","47","PM2.5","Intermediate School 143","36-061-0115","AQS","6","35",".","47","42"
"02/09/2020","54","PM2.5","Newark Firehouse","34-013-0003","AQS","7","37","15","54","42"
"02/10/2020","45","PM2.5","Fort Lee Near Road","34-003-0010","AQS","10","35",".","45","36"
"02/11/2020","53","PM2.5","Fort Lee Near Road","34-003-0010","AQS","10","32",".","53","53"
"02/12/2020","45","PM2.5","IS 52","36-005-0110","AQS","6","36","9","45","30"
"02/13/2020","48","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","32",".","48","45"
"02/14/2020","34","PM2.5","Intermediate School 143","36-061-0115","AQS","5","34",".","34","30"
