"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2018","51","PM2.5","Intermediate School 143","36-061-0115","AQS","7","35",".","51","28"
"01/02/2018","57","NO2","Fort Lee Near Road","34-003-0010","AQS","7","33","22","56","57"
"01/03/2018","107","NO2","Fort Lee Near Road","34-003-0010","AQS","11","29",".","69","107"
"01/04/2018","52","PM2.5","MORRISANIA","36-005-0080","AQS","10","32",".","52","43"
"01/05/2018","48","PM2.5","Intermediate School 143","36-061-0115","AQS","7","36","6","48","42"
"01/06/2018","46","PM2.5","Intermediate School 143","36-061-0115","AQS","7","35",".","46","19"
"01/07/2018","52","PM2.5","Intermediate School 143","36-061-0115","AQS","8","35",".","52","42"
"01/08/2018","69","PM2.5","PFIZER LAB SITE","36-005-0133","AQS","10","27","27","69","56"
"01/09/2018","75","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","33",".","75","48"
"01/10/2018","84","NO2","Jersey City","34-017-1002","AQS","15","25",".","64","84"
"01/11/2018","95","PM2.5","Elizabeth Lab","34-039-0004","AQS","23","32","37","95","83"
"01/12/2018","58","NO2","Elizabeth Lab","34-039-0004","AQS","20","32",".","55","58"
"01/13/2018","44","PM2.5","Intermediate School 143","36-061-0115","AQS","9","33",".","44","25"
"01/14/2018","43","PM2.5","Intermediate School 143","36-061-0115","AQS","6","37","6","43","27"
"01/15/2018","64","NO2","Fort Lee Near Road","34-003-0010","AQS","8","33",".","58","64"
"01/16/2018","69","PM2.5","PS 19","36-061-0128","AQS","13","25",".","69","47"
"01/17/2018","62","PM2.5","Jersey City Firehouse","34-017-1003","AQS","13","26","15","62","47"
"01/18/2018","76","NO2","Fort Lee Near Road","34-003-0010","AQS","8","31",".","58","76"
"01/19/2018","72","PM2.5","Jersey City Firehouse","34-017-1003","AQS","11","33",".","72","53"
"01/20/2018","56","PM2.5","PS 19","36-061-0128","AQS","13","39","21","56","45"
"01/21/2018","67","PM2.5","HOLTSVILLE","36-103-0009","AQS","10","40",".","67","51"
"01/22/2018","96","PM2.5","Fort Lee Near Road","34-003-0010","AQS","16","31",".","96","52"
"01/23/2018","51","PM2.5","Newark Firehouse","34-013-0003","AQS","10","36","12","51","45"
"01/24/2018","39","PM2.5","Intermediate School 143","36-061-0115","AQS","5","33",".","39","26"
"01/25/2018","39","NO2","Fort Lee Near Road","34-003-0010","AQS","7","37",".","36","39"
"01/26/2018","54","NO2","Elizabeth Lab","34-039-0004","AQS","13","34","16","53","54"
"01/27/2018","52","PM2.5","Fort Lee Near Road","34-003-0010","AQS","20","39",".","52","39"
"01/28/2018","52","PM2.5","Intermediate School 143","36-061-0115","AQS","7","29",".","52","34"
"01/29/2018","56","PM2.5","PS 19","36-061-0128","AQS","15","31","12","56","41"
"01/30/2018","43","PM2.5","Intermediate School 143","36-061-0115","AQS","6","31",".","43","39"
"01/31/2018","67","NO2","Fort Lee Near Road","34-003-0010","AQS","8","32",".","38","67"
"02/01/2018","66","NO2","Fort Lee Near Road","34-003-0010","AQS","11","28","25","58","66"
"02/02/2018","45","PM2.5","Intermediate School 143","36-061-0115","AQS","10","35",".","45","38"
"02/03/2018","41","PM2.5","Intermediate School 143","36-061-0115","AQS","9","31",".","41","31"
"02/04/2018","50","NO2","Elizabeth Lab","34-039-0004","AQS","10","35","11","48","50"
"02/05/2018","54","NO2","Fort Lee Near Road","34-003-0010","AQS","10","39",".","43","54"
"02/06/2018","61","NO2","Fort Lee Near Road","34-003-0010","AQS","11","31",".","60","61"
"02/07/2018","74","PM2.5","PS 19","36-061-0128","AQS","13","35","17","74","53"
"02/08/2018","53","PM2.5","Intermediate School 143","36-061-0115","AQS","7","39",".","53","34"
"02/09/2018","75","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","35",".","75","50"
"02/10/2018","84","PM2.5","Elizabeth Lab","34-039-0004","AQS","16","35","26","84","58"
"02/11/2018","59","PM2.5","Fort Lee Near Road","34-003-0010","AQS","22","23",".","59","57"
"02/12/2018","42","PM2.5","Intermediate School 143","36-061-0115","AQS","10","41",".","42","37"
"02/13/2018","54","PM2.5","PS 19","36-061-0128","AQS","8","38","14","54","46"
"02/14/2018","60","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","31",".","60","55"
"02/15/2018","84","PM2.5","Fort Lee Near Road","34-003-0010","AQS","14","16",".","84","47"
"02/16/2018","52","PM2.5","Elizabeth Lab","34-039-0004","AQS","13","37","6","52","41"
"02/17/2018","51","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","37",".","51","48"
"02/18/2018","53","NO2","Bayonne","34-017-0006","AQS","13","40",".","48","53"
"02/19/2018","60","PM2.5","Fort Lee Near Road","34-003-0010","AQS","18","37","19","60","49"
"02/20/2018","63","PM2.5","Fort Lee Near Road","34-003-0010","AQS","11","24",".","63","43"
"02/21/2018","52","PM2.5","Fort Lee Near Road","34-003-0010","AQS","11","32",".","52","41"
