"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"04/23/2012","37","Ozone","RIVERHEAD","36-103-0004","AQS","8","37",".","25","34"
"04/24/2012","83","PM2.5","Newark Firehouse","34-013-0003","AQS","7","51",".","83","31"
"04/25/2012","54","Ozone","RIVERHEAD","36-103-0004","AQS","8","54",".","49","54"
"04/26/2012","61","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","48",".","61","51"
"04/27/2012","37","Ozone","RIVERHEAD","36-103-0004","AQS","10","37",".","31","19"
"04/28/2012","49","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","11","49",".","30","27"
"04/29/2012","74","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","11","74",".","30","26"
"04/30/2012","58","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","11","58",".","33","47"
"05/01/2012","52","NO2","Newark Firehouse","34-013-0003","AQS","13","49",".","46","52"
"05/02/2012","40","Ozone","RIVERHEAD","36-103-0004","AQS","13","40",".","33","38"
"05/03/2012","63","PM2.5","Newark Firehouse","34-013-0003","AQS","14","34",".","63","37"
"05/04/2012","56","NO2","PFIZER LAB SITE","36-005-0133","AQS","13","45",".","53","56"
"05/05/2012","59","PM2.5","Newark Firehouse","34-013-0003","AQS","13","34",".","59","45"
"05/06/2012","38","PM2.5","Chester","34-027-3001","AQS","11","38",".","38","38"
"05/07/2012","44","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","39",".","44","37"
"05/08/2012","47","Ozone","Colliers Mills","34-029-0006","AQS","14","47",".","39","45"
"05/09/2012","63","PM2.5","DIVISION STREET","36-061-0134","AQS","15","43","26","63","41"
"05/10/2012","41","Ozone","Monmouth University","34-025-0005","AQS","11","41",".","27","38"
"05/11/2012","49","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","8","49",".","33","44"
"05/12/2012","101","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","13","101",".","52","66"
"05/13/2012","122","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","13","122",".","58","36"
"05/14/2012","53","PM2.5","Flemington","34-019-0001","AQS","14","45",".","53","43"
"05/15/2012","58","PM2.5","Newark Firehouse","34-013-0003","AQS","14","43","35","58","41"
"05/16/2012","84","Ozone","Colliers Mills","34-029-0006","AQS","15","84",".","64","54"
"05/17/2012","54","NO2","Newark Firehouse","34-013-0003","AQS","11","44",".","33","54"
"05/18/2012","49","NO2","QUEENS COLLEGE 2","36-081-0124","AQS","11","48",".","33","49"
"05/19/2012","93","Ozone","Flemington","34-019-0001","AQS","11","93",".","38","43"
"05/20/2012","64","Ozone","Ramapo","34-031-5001","AQS","10","64",".","39","42"
"05/21/2012","54","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","35","21","54","39"
"05/22/2012","42","NO2","Newark Firehouse","34-013-0003","AQS","10","31",".","30","42"
"05/23/2012","54","PM2.5","Newark Firehouse","34-013-0003","AQS","11","43",".","54","39"
"05/24/2012","60","PM2.5","Newark Firehouse","34-013-0003","AQS","10","44",".","60","32"
"05/25/2012","53","PM2.5","Newark Firehouse","34-013-0003","AQS","11","31",".","53","31"
"05/26/2012","64","PM2.5","PS 19","36-061-0128","AQS","11","49",".","64","45"
"05/27/2012","84","Ozone","WHITE PLAINS","36-119-2004","AQS","10","84","43","63","42"
"05/28/2012","129","Ozone","BABYLON","36-103-0002","AQS","9","129",".","75","37"
"05/29/2012","90","Ozone","Rockland County","36-087-0005","AQS","9","90",".","56","44"
"05/30/2012","55","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","45",".","55","45"
"05/31/2012","80","Ozone","Colliers Mills","34-029-0006","AQS","10","80",".","40","44"
"06/01/2012","48","Ozone","Colliers Mills","34-029-0006","AQS","9","48",".","40","31"
"06/02/2012","58","PM2.5","RICHMOND POST OFFICE","36-085-0055","AQS","8","54","19","58","26"
"06/03/2012","54","Ozone","Colliers Mills","34-029-0006","AQS","6","54",".","42","25"
"06/04/2012","32","Ozone","QUEENS COLLEGE 2","36-081-0124","AQS","8","32",".","22","29"
"06/05/2012","31","Ozone","Rutgers University","34-023-0011","AQS","7","31",".","28","31"
"06/06/2012","43","Ozone","Monmouth University","34-025-0005","AQS","9","43",".","31","42"
"06/07/2012","47","Ozone","Rutgers University","34-023-0011","AQS","9","47",".","38","42"
"06/08/2012","71","Ozone","BABYLON","36-103-0002","AQS","10","71","36","52","46"
"06/09/2012","77","Ozone","Colliers Mills","34-029-0006","AQS","9","77",".","56","42"
"06/10/2012","143","Ozone","Monmouth University","34-025-0005","AQS","11","143",".","61","48"
"06/11/2012","67","Ozone","Monmouth University","34-025-0005","AQS","8","67",".","54","36"
"06/12/2012","39","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","9","39",".","36","34"
"06/13/2012","36","Ozone","Monmouth University","34-025-0005","AQS","7","36",".","31","29"
"06/14/2012","46","Ozone","Flemington","34-019-0001","AQS","7","46","31","45","29"
"06/15/2012","67","Ozone","Flemington","34-019-0001","AQS","7","67",".","40","33"
"06/16/2012","77","Ozone","Flemington","34-019-0001","AQS","7","77",".","38","29"
"06/17/2012","48","PM2.5","Flemington","34-019-0001","AQS","7","46",".","48","18"
"06/18/2012","41","Ozone","MILLBROOK","36-027-0007","AQS","7","41",".","33","28"
"06/19/2012","67","Ozone","Rutgers University","34-023-0011","AQS","7","67",".","45","35"
"06/20/2012","174","Ozone","BABYLON","36-103-0002","AQS","7","174","41","80","35"
"06/21/2012","159","Ozone","Monmouth University","34-025-0005","AQS","6","159",".","88","35"
"06/22/2012","119","Ozone","Rutgers University","34-023-0011","AQS","9","119",".","88","51"
"06/23/2012","52","PM2.5","DIVISION STREET","36-061-0134","AQS","9","49",".","52","32"
"06/24/2012","67","Ozone","BABYLON","36-103-0002","AQS","8","67",".","38","27"
"06/25/2012","58","Ozone","Monmouth University","34-025-0005","AQS","9","58",".","46","37"
"06/26/2012","38","PM2.5","Newark Firehouse","34-013-0003","AQS","6","33","24","38","19"
"06/27/2012","43","Ozone","Monmouth University","34-025-0005","AQS","6","43",".","30","32"
"06/28/2012","147","Ozone","Colliers Mills","34-029-0006","AQS","8","147",".","57","36"
"06/29/2012","174","Ozone","BABYLON","36-103-0002","AQS","10","174",".","100","53"
"06/30/2012","126","Ozone","BABYLON","36-103-0002","AQS","8","126",".","74","25"
"07/01/2012","143","Ozone","Monmouth University","34-025-0005","AQS","8","143",".","73","26"
"07/02/2012","51","PM2.5","DIVISION STREET","36-061-0134","AQS","8","45","32","51","36"
"07/03/2012","115","Ozone","Colliers Mills","34-029-0006","AQS","9","115",".","54","31"
"07/04/2012","112","Ozone","BABYLON","36-103-0002","AQS","9","112",".","79","25"
"07/05/2012","119","Ozone","Monmouth University","34-025-0005","AQS","8","119",".","60","53"
"07/06/2012","115","Ozone","PFIZER LAB SITE","36-005-0133","AQS","6","115",".","55","42"
"07/07/2012","115","Ozone","Colliers Mills","34-029-0006","AQS","7","115",".","70","29"
"07/08/2012","108","Ozone","Bayonne","34-017-0006","AQS","6","108","41","58","26"
"07/09/2012","87","Ozone","Rutgers University","34-023-0011","AQS","7","87",".","45","40"
"07/10/2012","77","Ozone","Flemington","34-019-0001","AQS","6","77",".","49","35"
"07/11/2012","112","Ozone","Rockland County","36-087-0005","AQS","7","112",".","63","37"
"07/12/2012","119","Ozone","MILLBROOK","36-027-0007","AQS","6","119",".","47","37"
"07/13/2012","143","Ozone","Rutgers University","34-023-0011","AQS","10","143",".","58","64"
"07/14/2012","112","Ozone","RIVERHEAD","36-103-0004","AQS","10","112",".","66","39"
"07/15/2012","58","Ozone","Leonia","34-003-0006","AQS","10","58",".","52","24"
"07/16/2012","97","Ozone","BABYLON","36-103-0002","AQS","9","97",".","59","28"
"07/17/2012","161","Ozone","Monmouth University","34-025-0005","AQS","9","161",".","80","38"
"07/18/2012","161","Ozone","Colliers Mills","34-029-0006","AQS","11","161",".","75","53"
"07/19/2012","58","PM2.5","Elizabeth Lab","34-039-0004","AQS","14","39",".","58","40"
"07/20/2012","55","PM10","Jersey City Firehouse","34-017-1003","AQS","11","36","55","52","32"
"07/21/2012","61","Ozone","Flemington","34-019-0001","AQS","8","61",".","45","22"
"07/22/2012","80","Ozone","WHITE PLAINS","36-119-2004","AQS","10","80",".","48","23"
"07/23/2012","101","Ozone","Rutgers University","34-023-0011","AQS","10","101",".","67","42"
"07/24/2012","74","Ozone","Monmouth University","34-025-0005","AQS","9","74",".","59","28"
"07/25/2012","64","Ozone","Monmouth University","34-025-0005","AQS","8","64",".","31","38"
"07/26/2012","129","Ozone","Rutgers University","34-023-0011","AQS","10","129","34","70","42"
"07/27/2012","71","Ozone","Monmouth University","34-025-0005","AQS","9","71",".","50","38"
"07/28/2012","57","PM2.5","New Brunswick","34-023-0006","AQS","10","54",".","57","27"
"07/29/2012","53","PM2.5","Elizabeth Lab","34-039-0004","AQS","13","50",".","53","33"
"07/30/2012","74","Ozone","Chester","34-027-3001","AQS","13","74",".","54","33"
"07/31/2012","58","PM2.5","IS 293","36-047-0121","AQS","10","51",".","58","29"
"08/01/2012","56","PM2.5","Jersey City Firehouse","34-017-1003","AQS","15","47","51","56","43"
"08/02/2012","108","Ozone","Colliers Mills","34-029-0006","AQS","13","108",".","64","42"
"08/03/2012","133","Ozone","WHITE PLAINS","36-119-2004","AQS","14","133",".","74","39"
"08/04/2012","112","Ozone","Rockland County","36-087-0005","AQS","11","112",".","66","29"
"08/05/2012","52","PM2.5","Jersey City Firehouse","34-017-1003","AQS","9","45",".","52","18"
"08/06/2012","64","Ozone","Monmouth University","34-025-0005","AQS","7","64",".","46","23"
"08/07/2012","67","PM10","Jersey City Firehouse","34-017-1003","AQS","11","64","67","57","38"
"08/08/2012","159","Ozone","Rockland County","36-087-0005","AQS","11","159",".","60","50"
"08/09/2012","129","Ozone","Rockland County","36-087-0005","AQS","13","129",".","63","50"
"08/10/2012","44","PM2.5","DIVISION STREET","36-061-0134","AQS","15","40",".","44","30"
"08/11/2012","74","Ozone","Rockland County","36-087-0005","AQS","15","74",".","53","23"
"08/12/2012","80","Ozone","BABYLON","36-103-0002","AQS","11","80","21","44","18"
"08/13/2012","58","Ozone","BABYLON","36-103-0002","AQS","8","58",".","46","37"
"08/14/2012","60","PM2.5","Elizabeth Lab","34-039-0004","AQS","13","51",".","60","53"
"08/15/2012","71","Ozone","Rutgers University","34-023-0011","AQS","11","71",".","56","54"
"08/16/2012","54","PM2.5","Newark Firehouse","34-013-0003","AQS","10","54",".","54","49"
"08/17/2012","115","Ozone","Newark Firehouse","34-013-0003","AQS","14","115",".","71","50"
"08/18/2012","58","Ozone","Monmouth University","34-025-0005","AQS","8","58",".","33","30"
"08/19/2012","42","NO2","QUEENS COLLEGE 2","36-081-0124","AQS","11","40","23","41","42"
"08/20/2012","90","Ozone","MT NINHAM","36-079-0005","AQS","14","90",".","47","48"
"08/21/2012","87","Ozone","Rutgers University","34-023-0011","AQS","13","87",".","52","45"
"08/22/2012","115","Ozone","MT NINHAM","36-079-0005","AQS","13","115",".","62","65"
"08/23/2012","119","Ozone","MT NINHAM","36-079-0005","AQS","13","119",".","65","61"
"08/24/2012","150","Ozone","Chester","34-027-3001","AQS","14","150",".","72","49"
"08/25/2012","97","Ozone","MT NINHAM","36-079-0005","AQS","13","97","42","64","46"
"08/26/2012","50","Ozone","MT NINHAM","36-079-0005","AQS","9","50",".","40","22"
"08/27/2012","41","Ozone","MILLBROOK","36-027-0007","AQS","13","41",".","40","30"
"08/28/2012","51","PM2.5","IS 45","36-061-0079","AQS","10","46",".","51","25"
"08/29/2012","49","Ozone","Monmouth University","34-025-0005","AQS","7","49",".","33","44"
"08/30/2012","67","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","11","67",".","35","43"
"08/31/2012","143","Ozone","Monmouth University","34-025-0005","AQS","11","143","41","75","48"
"09/01/2012","129","Ozone","Monmouth University","34-025-0005","AQS","10","129",".","80","25"
"09/02/2012","55","PM2.5","Toms River","34-029-2002","AQS","10","54",".","55","42"
"09/03/2012","62","PM2.5","Union City","34-017-2002","AQS","11","35",".","62","38"
"09/04/2012","54","PM2.5","Elizabeth Lab","34-039-0004","AQS","25","32",".","54","40"
"09/05/2012","43","PM2.5","Flemington","34-019-0001","AQS","11","34",".","43","37"
"09/06/2012","57","PM2.5","New Brunswick","34-023-0006","AQS","16","38","26","57","50"
"09/07/2012","101","Ozone","Rockland County","36-087-0005","AQS","17","101",".","66","49"
"09/08/2012","43","PM2.5","Elizabeth Lab","34-039-0004","AQS","14","42",".","43","27"
"09/09/2012","43","Ozone","Monmouth University","34-025-0005","AQS","7","43",".","31","18"
"09/10/2012","31","Ozone","Flemington","34-019-0001","AQS","8","31",".","24","22"
"09/11/2012","49","NO2","IS 52","36-005-0110","AQS","10","33",".","27","49"
"09/12/2012","67","Ozone","Rutgers University","34-023-0011","AQS","11","67","36","54","48"
"09/13/2012","112","Ozone","Rutgers University","34-023-0011","AQS","14","112",".","50","52"
"09/14/2012","77","Ozone","Rockland County","36-087-0005","AQS","14","77",".","42","45"
"09/15/2012","31","Ozone","Flemington","34-019-0001","AQS","10","31",".","25","19"
"09/16/2012","40","Ozone","BABYLON","36-103-0002","AQS","8","40",".","25","33"
"09/17/2012","50","Ozone","Flemington","34-019-0001","AQS","11","50",".","45","44"
"09/18/2012","44","PM2.5","Newark Firehouse","34-013-0003","AQS","10","41","19","44","28"
"09/19/2012","32","Ozone","Flemington","34-019-0001","AQS","9","32",".","17","27"
"09/20/2012","31","Ozone","Flemington","34-019-0001","AQS","9","31",".","25","27"
"09/21/2012","42","Ozone","Flemington","34-019-0001","AQS","13","42",".","30","34"
"09/22/2012","49","Ozone","Flemington","34-019-0001","AQS","11","49",".","47","32"
"09/23/2012","28","Ozone","Flemington","34-019-0001","AQS","9","28",".","24","25"
"09/24/2012","64","PM2.5","PS 19","36-061-0128","AQS","9","31","15","64","37"
"09/25/2012","46","Ozone","Flemington","34-019-0001","AQS","11","46",".","43","41"
"09/26/2012","52","PM2.5","IS 74","36-005-0112","AQS","11","46",".","52","42"
"09/27/2012","65","PM2.5","Elizabeth Lab","34-039-0004","AQS","14","41",".","65","48"
"09/28/2012","54","PM2.5","Elizabeth Lab","34-039-0004","AQS","14","42",".","54","42"
"09/29/2012","29","PM2.5","Flemington","34-019-0001","AQS","8","18",".","29","18"
"09/30/2012","49","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","33","19","49","24"
"10/01/2012","39","NO2","Newark Firehouse","34-013-0003","AQS","11","32",".","33","39"
"10/02/2012","59","PM2.5","Elizabeth Lab","34-039-0004","AQS","19","40",".","59","49"
"10/03/2012","87","PM2.5","Elizabeth Lab","34-039-0004","AQS","20","23",".","87","40"
"10/04/2012","69","PM2.5","Elizabeth Lab","34-039-0004","AQS","19","22",".","69","41"
"10/05/2012","64","Ozone","Flemington","34-019-0001","AQS","17","64",".","62","60"
"10/06/2012","57","PM2.5","Newark Firehouse","34-013-0003","AQS","17","48","23","57","45"
"10/07/2012","27","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","26",".","27","25"
"10/08/2012","28","PM2.5","Elizabeth Lab","34-039-0004","AQS","10","25",".","28","26"
"10/09/2012","36","PM2.5","MORRISANIA","36-005-0080","AQS","10","27",".","36","28"
"10/10/2012","33","Ozone","Flemington","34-019-0001","AQS","9","33",".","30","27"
"10/11/2012","39","PM2.5","Jersey City Firehouse","34-017-1003","AQS","10","31",".","39","33"
