"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2017","59","PM2.5","Intermediate School 143","36-061-0115","AQS","11","34","11","59","44"
"01/02/2017","60","PM2.5","Elizabeth Lab","34-039-0004","AQS","13","33",".","60","43"
"01/03/2017","43","PM2.5","PS 19","36-061-0128","AQS","7","32",".","43","42"
"01/04/2017","46","PM2.5","PS 19","36-061-0128","AQS","6","32","7","46","27"
"01/05/2017","49","PM2.5","FRESHKILLS WEST","36-085-0111","AQS","6","32",".","49","28"
"01/06/2017","53","PM2.5","Intermediate School 143","36-061-0115","AQS","9","31",".","53","28"
"01/07/2017","53","PM2.5","PS 19","36-061-0128","AQS","8","32","16","53","24"
"01/08/2017","54","PM2.5","Intermediate School 143","36-061-0115","AQS","7","33",".","54","22"
"01/09/2017","62","NO2","Fort Lee Near Road","34-003-0010","AQS","8","30",".","52","62"
"01/10/2017","57","PM2.5","Newark Firehouse","34-013-0003","AQS","11","36","24","57","57"
"01/11/2017","54","PM2.5","PS 19","36-061-0128","AQS","10","34",".","54","42"
"01/12/2017","56","PM2.5","Intermediate School 143","36-061-0115","AQS","9","31",".","56","41"
"01/13/2017","44","PM2.5","PS 19","36-061-0128","AQS","6","40","13","44","25"
"01/14/2017","44","PM2.5","PS 19","36-061-0128","AQS","8","31",".","44","42"
"01/15/2017","58","PM2.5","Flemington","34-019-0001","AQS","6","36",".","58","38"
"01/16/2017","62","PM2.5","Jersey City Firehouse","34-017-1003","AQS","10","31","21","62","47"
"01/17/2017","81","PM2.5","Elizabeth Lab","34-039-0004","AQS","14","24",".","81","45"
"01/18/2017","53","PM2.5","PS 19","36-061-0128","AQS","9","31",".","53","44"
"01/19/2017","49","PM2.5","MORRISANIA","36-005-0080","AQS","10","24","11","49","36"
"01/20/2017","56","PM2.5","FRESHKILLS WEST","36-085-0111","AQS","10","23",".","56","37"
"01/21/2017","64","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","9","13",".","64","31"
"01/22/2017","67","PM2.5","Jersey City Firehouse","34-017-1003","AQS","13","26","19","67","35"
"01/23/2017","36","Ozone","HOLTSVILLE","36-103-0009","AQS","8","36",".","34","26"
"01/24/2017","36","Ozone","HOLTSVILLE","36-103-0009","AQS","5","36",".","30","30"
"01/25/2017","44","NO2","IS 52","36-005-0110","AQS","8","32","10","38","44"
"01/26/2017","63","PM2.5","NEWBURGH","36-071-0002","AQS","10","35",".","63","47"
"01/27/2017","38","PM2.5","Intermediate School 143","36-061-0115","AQS","6","30",".","38","23"
"01/28/2017","36","PM2.5","Newark Firehouse","34-013-0003","AQS","6","28",".","36","29"
"01/29/2017","52","PM2.5","HOLTSVILLE","36-103-0009","AQS","7","32",".","52","38"
"01/30/2017","42","NO2","Elizabeth Lab","34-039-0004","AQS","7","38",".","41","42"
"01/31/2017","63","NO2","Fort Lee Near Road","34-003-0010","AQS","11","31","15","56","63"
"02/01/2017","55","NO2","IS 52","36-005-0110","AQS","10","37","18","52","55"
"02/02/2017","45","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","36",".","45","42"
"02/03/2017","45","PM2.5","MORRISANIA","36-005-0080","AQS","5","38","8","45","36"
"02/04/2017","85","PM2.5","Toms River","34-029-2002","AQS","6","40",".","85","31"
"02/05/2017","61","PM2.5","Flemington","34-019-0001","AQS","7","33",".","61","35"
"02/06/2017","89","PM2.5","Toms River","34-029-2002","AQS","8","39","22","89","49"
"02/07/2017","85","PM2.5","Elizabeth Lab","34-039-0004","AQS","13","30",".","85","53"
"02/08/2017","63","PM2.5","Elizabeth Lab","34-039-0004","AQS","14","32",".","63","54"
"02/09/2017","38","Ozone","Flemington","34-019-0001","AQS","8","38","5","34","30"
"02/10/2017","40","NO2","Fort Lee Near Road","34-003-0010","AQS","5","38",".","38","40"
"02/11/2017","62","PM2.5","Intermediate School 143","36-061-0115","AQS","15","34",".","62","55"
"02/12/2017","57","PM2.5","Elizabeth Lab","34-039-0004","AQS","17","31","16","57","47"
"02/13/2017","58","PM2.5","NEWBURGH","36-071-0002","AQS","7","35",".","58","28"
"02/14/2017","78","PM2.5","NEWBURGH","36-071-0002","AQS","7","39",".","78","50"
"02/15/2017","63","NO2","Bayonne","34-017-0006","AQS","16","39","17","62","63"
"02/16/2017","41","PM2.5","PS 19","36-061-0128","AQS","3","34",".","41","21"
"02/17/2017","66","PM2.5","NEWBURGH","36-071-0002","AQS","5","42",".","66","47"
