"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2017","31","Ozone","DUNKIRK","36-013-0006","AQS","31","30"
"01/02/2017","25","Ozone","DUNKIRK","36-013-0006","AQS","25","."
"01/03/2017","25","Ozone","DUNKIRK","36-013-0006","AQS","25","."
"01/04/2017","35","Ozone","DUNKIRK","36-013-0006","AQS","35","15"
"01/05/2017","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"01/06/2017","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"01/07/2017","36","PM2.5","DUNKIRK","36-013-0006","AQS","33","36"
"01/08/2017","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"01/09/2017","29","Ozone","DUNKIRK","36-013-0006","AQS","29","."
"01/10/2017","32","Ozone","DUNKIRK","36-013-0006","AQS","32","20"
"01/13/2017","20","PM2.5","DUNKIRK","36-013-0006","AQS",".","20"
"01/16/2017","52","PM2.5","DUNKIRK","36-013-0006","AQS",".","52"
"01/19/2017","34","PM2.5","DUNKIRK","36-013-0006","AQS","25","34"
"01/20/2017","16","Ozone","DUNKIRK","36-013-0006","AQS","16","."
"01/21/2017","25","Ozone","DUNKIRK","36-013-0006","AQS","25","."
"01/22/2017","40","PM2.5","DUNKIRK","36-013-0006","AQS","15","40"
"01/23/2017","26","Ozone","DUNKIRK","36-013-0006","AQS","26","."
"01/24/2017","27","Ozone","DUNKIRK","36-013-0006","AQS","27","."
"01/25/2017","26","Ozone","DUNKIRK","36-013-0006","AQS","26","23"
"01/26/2017","25","Ozone","DUNKIRK","36-013-0006","AQS","25","."
"01/27/2017","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"01/28/2017","33","PM2.5","DUNKIRK","36-013-0006","AQS","31","33"
"01/29/2017","41","Ozone","DUNKIRK","36-013-0006","AQS","41","."
"01/31/2017","33","PM2.5","DUNKIRK","36-013-0006","AQS",".","33"
"02/03/2017","38","Ozone","DUNKIRK","36-013-0006","AQS","38","17"
"02/04/2017","38","Ozone","DUNKIRK","36-013-0006","AQS","38","."
"02/05/2017","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"02/06/2017","38","Ozone","DUNKIRK","36-013-0006","AQS","38","30"
"02/07/2017","29","Ozone","DUNKIRK","36-013-0006","AQS","29","."
"02/08/2017","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"02/09/2017","38","Ozone","DUNKIRK","36-013-0006","AQS","38","10"
"02/10/2017","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"02/11/2017","28","Ozone","DUNKIRK","36-013-0006","AQS","28","."
"02/12/2017","54","PM2.5","DUNKIRK","36-013-0006","AQS","37","54"
"02/13/2017","40","Ozone","DUNKIRK","36-013-0006","AQS","40","."
"02/14/2017","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"02/15/2017","37","Ozone","DUNKIRK","36-013-0006","AQS","37","11"
"02/16/2017","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"02/17/2017","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"02/18/2017","49","Ozone","DUNKIRK","36-013-0006","AQS","49","32"
"02/19/2017","38","Ozone","DUNKIRK","36-013-0006","AQS","38","."
"02/20/2017","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"02/21/2017","32","Ozone","DUNKIRK","36-013-0006","AQS","32","28"
"02/22/2017","30","Ozone","DUNKIRK","36-013-0006","AQS","30","."
"02/23/2017","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"02/24/2017","37","Ozone","DUNKIRK","36-013-0006","AQS","37","29"
"02/25/2017","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"02/26/2017","36","Ozone","DUNKIRK","36-013-0006","AQS","36","."
"02/27/2017","36","Ozone","DUNKIRK","36-013-0006","AQS","36","30"
"02/28/2017","36","Ozone","DUNKIRK","36-013-0006","AQS","36","."
"03/01/2017","38","Ozone","DUNKIRK","36-013-0006","AQS","38","."
"03/02/2017","42","Ozone","DUNKIRK","36-013-0006","AQS","42","10"
"03/03/2017","41","Ozone","DUNKIRK","36-013-0006","AQS","41","."
"03/04/2017","40","Ozone","DUNKIRK","36-013-0006","AQS","40","."
"03/05/2017","41","Ozone","DUNKIRK","36-013-0006","AQS","41","12"
"03/06/2017","38","Ozone","DUNKIRK","36-013-0006","AQS","38","."
"03/07/2017","38","Ozone","DUNKIRK","36-013-0006","AQS","38","."
"03/08/2017","44","Ozone","DUNKIRK","36-013-0006","AQS","44","9"
"03/09/2017","41","Ozone","DUNKIRK","36-013-0006","AQS","41","."
"03/10/2017","40","Ozone","DUNKIRK","36-013-0006","AQS","40","."
"03/11/2017","40","Ozone","DUNKIRK","36-013-0006","AQS","40","7"
"03/12/2017","38","Ozone","DUNKIRK","36-013-0006","AQS","38","."
"03/13/2017","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"03/14/2017","37","Ozone","DUNKIRK","36-013-0006","AQS","37","13"
"03/15/2017","43","Ozone","DUNKIRK","36-013-0006","AQS","43","."
"03/16/2017","43","Ozone","DUNKIRK","36-013-0006","AQS","43","."
"03/17/2017","42","PM2.5","DUNKIRK","36-013-0006","AQS","42","42"
"03/18/2017","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"03/19/2017","44","Ozone","DUNKIRK","36-013-0006","AQS","44","."
"03/20/2017","42","PM2.5","DUNKIRK","36-013-0006","AQS",".","42"
"03/23/2017","28","PM2.5","DUNKIRK","36-013-0006","AQS",".","28"
"03/26/2017","28","PM2.5","DUNKIRK","36-013-0006","AQS",".","28"
"03/29/2017","30","PM2.5","DUNKIRK","36-013-0006","AQS",".","30"
"03/30/2017","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"03/31/2017","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"04/01/2017","39","Ozone","DUNKIRK","36-013-0006","AQS","39","11"
"04/02/2017","44","Ozone","DUNKIRK","36-013-0006","AQS","44","."
"04/03/2017","44","Ozone","DUNKIRK","36-013-0006","AQS","44","."
"04/04/2017","38","Ozone","DUNKIRK","36-013-0006","AQS","38","14"
"04/05/2017","42","Ozone","DUNKIRK","36-013-0006","AQS","42","."
"04/06/2017","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"04/07/2017","40","Ozone","DUNKIRK","36-013-0006","AQS","40","7"
"04/08/2017","43","Ozone","DUNKIRK","36-013-0006","AQS","43","."
"04/09/2017","67","Ozone","DUNKIRK","36-013-0006","AQS","67","."
"04/10/2017","71","Ozone","DUNKIRK","36-013-0006","AQS","71","33"
"04/11/2017","46","Ozone","DUNKIRK","36-013-0006","AQS","46","."
"04/12/2017","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"04/13/2017","43","Ozone","DUNKIRK","36-013-0006","AQS","43","."
"04/14/2017","49","Ozone","DUNKIRK","36-013-0006","AQS","49","."
"04/15/2017","58","Ozone","DUNKIRK","36-013-0006","AQS","58","."
"04/16/2017","61","Ozone","DUNKIRK","36-013-0006","AQS","61","33"
"04/17/2017","40","Ozone","DUNKIRK","36-013-0006","AQS","40","."
"04/18/2017","42","Ozone","DUNKIRK","36-013-0006","AQS","42","."
"04/19/2017","43","Ozone","DUNKIRK","36-013-0006","AQS","43","25"
"04/20/2017","26","Ozone","DUNKIRK","36-013-0006","AQS","26","."
"04/21/2017","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"04/22/2017","35","Ozone","DUNKIRK","36-013-0006","AQS","35","11"
"04/23/2017","46","Ozone","DUNKIRK","36-013-0006","AQS","46","."
"04/24/2017","38","Ozone","DUNKIRK","36-013-0006","AQS","38","."
"04/25/2017","31","Ozone","DUNKIRK","36-013-0006","AQS","31","17"
"04/26/2017","36","Ozone","DUNKIRK","36-013-0006","AQS","36","."
"04/27/2017","49","Ozone","DUNKIRK","36-013-0006","AQS","49","."
"04/28/2017","41","Ozone","DUNKIRK","36-013-0006","AQS","41","19"
"04/29/2017","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"04/30/2017","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"05/01/2017","42","Ozone","DUNKIRK","36-013-0006","AQS","42","25"
"05/02/2017","44","Ozone","DUNKIRK","36-013-0006","AQS","44","."
"05/03/2017","42","Ozone","DUNKIRK","36-013-0006","AQS","42","."
"05/04/2017","36","Ozone","DUNKIRK","36-013-0006","AQS","36","23"
"05/05/2017","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"05/06/2017","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"05/07/2017","37","Ozone","DUNKIRK","36-013-0006","AQS","37","8"
"05/08/2017","44","Ozone","DUNKIRK","36-013-0006","AQS","44","."
"05/09/2017","45","Ozone","DUNKIRK","36-013-0006","AQS","45","."
"05/10/2017","38","Ozone","DUNKIRK","36-013-0006","AQS","38","12"
"05/11/2017","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"05/12/2017","40","Ozone","DUNKIRK","36-013-0006","AQS","40","."
"05/13/2017","45","Ozone","DUNKIRK","36-013-0006","AQS","45","26"
"05/14/2017","43","Ozone","DUNKIRK","36-013-0006","AQS","43","."
"05/15/2017","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"05/16/2017","58","Ozone","DUNKIRK","36-013-0006","AQS","58","25"
"05/17/2017","71","Ozone","DUNKIRK","36-013-0006","AQS","71","."
"05/18/2017","71","Ozone","DUNKIRK","36-013-0006","AQS","71","."
"05/19/2017","35","Ozone","DUNKIRK","36-013-0006","AQS","35","14"
"05/20/2017","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"05/21/2017","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"05/22/2017","44","Ozone","DUNKIRK","36-013-0006","AQS","44","33"
"05/23/2017","64","Ozone","DUNKIRK","36-013-0006","AQS","64","."
"05/24/2017","44","Ozone","DUNKIRK","36-013-0006","AQS","44","."
"05/25/2017","39","Ozone","DUNKIRK","36-013-0006","AQS","39","13"
"05/26/2017","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"05/27/2017","41","Ozone","DUNKIRK","36-013-0006","AQS","41","."
"05/28/2017","37","Ozone","DUNKIRK","36-013-0006","AQS","37","30"
"05/29/2017","51","Ozone","DUNKIRK","36-013-0006","AQS","51","."
"05/30/2017","61","Ozone","DUNKIRK","36-013-0006","AQS","61","."
"05/31/2017","61","Ozone","DUNKIRK","36-013-0006","AQS","61","15"
"06/01/2017","38","Ozone","DUNKIRK","36-013-0006","AQS","38","."
"06/02/2017","42","Ozone","DUNKIRK","36-013-0006","AQS","42","."
"06/03/2017","40","Ozone","DUNKIRK","36-013-0006","AQS","40","15"
"06/04/2017","64","Ozone","DUNKIRK","36-013-0006","AQS","64","."
"06/05/2017","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"06/06/2017","7","PM2.5","DUNKIRK","36-013-0006","AQS",".","7"
"06/09/2017","87","Ozone","DUNKIRK","36-013-0006","AQS","87","30"
"06/10/2017","122","Ozone","DUNKIRK","36-013-0006","AQS","122","."
"06/11/2017","46","Ozone","DUNKIRK","36-013-0006","AQS","46","."
"06/12/2017","54","PM2.5","DUNKIRK","36-013-0006","AQS",".","54"
"06/15/2017","35","PM2.5","DUNKIRK","36-013-0006","AQS",".","35"
"06/16/2017","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"06/17/2017","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"06/18/2017","29","PM2.5","DUNKIRK","36-013-0006","AQS","24","29"
"06/19/2017","29","Ozone","DUNKIRK","36-013-0006","AQS","29","."
"06/20/2017","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"06/21/2017","46","Ozone","DUNKIRK","36-013-0006","AQS","46","15"
"06/22/2017","49","Ozone","DUNKIRK","36-013-0006","AQS","49","."
"06/23/2017","30","Ozone","DUNKIRK","36-013-0006","AQS","30","."
"06/24/2017","51","Ozone","DUNKIRK","36-013-0006","AQS","51","20"
"06/25/2017","46","Ozone","DUNKIRK","36-013-0006","AQS","46","."
"06/26/2017","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"06/27/2017","36","Ozone","DUNKIRK","36-013-0006","AQS","36","13"
"06/28/2017","44","Ozone","DUNKIRK","36-013-0006","AQS","44","."
"06/29/2017","48","Ozone","DUNKIRK","36-013-0006","AQS","48","."
"06/30/2017","48","Ozone","DUNKIRK","36-013-0006","AQS","48","27"
"07/01/2017","46","Ozone","DUNKIRK","36-013-0006","AQS","46","."
"07/02/2017","58","Ozone","DUNKIRK","36-013-0006","AQS","58","."
"07/03/2017","42","PM2.5","DUNKIRK","36-013-0006","AQS","40","42"
"07/04/2017","38","Ozone","DUNKIRK","36-013-0006","AQS","38","."
"07/05/2017","40","Ozone","DUNKIRK","36-013-0006","AQS","40","."
"07/06/2017","51","Ozone","DUNKIRK","36-013-0006","AQS","51","47"
"07/07/2017","80","Ozone","DUNKIRK","36-013-0006","AQS","80","."
"07/08/2017","44","Ozone","DUNKIRK","36-013-0006","AQS","44","."
"07/09/2017","44","Ozone","DUNKIRK","36-013-0006","AQS","44","23"
"07/10/2017","45","Ozone","DUNKIRK","36-013-0006","AQS","45","."
"07/11/2017","45","Ozone","DUNKIRK","36-013-0006","AQS","45","."
"07/12/2017","49","Ozone","DUNKIRK","36-013-0006","AQS","49","38"
"07/13/2017","40","Ozone","DUNKIRK","36-013-0006","AQS","40","."
"07/14/2017","41","Ozone","DUNKIRK","36-013-0006","AQS","41","."
"07/15/2017","31","Ozone","DUNKIRK","36-013-0006","AQS","31","29"
"07/16/2017","49","Ozone","DUNKIRK","36-013-0006","AQS","49","."
"07/17/2017","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"07/18/2017","41","Ozone","DUNKIRK","36-013-0006","AQS","41","31"
"07/19/2017","129","Ozone","DUNKIRK","36-013-0006","AQS","129","."
"07/20/2017","54","Ozone","DUNKIRK","36-013-0006","AQS","54","."
"07/21/2017","51","Ozone","DUNKIRK","36-013-0006","AQS","51","36"
"07/22/2017","26","Ozone","DUNKIRK","36-013-0006","AQS","26","."
"07/23/2017","43","Ozone","DUNKIRK","36-013-0006","AQS","43","."
"07/24/2017","32","Ozone","DUNKIRK","36-013-0006","AQS","32","28"
"07/25/2017","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"07/26/2017","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"07/27/2017","54","Ozone","DUNKIRK","36-013-0006","AQS","54","37"
"07/28/2017","29","Ozone","DUNKIRK","36-013-0006","AQS","29","."
"07/29/2017","25","Ozone","DUNKIRK","36-013-0006","AQS","25","."
"07/30/2017","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"07/31/2017","45","Ozone","DUNKIRK","36-013-0006","AQS","45","."
"08/01/2017","90","Ozone","DUNKIRK","36-013-0006","AQS","90","."
"08/02/2017","77","Ozone","DUNKIRK","36-013-0006","AQS","77","."
"08/03/2017","71","Ozone","DUNKIRK","36-013-0006","AQS","71","."
"08/04/2017","43","Ozone","DUNKIRK","36-013-0006","AQS","43","."
"08/05/2017","29","Ozone","DUNKIRK","36-013-0006","AQS","29","13"
"08/06/2017","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"08/07/2017","41","Ozone","DUNKIRK","36-013-0006","AQS","41","."
"08/08/2017","33","Ozone","DUNKIRK","36-013-0006","AQS","33","28"
"08/09/2017","61","Ozone","DUNKIRK","36-013-0006","AQS","61","."
"08/10/2017","44","Ozone","DUNKIRK","36-013-0006","AQS","44","."
"08/11/2017","43","PM2.5","DUNKIRK","36-013-0006","AQS","38","43"
"08/12/2017","48","Ozone","DUNKIRK","36-013-0006","AQS","48","."
"08/13/2017","29","Ozone","DUNKIRK","36-013-0006","AQS","29","."
