"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2021","26","Ozone","DUNKIRK","36-013-0006","AQS","26","18"
"01/02/2021","27","Ozone","DUNKIRK","36-013-0006","AQS","27","."
"01/03/2021","25","Ozone","DUNKIRK","36-013-0006","AQS","25","."
"01/04/2021","50","PM2.5","DUNKIRK","36-013-0006","AQS","17","50"
"01/05/2021","24","Ozone","DUNKIRK","36-013-0006","AQS","24","."
"01/06/2021","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"01/07/2021","29","Ozone","DUNKIRK","36-013-0006","AQS","29","15"
"01/08/2021","26","Ozone","DUNKIRK","36-013-0006","AQS","26","."
"01/09/2021","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"01/10/2021","35","Ozone","DUNKIRK","36-013-0006","AQS","35","23"
"01/11/2021","25","Ozone","DUNKIRK","36-013-0006","AQS","25","."
"01/12/2021","24","Ozone","DUNKIRK","36-013-0006","AQS","24","."
"01/13/2021","60","PM2.5","DUNKIRK","36-013-0006","AQS","23","60"
"01/14/2021","23","Ozone","DUNKIRK","36-013-0006","AQS","23","."
"01/15/2021","28","Ozone","DUNKIRK","36-013-0006","AQS","28","."
"01/16/2021","29","Ozone","DUNKIRK","36-013-0006","AQS","29","27"
"01/17/2021","25","Ozone","DUNKIRK","36-013-0006","AQS","25","."
"01/18/2021","28","Ozone","DUNKIRK","36-013-0006","AQS","28","."
"01/19/2021","31","Ozone","DUNKIRK","36-013-0006","AQS","31","30"
"01/20/2021","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"01/21/2021","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"01/22/2021","32","Ozone","DUNKIRK","36-013-0006","AQS","32","7"
"01/23/2021","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"01/24/2021","36","Ozone","DUNKIRK","36-013-0006","AQS","36","."
"01/25/2021","33","Ozone","DUNKIRK","36-013-0006","AQS","33","20"
"01/26/2021","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"01/27/2021","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"01/28/2021","37","Ozone","DUNKIRK","36-013-0006","AQS","37","9"
"01/29/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"01/30/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"01/31/2021","35","Ozone","DUNKIRK","36-013-0006","AQS","35","20"
"02/01/2021","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"02/02/2021","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"02/03/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","39","9"
"02/04/2021","38","Ozone","DUNKIRK","36-013-0006","AQS","38","."
"02/05/2021","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"02/06/2021","34","Ozone","DUNKIRK","36-013-0006","AQS","34","27"
"02/07/2021","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"02/08/2021","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"02/09/2021","40","PM2.5","DUNKIRK","36-013-0006","AQS","38","40"
"02/10/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"02/11/2021","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"02/12/2021","35","Ozone","DUNKIRK","36-013-0006","AQS","35","22"
"02/13/2021","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"02/14/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"02/15/2021","39","PM2.5","DUNKIRK","36-013-0006","AQS","34","39"
"02/16/2021","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"02/17/2021","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"02/18/2021","38","Ozone","DUNKIRK","36-013-0006","AQS","38","27"
"02/19/2021","41","Ozone","DUNKIRK","36-013-0006","AQS","41","."
"02/20/2021","45","Ozone","DUNKIRK","36-013-0006","AQS","45","."
"02/21/2021","60","PM2.5","DUNKIRK","36-013-0006","AQS","48","60"
"02/22/2021","48","Ozone","DUNKIRK","36-013-0006","AQS","48","."
"02/23/2021","45","Ozone","DUNKIRK","36-013-0006","AQS","45","."
"02/24/2021","58","Ozone","DUNKIRK","36-013-0006","AQS","58","33"
"02/26/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"02/27/2021","37","Ozone","DUNKIRK","36-013-0006","AQS","37","23"
"02/28/2021","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"03/01/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"03/02/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","39","10"
"03/03/2021","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"03/04/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"03/05/2021","40","Ozone","DUNKIRK","36-013-0006","AQS","40","7"
"03/06/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"03/07/2021","42","Ozone","DUNKIRK","36-013-0006","AQS","42","."
"03/08/2021","44","Ozone","DUNKIRK","36-013-0006","AQS","44","31"
"03/09/2021","38","Ozone","DUNKIRK","36-013-0006","AQS","38","."
"03/10/2021","67","Ozone","DUNKIRK","36-013-0006","AQS","67","."
"03/11/2021","53","PM2.5","DUNKIRK","36-013-0006","AQS","48","53"
"03/12/2021","40","Ozone","DUNKIRK","36-013-0006","AQS","40","."
"03/13/2021","41","Ozone","DUNKIRK","36-013-0006","AQS","41","."
"03/14/2021","41","Ozone","DUNKIRK","36-013-0006","AQS","41","18"
"03/15/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"03/16/2021","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"03/17/2021","52","PM2.5","DUNKIRK","36-013-0006","AQS","42","52"
"03/18/2021","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"03/19/2021","40","Ozone","DUNKIRK","36-013-0006","AQS","40","."
"03/20/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","39","22"
"03/21/2021","45","Ozone","DUNKIRK","36-013-0006","AQS","45","."
"03/22/2021","61","Ozone","DUNKIRK","36-013-0006","AQS","61","."
"03/23/2021","49","Ozone","DUNKIRK","36-013-0006","AQS","49","."
"03/24/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"03/25/2021","44","Ozone","DUNKIRK","36-013-0006","AQS","44","."
"03/26/2021","31","Ozone","DUNKIRK","36-013-0006","AQS","31","19"
"03/27/2021","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"03/28/2021","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"03/29/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","39","13"
