"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2020","31","Ozone","DUNKIRK","36-013-0006","AQS","31","16"
"01/02/2020","30","Ozone","DUNKIRK","36-013-0006","AQS","30","."
"01/03/2020","22","Ozone","DUNKIRK","36-013-0006","AQS","22","."
"01/04/2020","30","Ozone","DUNKIRK","36-013-0006","AQS","30","15"
"01/05/2020","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"01/06/2020","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"01/07/2020","32","Ozone","DUNKIRK","36-013-0006","AQS","32","24"
"01/08/2020","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"01/09/2020","30","Ozone","DUNKIRK","36-013-0006","AQS","30","."
"01/10/2020","29","Ozone","DUNKIRK","36-013-0006","AQS","29","17"
"01/11/2020","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"01/12/2020","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"01/13/2020","20","PM2.5","DUNKIRK","36-013-0006","AQS","20","20"
"01/14/2020","24","Ozone","DUNKIRK","36-013-0006","AQS","24","."
"01/15/2020","26","Ozone","DUNKIRK","36-013-0006","AQS","26","."
"01/16/2020","31","Ozone","DUNKIRK","36-013-0006","AQS","31","19"
"01/17/2020","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"01/18/2020","29","Ozone","DUNKIRK","36-013-0006","AQS","29","."
"01/19/2020","36","Ozone","DUNKIRK","36-013-0006","AQS","36","19"
"01/20/2020","40","Ozone","DUNKIRK","36-013-0006","AQS","40","."
"01/21/2020","40","Ozone","DUNKIRK","36-013-0006","AQS","40","."
"01/22/2020","43","PM2.5","DUNKIRK","36-013-0006","AQS","31","43"
"01/23/2020","25","Ozone","DUNKIRK","36-013-0006","AQS","25","."
"01/24/2020","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"01/25/2020","31","Ozone","DUNKIRK","36-013-0006","AQS","31","14"
"01/26/2020","27","Ozone","DUNKIRK","36-013-0006","AQS","27","."
"01/27/2020","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"01/28/2020","38","Ozone","DUNKIRK","36-013-0006","AQS","38","5"
"01/29/2020","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"01/30/2020","29","Ozone","DUNKIRK","36-013-0006","AQS","29","."
"01/31/2020","45","PM2.5","DUNKIRK","36-013-0006","AQS","29","45"
"02/01/2020","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"02/02/2020","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"02/03/2020","31","Ozone","DUNKIRK","36-013-0006","AQS","31","20"
"02/04/2020","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"02/05/2020","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"02/06/2020","29","Ozone","DUNKIRK","36-013-0006","AQS","29","13"
"02/07/2020","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"02/08/2020","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"02/09/2020","33","PM2.5","DUNKIRK","36-013-0006","AQS","32","33"
"02/10/2020","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"02/11/2020","36","Ozone","DUNKIRK","36-013-0006","AQS","36","."
"02/12/2020","36","Ozone","DUNKIRK","36-013-0006","AQS","36","30"
"02/13/2020","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"02/14/2020","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"02/15/2020","32","Ozone","DUNKIRK","36-013-0006","AQS","32","19"
"02/16/2020","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"02/17/2020","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"02/18/2020","35","Ozone","DUNKIRK","36-013-0006","AQS","35","27"
"02/19/2020","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"02/20/2020","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"02/21/2020","38","Ozone","DUNKIRK","36-013-0006","AQS","38","15"
"02/22/2020","36","Ozone","DUNKIRK","36-013-0006","AQS","36","."
"02/23/2020","43","Ozone","DUNKIRK","36-013-0006","AQS","43","."
"02/24/2020","51","PM2.5","DUNKIRK","36-013-0006","AQS","36","51"
"02/25/2020","36","Ozone","DUNKIRK","36-013-0006","AQS","36","."
"02/26/2020","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"02/27/2020","38","Ozone","DUNKIRK","36-013-0006","AQS","38","11"
"02/28/2020","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"02/29/2020","40","Ozone","DUNKIRK","36-013-0006","AQS","40","."
"03/01/2020","39","Ozone","DUNKIRK","36-013-0006","AQS","39","25"
"03/02/2020","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"03/03/2020","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"03/04/2020","34","Ozone","DUNKIRK","36-013-0006","AQS","34","19"
"03/05/2020","38","Ozone","DUNKIRK","36-013-0006","AQS","38","."
"03/06/2020","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"03/07/2020","38","Ozone","DUNKIRK","36-013-0006","AQS","38","12"
"03/08/2020","40","Ozone","DUNKIRK","36-013-0006","AQS","40","."
"03/09/2020","48","Ozone","DUNKIRK","36-013-0006","AQS","48","."
"03/10/2020","40","Ozone","DUNKIRK","36-013-0006","AQS","40","20"
"03/11/2020","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"03/12/2020","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"03/13/2020","41","Ozone","DUNKIRK","36-013-0006","AQS","41","16"
"03/14/2020","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"03/15/2020","41","Ozone","DUNKIRK","36-013-0006","AQS","41","."
"03/16/2020","40","Ozone","DUNKIRK","36-013-0006","AQS","40","12"
"03/17/2020","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"03/18/2020","29","Ozone","DUNKIRK","36-013-0006","AQS","29","."
"03/19/2020","38","PM2.5","DUNKIRK","36-013-0006","AQS","26","38"
"03/20/2020","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"03/21/2020","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"03/22/2020","38","Ozone","DUNKIRK","36-013-0006","AQS","38","17"
"03/23/2020","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"03/24/2020","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"03/25/2020","38","Ozone","DUNKIRK","36-013-0006","AQS","38","18"
"03/26/2020","44","Ozone","DUNKIRK","36-013-0006","AQS","44","."
"03/27/2020","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
