"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2011","33","Ozone","WESTFIELD","36-013-0011","AQS","33","."
"01/02/2011","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"01/03/2011","34","Ozone","WESTFIELD","36-013-0011","AQS","34","20"
"01/04/2011","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"01/05/2011","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"01/06/2011","56","PM2.5","WESTFIELD","36-013-0011","AQS","31","56"
"01/07/2011","33","Ozone","WESTFIELD","36-013-0011","AQS","33","."
"01/08/2011","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"01/09/2011","34","Ozone","DUNKIRK","36-013-0006","AQS","34","15"
"01/10/2011","33","Ozone","WESTFIELD","36-013-0011","AQS","33","."
"01/11/2011","33","Ozone","WESTFIELD","36-013-0011","AQS","33","."
"01/12/2011","33","Ozone","DUNKIRK","36-013-0006","AQS","33","15"
"01/13/2011","36","Ozone","DUNKIRK","36-013-0006","AQS","36","."
"01/14/2011","31","Ozone","WESTFIELD","36-013-0011","AQS","31","."
"01/15/2011","56","PM2.5","WESTFIELD","36-013-0011","AQS","34","56"
"01/16/2011","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"01/17/2011","38","Ozone","WESTFIELD","36-013-0011","AQS","38","."
"01/18/2011","35","PM2.5","WESTFIELD","36-013-0011","AQS","31","35"
"01/19/2011","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"01/20/2011","37","Ozone","WESTFIELD","36-013-0011","AQS","37","."
"01/21/2011","32","Ozone","DUNKIRK","36-013-0006","AQS","32","23"
"01/22/2011","33","Ozone","WESTFIELD","36-013-0011","AQS","33","."
"01/23/2011","31","Ozone","WESTFIELD","36-013-0011","AQS","31","."
"01/24/2011","31","Ozone","WESTFIELD","36-013-0011","AQS","31","."
"01/25/2011","32","Ozone","WESTFIELD","36-013-0011","AQS","32","."
"01/26/2011","30","Ozone","DUNKIRK","36-013-0006","AQS","30","."
"01/27/2011","53","PM2.5","WESTFIELD","36-013-0011","AQS","32","53"
"01/28/2011","29","Ozone","WESTFIELD","36-013-0011","AQS","29","."
"01/29/2011","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"01/30/2011","35","Ozone","DUNKIRK","36-013-0006","AQS","35","31"
"01/31/2011","34","Ozone","WESTFIELD","36-013-0011","AQS","34","."
"02/01/2011","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"02/02/2011","38","Ozone","WESTFIELD","36-013-0011","AQS","38","21"
"02/03/2011","39","Ozone","WESTFIELD","36-013-0011","AQS","39","."
"02/04/2011","41","Ozone","WESTFIELD","36-013-0011","AQS","41","."
"02/05/2011","44","PM2.5","WESTFIELD","36-013-0011","AQS","31","44"
"02/06/2011","40","Ozone","WESTFIELD","36-013-0011","AQS","40","."
"02/07/2011","32","Ozone","WESTFIELD","36-013-0011","AQS","32","."
"02/08/2011","36","Ozone","WESTFIELD","36-013-0011","AQS","36","14"
"02/09/2011","37","Ozone","WESTFIELD","36-013-0011","AQS","37","."
"02/10/2011","37","Ozone","WESTFIELD","36-013-0011","AQS","37","."
"02/11/2011","56","PM2.5","WESTFIELD","36-013-0011","AQS","37","56"
"02/12/2011","45","Ozone","WESTFIELD","36-013-0011","AQS","45","."
"02/13/2011","45","Ozone","WESTFIELD","36-013-0011","AQS","45","."
"02/14/2011","45","Ozone","WESTFIELD","36-013-0011","AQS","45","."
"02/15/2011","36","Ozone","WESTFIELD","36-013-0011","AQS","36","."
"02/16/2011","41","Ozone","WESTFIELD","36-013-0011","AQS","41","."
"02/17/2011","71","Ozone","WESTFIELD","36-013-0011","AQS","71","."
"02/18/2011","41","Ozone","WESTFIELD","36-013-0011","AQS","41","."
"02/19/2011","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"02/20/2011","35","Ozone","WESTFIELD","36-013-0011","AQS","35","15"
"02/21/2011","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"02/22/2011","35","Ozone","WESTFIELD","36-013-0011","AQS","35","."
"02/23/2011","39","Ozone","DUNKIRK","36-013-0006","AQS","39","24"
"02/24/2011","25","Ozone","DUNKIRK","36-013-0006","AQS","25","."
"02/25/2011","38","Ozone","WESTFIELD","36-013-0011","AQS","38","."
"02/26/2011","43","PM2.5","WESTFIELD","36-013-0011","AQS","42","43"
"02/27/2011","38","Ozone","WESTFIELD","36-013-0011","AQS","38","."
"02/28/2011","41","Ozone","DUNKIRK","36-013-0006","AQS","41","."
"03/01/2011","43","Ozone","DUNKIRK","36-013-0006","AQS","43","23"
"03/02/2011","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"03/03/2011","39","Ozone","WESTFIELD","36-013-0011","AQS","39","."
"03/04/2011","37","Ozone","WESTFIELD","36-013-0011","AQS","37","23"
"03/05/2011","39","Ozone","WESTFIELD","36-013-0011","AQS","39","."
"03/06/2011","38","Ozone","DUNKIRK","36-013-0006","AQS","38","."
"03/07/2011","44","Ozone","WESTFIELD","36-013-0011","AQS","44","23"
"03/08/2011","42","Ozone","WESTFIELD","36-013-0011","AQS","42","."
"03/09/2011","40","Ozone","DUNKIRK","36-013-0006","AQS","40","."
"03/10/2011","36","Ozone","WESTFIELD","36-013-0011","AQS","36","4"
"03/11/2011","42","Ozone","WESTFIELD","36-013-0011","AQS","42","."
"03/12/2011","39","Ozone","WESTFIELD","36-013-0011","AQS","39","."
"03/13/2011","36","Ozone","DUNKIRK","36-013-0006","AQS","36","35"
"03/14/2011","42","Ozone","DUNKIRK","36-013-0006","AQS","42","."
"03/15/2011","38","Ozone","WESTFIELD","36-013-0011","AQS","38","."
"03/16/2011","45","PM2.5","WESTFIELD","36-013-0011","AQS","30","45"
"03/17/2011","49","Ozone","WESTFIELD","36-013-0011","AQS","49","."
"03/18/2011","44","Ozone","WESTFIELD","36-013-0011","AQS","44","."
"03/19/2011","36","Ozone","DUNKIRK","36-013-0006","AQS","36","19"
"03/20/2011","42","Ozone","DUNKIRK","36-013-0006","AQS","42","."
