"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2015","30","Ozone","DUNKIRK","36-013-0006","AQS","30","."
"01/02/2015","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"01/03/2015","23","Ozone","DUNKIRK","36-013-0006","AQS","23","."
"01/04/2015","33","Ozone","DUNKIRK","36-013-0006","AQS","33","13"
"01/05/2015","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"01/06/2015","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"01/07/2015","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"01/08/2015","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"01/09/2015","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"01/10/2015","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"01/11/2015","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"01/12/2015","34","PM2.5","DUNKIRK","36-013-0006","AQS","33","34"
"01/13/2015","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"01/14/2015","29","Ozone","DUNKIRK","36-013-0006","AQS","29","."
"01/15/2015","55","PM2.5","DUNKIRK","36-013-0006","AQS","32","55"
"01/16/2015","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"01/17/2015","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"01/18/2015","31","Ozone","DUNKIRK","36-013-0006","AQS","31","28"
"01/19/2015","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"01/20/2015","30","Ozone","DUNKIRK","36-013-0006","AQS","30","."
"01/21/2015","56","PM2.5","DUNKIRK","36-013-0006","AQS","19","56"
"01/22/2015","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"01/23/2015","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"01/24/2015","60","PM2.5","DUNKIRK","36-013-0006","AQS","27","60"
"01/25/2015","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"01/26/2015","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"01/27/2015","34","Ozone","DUNKIRK","36-013-0006","AQS","34","23"
"01/28/2015","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"01/29/2015","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"01/30/2015","38","Ozone","DUNKIRK","36-013-0006","AQS","38","19"
"01/31/2015","38","Ozone","DUNKIRK","36-013-0006","AQS","38","."
"02/01/2015","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"02/02/2015","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"02/03/2015","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"02/04/2015","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"02/05/2015","36","Ozone","DUNKIRK","36-013-0006","AQS","36","19"
"02/06/2015","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"02/07/2015","30","Ozone","DUNKIRK","36-013-0006","AQS","30","."
"02/08/2015","53","PM2.5","DUNKIRK","36-013-0006","AQS","30","53"
"02/09/2015","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"02/10/2015","30","Ozone","DUNKIRK","36-013-0006","AQS","30","."
"02/11/2015","53","PM2.5","DUNKIRK","36-013-0006","AQS","30","53"
"02/12/2015","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"02/13/2015","36","Ozone","DUNKIRK","36-013-0006","AQS","36","."
"02/14/2015","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"02/15/2015","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"02/16/2015","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"02/17/2015","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"02/18/2015","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"02/19/2015","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"02/20/2015","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"02/21/2015","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"02/22/2015","46","Ozone","DUNKIRK","36-013-0006","AQS","46","."
"02/23/2015","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"02/24/2015","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"02/25/2015","40","Ozone","DUNKIRK","36-013-0006","AQS","40","."
"02/26/2015","31","PM2.5","DUNKIRK","36-013-0006","AQS","31","31"
"02/27/2015","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"02/28/2015","44","Ozone","DUNKIRK","36-013-0006","AQS","44","."
"03/01/2015","58","PM2.5","DUNKIRK","36-013-0006","AQS","51","58"
"03/02/2015","49","Ozone","DUNKIRK","36-013-0006","AQS","49","."
"03/03/2015","42","Ozone","DUNKIRK","36-013-0006","AQS","42","."
"03/04/2015","50","Ozone","DUNKIRK","36-013-0006","AQS","50","48"
"03/05/2015","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"03/06/2015","46","Ozone","DUNKIRK","36-013-0006","AQS","46","."
"03/07/2015","63","PM2.5","DUNKIRK","36-013-0006","AQS","50","63"
"03/08/2015","84","Ozone","DUNKIRK","36-013-0006","AQS","84","."
"03/09/2015","84","Ozone","DUNKIRK","36-013-0006","AQS","84","."
