"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2018","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"01/02/2018","34","Ozone","DUNKIRK","36-013-0006","AQS","34","23"
"01/03/2018","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"01/04/2018","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"01/05/2018","34","Ozone","DUNKIRK","36-013-0006","AQS","34","9"
"01/06/2018","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"01/07/2018","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"01/08/2018","32","Ozone","DUNKIRK","36-013-0006","AQS","32","28"
"01/09/2018","29","Ozone","DUNKIRK","36-013-0006","AQS","29","."
"01/10/2018","29","Ozone","DUNKIRK","36-013-0006","AQS","29","."
"01/11/2018","33","Ozone","DUNKIRK","36-013-0006","AQS","33","20"
"01/12/2018","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"01/13/2018","36","Ozone","DUNKIRK","36-013-0006","AQS","36","."
"01/14/2018","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"01/15/2018","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"01/16/2018","25","Ozone","DUNKIRK","36-013-0006","AQS","25","."
"01/18/2018","29","Ozone","DUNKIRK","36-013-0006","AQS","29","."
"01/19/2018","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"01/20/2018","54","PM2.5","DUNKIRK","36-013-0006","AQS","36","54"
"01/21/2018","30","Ozone","DUNKIRK","36-013-0006","AQS","30","."
"01/22/2018","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"01/23/2018","35","Ozone","DUNKIRK","36-013-0006","AQS","35","13"
"01/24/2018","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"01/25/2018","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"01/26/2018","45","PM2.5","DUNKIRK","36-013-0006","AQS","32","45"
"01/27/2018","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"01/28/2018","29","Ozone","DUNKIRK","36-013-0006","AQS","29","."
"01/29/2018","28","Ozone","DUNKIRK","36-013-0006","AQS","28","23"
"01/30/2018","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"02/01/2018","34","PM2.5","DUNKIRK","36-013-0006","AQS","31","34"
"02/02/2018","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"02/03/2018","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"02/04/2018","35","Ozone","DUNKIRK","36-013-0006","AQS","35","18"
"02/05/2018","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"02/06/2018","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"02/07/2018","50","PM2.5","DUNKIRK","36-013-0006","AQS","41","50"
"02/08/2018","43","Ozone","DUNKIRK","36-013-0006","AQS","43","."
"02/09/2018","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"02/10/2018","61","PM2.5","DUNKIRK","36-013-0006","AQS","31","61"
"02/11/2018","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"02/12/2018","44","Ozone","DUNKIRK","36-013-0006","AQS","44","."
"02/13/2018","42","PM2.5","DUNKIRK","36-013-0006","AQS","38","42"
"02/14/2018","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"02/15/2018","22","Ozone","DUNKIRK","36-013-0006","AQS","22","."
"02/16/2018","37","Ozone","DUNKIRK","36-013-0006","AQS","37","26"
"02/17/2018","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
