"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2013","25","PM2.5","WESTFIELD","36-013-0011","AQS",".","25"
"01/08/2013","26","Ozone","DUNKIRK","36-013-0006","AQS","26","."
"01/09/2013","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"01/10/2013","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"01/11/2013","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"01/12/2013","29","Ozone","DUNKIRK","36-013-0006","AQS","29","."
"01/13/2013","22","Ozone","DUNKIRK","36-013-0006","AQS","22","."
"01/14/2013","29","Ozone","DUNKIRK","36-013-0006","AQS","29","."
"01/15/2013","29","Ozone","DUNKIRK","36-013-0006","AQS","29","."
"01/16/2013","27","Ozone","DUNKIRK","36-013-0006","AQS","27","."
"01/17/2013","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"01/18/2013","38","Ozone","DUNKIRK","36-013-0006","AQS","38","."
"01/19/2013","34","Ozone","DUNKIRK","36-013-0006","AQS","34","15"
"01/20/2013","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"01/21/2013","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"01/23/2013","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"01/24/2013","36","Ozone","DUNKIRK","36-013-0006","AQS","36","."
"01/25/2013","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"01/26/2013","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"01/27/2013","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"01/28/2013","28","Ozone","DUNKIRK","36-013-0006","AQS","28","."
"01/29/2013","25","Ozone","DUNKIRK","36-013-0006","AQS","25","."
"01/30/2013","30","Ozone","DUNKIRK","36-013-0006","AQS","30","."
"01/31/2013","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"02/01/2013","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"02/02/2013","24","Ozone","DUNKIRK","36-013-0006","AQS","24","."
"02/03/2013","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"02/04/2013","38","Ozone","DUNKIRK","36-013-0006","AQS","38","."
"02/06/2013","41","Ozone","DUNKIRK","36-013-0006","AQS","41","."
"02/07/2013","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"02/08/2013","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"02/09/2013","36","Ozone","DUNKIRK","36-013-0006","AQS","36","."
"02/10/2013","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"02/11/2013","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"02/12/2013","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"02/13/2013","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"02/14/2013","33","Ozone","DUNKIRK","36-013-0006","AQS","33","."
"02/15/2013","36","Ozone","DUNKIRK","36-013-0006","AQS","36","."
"02/16/2013","42","Ozone","DUNKIRK","36-013-0006","AQS","42","."
"02/17/2013","38","Ozone","DUNKIRK","36-013-0006","AQS","38","."
"02/18/2013","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"02/19/2013","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"02/20/2013","29","Ozone","DUNKIRK","36-013-0006","AQS","29","."
"02/21/2013","18","Ozone","DUNKIRK","36-013-0006","AQS","18","."
"02/22/2013","17","Ozone","DUNKIRK","36-013-0006","AQS","17","."
"02/23/2013","23","Ozone","DUNKIRK","36-013-0006","AQS","23","."
"02/24/2013","21","Ozone","DUNKIRK","36-013-0006","AQS","21","."
"02/25/2013","19","Ozone","DUNKIRK","36-013-0006","AQS","19","."
"02/27/2013","31","Ozone","DUNKIRK","36-013-0006","AQS","31","10"
"02/28/2013","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"03/01/2013","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"03/02/2013","35","Ozone","DUNKIRK","36-013-0006","AQS","35","20"
"03/03/2013","36","Ozone","DUNKIRK","36-013-0006","AQS","36","."
"03/04/2013","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"03/05/2013","35","Ozone","DUNKIRK","36-013-0006","AQS","35","25"
"03/06/2013","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"03/08/2013","33","Ozone","DUNKIRK","36-013-0006","AQS","33","15"
"03/09/2013","36","Ozone","DUNKIRK","36-013-0006","AQS","36","."
"03/10/2013","50","Ozone","DUNKIRK","36-013-0006","AQS","50","."
"03/11/2013","44","Ozone","DUNKIRK","36-013-0006","AQS","44","21"
"03/13/2013","42","Ozone","DUNKIRK","36-013-0006","AQS","42","."
"03/14/2013","42","Ozone","DUNKIRK","36-013-0006","AQS","42","14"
"03/15/2013","38","Ozone","DUNKIRK","36-013-0006","AQS","38","."
"03/16/2013","36","Ozone","DUNKIRK","36-013-0006","AQS","36","."
"03/17/2013","40","Ozone","DUNKIRK","36-013-0006","AQS","40","16"
"03/18/2013","38","Ozone","DUNKIRK","36-013-0006","AQS","38","."
"03/19/2013","42","Ozone","DUNKIRK","36-013-0006","AQS","42","."
"03/20/2013","44","Ozone","DUNKIRK","36-013-0006","AQS","44","20"
"03/21/2013","40","Ozone","DUNKIRK","36-013-0006","AQS","40","."
"03/22/2013","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"03/23/2013","39","Ozone","DUNKIRK","36-013-0006","AQS","39","13"
"03/24/2013","38","Ozone","DUNKIRK","36-013-0006","AQS","38","."
"03/25/2013","40","Ozone","DUNKIRK","36-013-0006","AQS","40","."
"03/26/2013","40","Ozone","DUNKIRK","36-013-0006","AQS","40","15"
"03/27/2013","38","Ozone","DUNKIRK","36-013-0006","AQS","38","."
"03/28/2013","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"03/29/2013","42","Ozone","DUNKIRK","36-013-0006","AQS","42","21"
"03/30/2013","50","Ozone","DUNKIRK","36-013-0006","AQS","50","."
"03/31/2013","48","Ozone","DUNKIRK","36-013-0006","AQS","48","."
"04/01/2013","43","Ozone","DUNKIRK","36-013-0006","AQS","43","14"
"04/02/2013","45","Ozone","DUNKIRK","36-013-0006","AQS","45","."
"04/03/2013","44","Ozone","DUNKIRK","36-013-0006","AQS","44","."
"04/04/2013","46","Ozone","DUNKIRK","36-013-0006","AQS","46","15"
"04/05/2013","44","Ozone","DUNKIRK","36-013-0006","AQS","44","."
"04/06/2013","46","Ozone","DUNKIRK","36-013-0006","AQS","46","."
"04/07/2013","49","Ozone","DUNKIRK","36-013-0006","AQS","49","40"
"04/08/2013","40","Ozone","DUNKIRK","36-013-0006","AQS","40","."
"04/09/2013","41","Ozone","DUNKIRK","36-013-0006","AQS","41","."
"04/10/2013","31","Ozone","DUNKIRK","36-013-0006","AQS","31","."
"04/11/2013","38","Ozone","DUNKIRK","36-013-0006","AQS","38","."
"04/12/2013","34","Ozone","DUNKIRK","36-013-0006","AQS","34","."
"04/13/2013","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"04/14/2013","42","Ozone","DUNKIRK","36-013-0006","AQS","42","."
"04/15/2013","49","Ozone","DUNKIRK","36-013-0006","AQS","49","."
"04/16/2013","40","Ozone","DUNKIRK","36-013-0006","AQS","40","20"
"04/17/2013","41","Ozone","DUNKIRK","36-013-0006","AQS","41","."
"04/18/2013","50","Ozone","DUNKIRK","36-013-0006","AQS","50","."
"04/19/2013","37","Ozone","DUNKIRK","36-013-0006","AQS","37","18"
"04/20/2013","42","Ozone","DUNKIRK","36-013-0006","AQS","42","."
"04/21/2013","46","Ozone","DUNKIRK","36-013-0006","AQS","46","."
"04/22/2013","64","Ozone","DUNKIRK","36-013-0006","AQS","64","24"
"04/23/2013","51","Ozone","DUNKIRK","36-013-0006","AQS","51","."
"04/24/2013","40","Ozone","DUNKIRK","36-013-0006","AQS","40","."
"04/25/2013","49","Ozone","DUNKIRK","36-013-0006","AQS","49","25"
"04/26/2013","49","Ozone","DUNKIRK","36-013-0006","AQS","49","."
"04/27/2013","84","Ozone","DUNKIRK","36-013-0006","AQS","84","."
"04/28/2013","67","Ozone","DUNKIRK","36-013-0006","AQS","67","39"
"04/29/2013","46","Ozone","DUNKIRK","36-013-0006","AQS","46","."
"04/30/2013","45","Ozone","DUNKIRK","36-013-0006","AQS","45","."
"05/01/2013","50","Ozone","DUNKIRK","36-013-0006","AQS","50","20"
"05/02/2013","77","Ozone","DUNKIRK","36-013-0006","AQS","77","."
"05/03/2013","58","Ozone","DUNKIRK","36-013-0006","AQS","58","."
"05/04/2013","50","Ozone","DUNKIRK","36-013-0006","AQS","50","20"
"05/05/2013","58","Ozone","DUNKIRK","36-013-0006","AQS","58","."
"05/06/2013","77","Ozone","DUNKIRK","36-013-0006","AQS","77","."
"05/07/2013","46","Ozone","DUNKIRK","36-013-0006","AQS","46","."
"05/08/2013","35","Ozone","DUNKIRK","36-013-0006","AQS","35","."
"05/09/2013","64","Ozone","DUNKIRK","36-013-0006","AQS","64","."
"05/10/2013","44","Ozone","DUNKIRK","36-013-0006","AQS","44","20"
"05/11/2013","28","Ozone","DUNKIRK","36-013-0006","AQS","28","."
"05/12/2013","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"05/13/2013","38","Ozone","DUNKIRK","36-013-0006","AQS","38","11"
"05/14/2013","45","Ozone","DUNKIRK","36-013-0006","AQS","45","."
"05/15/2013","87","Ozone","DUNKIRK","36-013-0006","AQS","87","."
"05/16/2013","51","Ozone","DUNKIRK","36-013-0006","AQS","51","25"
"05/17/2013","43","Ozone","DUNKIRK","36-013-0006","AQS","43","."
"05/18/2013","47","Ozone","DUNKIRK","36-013-0006","AQS","47","."
"05/19/2013","48","Ozone","DUNKIRK","36-013-0006","AQS","48","41"
"05/20/2013","46","Ozone","DUNKIRK","36-013-0006","AQS","46","."
"05/21/2013","54","Ozone","DUNKIRK","36-013-0006","AQS","54","."
"05/22/2013","54","Ozone","DUNKIRK","36-013-0006","AQS","54","34"
"05/23/2013","42","Ozone","DUNKIRK","36-013-0006","AQS","42","."
"05/24/2013","32","Ozone","DUNKIRK","36-013-0006","AQS","32","."
"05/25/2013","38","Ozone","DUNKIRK","36-013-0006","AQS","38","10"
"05/26/2013","39","Ozone","DUNKIRK","36-013-0006","AQS","39","."
"05/27/2013","42","Ozone","DUNKIRK","36-013-0006","AQS","42","."
"05/28/2013","37","Ozone","DUNKIRK","36-013-0006","AQS","37","."
"05/29/2013","97","Ozone","DUNKIRK","36-013-0006","AQS","97","."
"05/30/2013","80","Ozone","DUNKIRK","36-013-0006","AQS","80","."
